settlementDate,settlementPeriod,solar_mw,wind_offshore_mw,wind_onshore_mw,wind_total_mw,renewable_total_mw
2025-09-18,1,0.0,12023.328,7319.021,19342.349,19342.349
2025-09-18,2,0.0,12023.328,7319.021,19342.349,19342.349
2025-09-18,3,0.0,11686.671,8407.457,20094.128,20094.128
2025-09-18,4,0.0,11686.671,8407.457,20094.128,20094.128
2025-09-18,5,0.0,11519.708,8414.66,19934.368,19934.368
2025-09-18,6,0.0,11519.708,8414.66,19934.368,19934.368
2025-09-18,7,0.0,11153.276,8396.109,19549.385,19549.385
2025-09-18,8,0.0,11153.276,8396.109,19549.385,19549.385
2025-09-18,9,0.0,10762.072,8376.871,19138.943,19138.943
2025-09-18,10,0.0,10762.072,8376.871,19138.943,19138.943
2025-09-18,11,0.0,10516.018,8375.692,18891.71,18891.71
2025-09-18,12,0.0,10516.018,8375.692,18891.71,18891.71
2025-09-18,13,0.0,10266.084,8420.306,18686.39,18686.39
2025-09-18,14,0.0,10266.084,8420.306,18686.39,18686.39
2025-09-18,15,183.0,9982.832,8458.05,18440.882,18623.882
2025-09-18,16,513.0,9982.832,8458.05,18440.882,18953.882
2025-09-18,17,944.0,9889.032,8495.305,18384.337,19328.337
2025-09-18,18,1397.0,9889.032,8495.305,18384.337,19781.337
2025-09-18,19,1814.0,10044.624,8545.633,18590.257,20404.257
2025-09-18,20,2254.0,10044.624,8545.633,18590.257,20844.257
2025-09-18,21,2781.0,10236.25,8712.626,18948.876,21729.876
2025-09-18,22,3350.0,10236.25,8712.626,18948.876,22298.876
2025-09-18,23,3892.0,10212.34,8903.266,19115.606,23007.606
2025-09-18,24,4344.0,10212.34,8903.266,19115.606,23459.606
2025-09-18,25,4661.0,10853.345,8974.242,19827.587,24488.587
2025-09-18,26,4861.0,10853.345,8974.242,19827.587,24688.587
2025-09-18,27,4969.0,11621.859,8917.975,20539.834000000003,25508.834000000003
2025-09-18,28,4957.0,11621.859,8917.975,20539.834000000003,25496.834000000003
2025-09-18,29,4798.0,12096.486,8811.518,20908.004,25706.004
2025-09-18,30,4525.0,12096.486,8811.518,20908.004,25433.004
2025-09-18,31,4176.0,12493.783,8612.029,21105.812,25281.812
2025-09-18,32,3764.0,12493.783,8612.029,21105.812,24869.812
2025-09-18,33,3284.0,12886.589,8265.152,21151.741,24435.741
2025-09-18,34,2690.0,12886.589,8265.152,21151.741,23841.741
2025-09-18,35,1957.0,13096.625,7744.515,20841.14,22798.14
2025-09-18,36,1189.0,13096.625,7744.515,20841.14,22030.14
2025-09-18,37,523.0,13351.423,7067.754,20419.177,20942.177
2025-09-18,38,92.0,13351.423,7067.754,20419.177,20511.177
2025-09-18,39,0.0,13157.828,6433.854,19591.682,19591.682
2025-09-18,40,0.0,13157.828,6433.854,19591.682,19591.682
2025-09-18,41,0.0,12848.584,5892.391,18740.975,18740.975
2025-09-18,42,0.0,12848.584,5892.391,18740.975,18740.975
2025-09-18,43,0.0,12394.209,5444.474,17838.683,17838.683
2025-09-18,44,0.0,12394.209,5444.474,17838.683,17838.683
2025-09-18,45,0.0,11838.932,5167.618,17006.550000000003,17006.550000000003
2025-09-18,46,0.0,11838.932,5167.618,17006.550000000003,17006.550000000003
2025-09-18,47,0.0,11204.198,5074.011,16278.209,16278.209
2025-09-18,48,0.0,11204.198,5074.011,16278.209,16278.209
