settlement_period,price,asset,action,power_mw,soc,energy_mwh,settle_price,settle_price_discharge,settle_price_charge
1,131.63604512553897,Battery_1,hold,0.0,50.0,10.0,142.81,137.91,143.71
2,131.5568855100103,Battery_1,hold,0.0,50.0,10.0,139.68,134.78,140.58
3,131.40118712238538,Battery_1,hold,0.0,50.0,10.0,143.47,138.57,144.37
4,129.62540770235054,Battery_1,charge,1.78,54.0,10.8,140.4,135.5,141.3
5,129.25041442080052,Battery_1,charge,4.0,63.0,12.6,138.2,133.29999999999998,139.1
6,126.48956485715217,Battery_1,charge,4.0,72.0,14.4,142.13,137.23,143.03
7,127.11131291252049,Battery_1,charge,4.0,81.0,16.2,140.43,135.53,141.33
8,125.9993067754308,Battery_1,charge,4.0,90.0,18.0,139.03,134.13,139.93
9,136.16199053876176,Battery_1,hold,0.0,90.0,18.0,136.31,131.41,137.21
10,136.86728362232526,Battery_1,hold,0.0,90.0,18.0,152.69,147.79,153.59
11,162.3850066957018,Battery_1,hold,0.0,90.0,18.0,161.73,156.82999999999998,162.63
12,172.74337602216832,Battery_1,hold,0.0,90.0,18.0,152.57,147.67,153.47
13,186.28480233626308,Battery_1,hold,0.0,90.0,18.0,166.0,161.1,166.9
14,196.22107662532068,Battery_1,hold,0.0,90.0,18.0,168.7,163.79999999999998,169.6
15,204.7977218452235,Battery_1,hold,0.0,90.0,18.0,180.97,176.07,181.87
16,218.9540192303958,Battery_1,discharge,4.0,78.9,15.78,181.41,176.51,182.31
17,216.3442102377276,Battery_1,discharge,4.0,67.8,13.56,150.92,146.01999999999998,151.82
18,209.5597073936761,Battery_1,hold,0.0,67.8,13.56,150.12,145.22,151.02
19,189.24400985980546,Battery_1,hold,0.0,67.8,13.56,133.27,128.37,134.17000000000002
20,179.65210268253878,Battery_1,hold,0.0,67.8,13.56,132.64,127.73999999999998,133.54
21,171.95065127386277,Battery_1,hold,0.0,67.8,13.56,129.53,124.63,130.43
22,170.66388153988783,Battery_1,hold,0.0,67.8,13.56,129.11,124.21000000000001,130.01000000000002
23,163.8930856529874,Battery_1,charge,4.0,76.8,15.36,128.53,123.63,129.43
24,163.76077308980445,Battery_1,charge,4.0,85.8,17.16,122.98,118.08,123.88000000000001
25,167.9522510127335,Battery_1,hold,0.0,85.8,17.16,123.62,118.72,124.52000000000001
26,171.38131949282553,Battery_1,hold,0.0,85.8,17.16,123.37,118.47,124.27000000000001
27,168.7981722253305,Battery_1,hold,0.0,85.8,17.16,122.04,117.14,122.94000000000001
28,167.10734027476119,Battery_1,hold,0.0,85.8,17.16,122.03,117.13,122.93
29,166.13787274598099,Battery_1,charge,0.89,87.8,17.56,123.86,118.96,124.76
30,173.07438509679088,Battery_1,hold,0.0,87.8,17.56,127.71,122.80999999999999,128.60999999999999
31,183.0240377536499,Battery_1,hold,0.0,87.8,17.56,132.53,127.63,133.43
32,184.0770163254857,Battery_1,hold,0.0,87.8,17.56,135.36,130.46,136.26000000000002
33,191.3480491083224,Battery_1,hold,0.0,87.8,17.56,154.24,149.34,155.14000000000001
34,190.6793952172211,Battery_1,hold,0.0,87.8,17.56,186.81,181.91,187.71
35,212.69660595884412,Battery_1,discharge,4.0,76.7,15.33,220.01,215.10999999999999,220.91
36,220.41488478655953,Battery_1,discharge,4.0,65.6,13.11,224.84,219.94,225.74
37,234.96008975944932,Battery_1,discharge,4.0,54.4,10.89,236.8,231.9,237.70000000000002
38,237.13853725476582,Battery_1,discharge,4.0,43.3,8.67,227.31,222.41,228.21
39,232.28328718819301,Battery_1,discharge,4.0,32.2,6.44,228.4,223.5,229.3
40,227.24072708627816,Battery_1,discharge,4.0,21.1,4.22,224.96,220.06,225.86
41,212.62764950470054,Battery_1,discharge,4.0,10.0,2.0,213.71,208.81,214.61
42,210.13949119419365,Battery_1,hold,0.0,10.0,2.0,200.57,195.67,201.47
43,188.19659334946263,Battery_1,hold,0.0,10.0,2.0,190.89,185.98999999999998,191.79
44,181.51309846551192,Battery_1,hold,0.0,10.0,2.0,172.15,167.25,173.05
45,166.2473825243697,Battery_1,hold,0.0,10.0,2.0,166.13,161.23,167.03
46,156.4532582172992,Battery_1,hold,0.0,10.0,2.0,156.24,151.34,157.14000000000001
47,147.05514927361043,Battery_1,hold,0.0,10.0,2.0,142.47,137.57,143.37
48,141.19673475818496,Battery_1,hold,0.0,10.0,2.0,149.06,144.16,149.96
1,131.63604512553897,Battery_2,charge,1.39,50.6,50.62,142.81,137.91,143.71
2,131.5568855100103,Battery_2,charge,12.5,56.2,56.25,139.68,134.78,140.58
3,131.40118712238538,Battery_2,charge,12.5,61.9,61.88,143.47,138.57,144.37
4,129.62540770235054,Battery_2,charge,12.5,67.5,67.5,140.4,135.5,141.3
5,129.25041442080052,Battery_2,charge,12.5,73.1,73.12,138.2,133.29999999999998,139.1
6,126.48956485715217,Battery_2,charge,12.5,78.8,78.75,142.13,137.23,143.03
7,127.11131291252049,Battery_2,charge,12.5,84.4,84.38,140.43,135.53,141.33
8,125.9993067754308,Battery_2,charge,12.5,90.0,90.0,139.03,134.13,139.93
9,136.16199053876176,Battery_2,hold,0.0,90.0,90.0,136.31,131.41,137.21
10,136.86728362232526,Battery_2,hold,0.0,90.0,90.0,152.69,147.79,153.59
11,162.3850066957018,Battery_2,hold,0.0,90.0,90.0,161.73,156.82999999999998,162.63
12,172.74337602216832,Battery_2,hold,0.0,90.0,90.0,152.57,147.67,153.47
13,186.28480233626308,Battery_2,hold,0.0,90.0,90.0,166.0,161.1,166.9
14,196.22107662532068,Battery_2,hold,0.0,90.0,90.0,168.7,163.79999999999998,169.6
15,204.7977218452235,Battery_2,discharge,6.5,86.4,86.39,180.97,176.07,181.87
16,218.9540192303958,Battery_2,discharge,12.5,79.4,79.44,181.41,176.51,182.31
17,216.3442102377276,Battery_2,discharge,12.5,72.5,72.5,150.92,146.01999999999998,151.82
18,209.5597073936761,Battery_2,discharge,12.5,65.6,65.56,150.12,145.22,151.02
19,189.24400985980546,Battery_2,hold,0.0,65.6,65.56,133.27,128.37,134.17000000000002
20,179.65210268253878,Battery_2,hold,0.0,65.6,65.56,132.64,127.73999999999998,133.54
21,171.95065127386277,Battery_2,hold,0.0,65.6,65.56,129.53,124.63,130.43
22,170.66388153988783,Battery_2,hold,0.0,65.6,65.56,129.11,124.21000000000001,130.01000000000002
23,163.8930856529874,Battery_2,hold,0.0,65.6,65.56,128.53,123.63,129.43
24,163.76077308980445,Battery_2,hold,0.0,65.6,65.56,122.98,118.08,123.88000000000001
25,167.9522510127335,Battery_2,hold,0.0,65.6,65.56,123.62,118.72,124.52000000000001
26,171.38131949282553,Battery_2,hold,0.0,65.6,65.56,123.37,118.47,124.27000000000001
27,168.7981722253305,Battery_2,hold,0.0,65.6,65.56,122.04,117.14,122.94000000000001
28,167.10734027476119,Battery_2,hold,0.0,65.6,65.56,122.03,117.13,122.93
29,166.13787274598099,Battery_2,hold,0.0,65.6,65.56,123.86,118.96,124.76
30,173.07438509679088,Battery_2,hold,0.0,65.6,65.56,127.71,122.80999999999999,128.60999999999999
31,183.0240377536499,Battery_2,hold,0.0,65.6,65.56,132.53,127.63,133.43
32,184.0770163254857,Battery_2,hold,0.0,65.6,65.56,135.36,130.46,136.26000000000002
33,191.3480491083224,Battery_2,hold,0.0,65.6,65.56,154.24,149.34,155.14000000000001
34,190.6793952172211,Battery_2,hold,0.0,65.6,65.56,186.81,181.91,187.71
35,212.69660595884412,Battery_2,discharge,12.5,58.6,58.61,220.01,215.10999999999999,220.91
36,220.41488478655953,Battery_2,discharge,12.5,51.7,51.67,224.84,219.94,225.74
37,234.96008975944932,Battery_2,discharge,12.5,44.7,44.72,236.8,231.9,237.70000000000002
38,237.13853725476582,Battery_2,discharge,12.5,37.8,37.78,227.31,222.41,228.21
39,232.28328718819301,Battery_2,discharge,12.5,30.8,30.83,228.4,223.5,229.3
40,227.24072708627816,Battery_2,discharge,12.5,23.9,23.89,224.96,220.06,225.86
41,212.62764950470054,Battery_2,discharge,12.5,16.9,16.94,213.71,208.81,214.61
42,210.13949119419365,Battery_2,discharge,12.5,10.0,10.0,200.57,195.67,201.47
43,188.19659334946263,Battery_2,hold,0.0,10.0,10.0,190.89,185.98999999999998,191.79
44,181.51309846551192,Battery_2,hold,0.0,10.0,10.0,172.15,167.25,173.05
45,166.2473825243697,Battery_2,hold,0.0,10.0,10.0,166.13,161.23,167.03
46,156.4532582172992,Battery_2,hold,0.0,10.0,10.0,156.24,151.34,157.14000000000001
47,147.05514927361043,Battery_2,hold,0.0,10.0,10.0,142.47,137.57,143.37
48,141.19673475818496,Battery_2,hold,0.0,10.0,10.0,149.06,144.16,149.96
1,131.63604512553897,Battery_3,charge,2.78,50.6,101.25,142.81,137.91,143.71
2,131.5568855100103,Battery_3,charge,25.0,56.2,112.5,139.68,134.78,140.58
3,131.40118712238538,Battery_3,charge,25.0,61.9,123.75,143.47,138.57,144.37
4,129.62540770235054,Battery_3,charge,25.0,67.5,135.0,140.4,135.5,141.3
5,129.25041442080052,Battery_3,charge,25.0,73.1,146.25,138.2,133.29999999999998,139.1
6,126.48956485715217,Battery_3,charge,25.0,78.8,157.5,142.13,137.23,143.03
7,127.11131291252049,Battery_3,charge,25.0,84.4,168.75,140.43,135.53,141.33
8,125.9993067754308,Battery_3,charge,25.0,90.0,180.0,139.03,134.13,139.93
9,136.16199053876176,Battery_3,hold,0.0,90.0,180.0,136.31,131.41,137.21
10,136.86728362232526,Battery_3,hold,0.0,90.0,180.0,152.69,147.79,153.59
11,162.3850066957018,Battery_3,hold,0.0,90.0,180.0,161.73,156.82999999999998,162.63
12,172.74337602216832,Battery_3,hold,0.0,90.0,180.0,152.57,147.67,153.47
13,186.28480233626308,Battery_3,hold,0.0,90.0,180.0,166.0,161.1,166.9
14,196.22107662532068,Battery_3,hold,0.0,90.0,180.0,168.7,163.79999999999998,169.6
15,204.7977218452235,Battery_3,discharge,13.0,86.4,172.78,180.97,176.07,181.87
16,218.9540192303958,Battery_3,discharge,25.0,79.4,158.89,181.41,176.51,182.31
17,216.3442102377276,Battery_3,discharge,25.0,72.5,145.0,150.92,146.01999999999998,151.82
18,209.5597073936761,Battery_3,discharge,25.0,65.6,131.11,150.12,145.22,151.02
19,189.24400985980546,Battery_3,hold,0.0,65.6,131.11,133.27,128.37,134.17000000000002
20,179.65210268253878,Battery_3,hold,0.0,65.6,131.11,132.64,127.73999999999998,133.54
21,171.95065127386277,Battery_3,hold,0.0,65.6,131.11,129.53,124.63,130.43
22,170.66388153988783,Battery_3,hold,0.0,65.6,131.11,129.11,124.21000000000001,130.01000000000002
23,163.8930856529874,Battery_3,hold,0.0,65.6,131.11,128.53,123.63,129.43
24,163.76077308980445,Battery_3,hold,0.0,65.6,131.11,122.98,118.08,123.88000000000001
25,167.9522510127335,Battery_3,hold,0.0,65.6,131.11,123.62,118.72,124.52000000000001
26,171.38131949282553,Battery_3,hold,0.0,65.6,131.11,123.37,118.47,124.27000000000001
27,168.7981722253305,Battery_3,hold,0.0,65.6,131.11,122.04,117.14,122.94000000000001
28,167.10734027476119,Battery_3,hold,0.0,65.6,131.11,122.03,117.13,122.93
29,166.13787274598099,Battery_3,hold,0.0,65.6,131.11,123.86,118.96,124.76
30,173.07438509679088,Battery_3,hold,0.0,65.6,131.11,127.71,122.80999999999999,128.60999999999999
31,183.0240377536499,Battery_3,hold,0.0,65.6,131.11,132.53,127.63,133.43
32,184.0770163254857,Battery_3,hold,0.0,65.6,131.11,135.36,130.46,136.26000000000002
33,191.3480491083224,Battery_3,hold,0.0,65.6,131.11,154.24,149.34,155.14000000000001
34,190.6793952172211,Battery_3,hold,0.0,65.6,131.11,186.81,181.91,187.71
35,212.69660595884412,Battery_3,discharge,25.0,58.6,117.22,220.01,215.10999999999999,220.91
36,220.41488478655953,Battery_3,discharge,25.0,51.7,103.33,224.84,219.94,225.74
37,234.96008975944932,Battery_3,discharge,25.0,44.7,89.44,236.8,231.9,237.70000000000002
38,237.13853725476582,Battery_3,discharge,25.0,37.8,75.56,227.31,222.41,228.21
39,232.28328718819301,Battery_3,discharge,25.0,30.8,61.67,228.4,223.5,229.3
40,227.24072708627816,Battery_3,discharge,25.0,23.9,47.78,224.96,220.06,225.86
41,212.62764950470054,Battery_3,discharge,25.0,16.9,33.89,213.71,208.81,214.61
42,210.13949119419365,Battery_3,discharge,25.0,10.0,20.0,200.57,195.67,201.47
43,188.19659334946263,Battery_3,hold,0.0,10.0,20.0,190.89,185.98999999999998,191.79
44,181.51309846551192,Battery_3,hold,0.0,10.0,20.0,172.15,167.25,173.05
45,166.2473825243697,Battery_3,hold,0.0,10.0,20.0,166.13,161.23,167.03
46,156.4532582172992,Battery_3,hold,0.0,10.0,20.0,156.24,151.34,157.14000000000001
47,147.05514927361043,Battery_3,hold,0.0,10.0,20.0,142.47,137.57,143.37
48,141.19673475818496,Battery_3,hold,0.0,10.0,20.0,149.06,144.16,149.96
