startTime,dataProvider,settlementDate,settlementPeriod,price,volume
2025-12-01T00:00:00Z,APXMIDP,2025-12-01,1,41.55,2200.75
2025-12-01T00:30:00Z,APXMIDP,2025-12-01,2,47.45,2468.2
2025-12-01T01:00:00Z,APXMIDP,2025-12-01,3,52.4,2902.85
2025-12-01T01:30:00Z,APXMIDP,2025-12-01,4,48.53,2990.5
2025-12-01T02:00:00Z,APXMIDP,2025-12-01,5,49.3,3014.55
2025-12-01T02:30:00Z,APXMIDP,2025-12-01,6,47.09,2924.0
2025-12-01T03:00:00Z,APXMIDP,2025-12-01,7,51.65,2846.0
2025-12-01T03:30:00Z,APXMIDP,2025-12-01,8,51.68,3058.75
2025-12-01T04:00:00Z,APXMIDP,2025-12-01,9,50.64,2737.0
2025-12-01T04:30:00Z,APXMIDP,2025-12-01,10,51.63,3009.45
2025-12-01T05:00:00Z,APXMIDP,2025-12-01,11,56.6,2164.75
2025-12-01T05:30:00Z,APXMIDP,2025-12-01,12,68.66,2135.65
2025-12-01T06:00:00Z,APXMIDP,2025-12-01,13,71.5,2390.45
2025-12-01T06:30:00Z,APXMIDP,2025-12-01,14,74.93,2760.6
2025-12-01T07:00:00Z,APXMIDP,2025-12-01,15,81.71,2653.05
2025-12-01T07:30:00Z,APXMIDP,2025-12-01,16,88.46,3107.1
2025-12-01T08:00:00Z,APXMIDP,2025-12-01,17,81.49,3005.9
2025-12-01T08:30:00Z,APXMIDP,2025-12-01,18,86.73,3039.45
2025-12-01T09:00:00Z,APXMIDP,2025-12-01,19,81.59,2854.35
2025-12-01T09:30:00Z,APXMIDP,2025-12-01,20,84.1,3092.85
2025-12-01T10:00:00Z,APXMIDP,2025-12-01,21,78.12,3216.2
2025-12-01T10:30:00Z,APXMIDP,2025-12-01,22,78.51,3225.85
2025-12-01T11:00:00Z,APXMIDP,2025-12-01,23,79.38,3374.15
2025-12-01T11:30:00Z,APXMIDP,2025-12-01,24,76.15,3177.55
2025-12-01T12:00:00Z,APXMIDP,2025-12-01,25,80.48,3006.65
2025-12-01T12:30:00Z,APXMIDP,2025-12-01,26,80.0,3047.95
2025-12-01T13:00:00Z,APXMIDP,2025-12-01,27,77.71,3273.65
2025-12-01T13:30:00Z,APXMIDP,2025-12-01,28,77.94,3182.2
2025-12-01T14:00:00Z,APXMIDP,2025-12-01,29,82.05,3483.6
2025-12-01T14:30:00Z,APXMIDP,2025-12-01,30,83.19,3730.5
2025-12-01T15:00:00Z,APXMIDP,2025-12-01,31,85.16,3504.55
2025-12-01T15:30:00Z,APXMIDP,2025-12-01,32,87.03,2978.15
2025-12-01T16:00:00Z,APXMIDP,2025-12-01,33,87.14,3189.15
2025-12-01T16:30:00Z,APXMIDP,2025-12-01,34,87.89,3240.7
2025-12-01T17:00:00Z,APXMIDP,2025-12-01,35,88.55,3500.95
2025-12-01T17:30:00Z,APXMIDP,2025-12-01,36,87.09,3251.5
2025-12-01T18:00:00Z,APXMIDP,2025-12-01,37,82.19,3659.6
2025-12-01T18:30:00Z,APXMIDP,2025-12-01,38,83.58,3689.35
2025-12-01T19:00:00Z,APXMIDP,2025-12-01,39,83.71,3489.95
2025-12-01T19:30:00Z,APXMIDP,2025-12-01,40,80.64,2864.65
2025-12-01T20:00:00Z,APXMIDP,2025-12-01,41,81.18,2964.05
2025-12-01T20:30:00Z,APXMIDP,2025-12-01,42,78.1,2647.75
2025-12-01T21:00:00Z,APXMIDP,2025-12-01,43,77.67,2731.7
2025-12-01T21:30:00Z,APXMIDP,2025-12-01,44,79.05,2480.0
2025-12-01T22:00:00Z,APXMIDP,2025-12-01,45,82.32,2954.6
2025-12-01T22:30:00Z,APXMIDP,2025-12-01,46,71.76,2823.95
2025-12-01T23:00:00Z,APXMIDP,2025-12-01,47,74.06,2523.75
2025-12-01T23:30:00Z,APXMIDP,2025-12-01,48,68.13,2495.15
