settlementDate,settlementPeriod,startTime,createdDateTime,systemSellPrice,systemBuyPrice,bsadDefaulted,priceDerivationCode,reserveScarcityPrice,netImbalanceVolume,sellPriceAdjustment,buyPriceAdjustment,replacementPrice,replacementPriceReferenceVolume,totalAcceptedOfferVolume,totalAcceptedBidVolume,totalAdjustmentSellVolume,totalAdjustmentBuyVolume,totalSystemTaggedAcceptedOfferVolume,totalSystemTaggedAcceptedBidVolume,totalSystemTaggedAdjustmentSellVolume,totalSystemTaggedAdjustmentBuyVolume
2025-09-26,1,2025-09-25T23:00:00Z,2025-09-26T23:44:34Z,91.75,91.75,False,P,0.0,16.399682777777777,0.0,0.0,,,1141.108016111111,-1240.3663461111112,0.0,115.675,1140.108016111111,-1240.3663461111112,,115.675
2025-09-26,2,2025-09-25T23:30:00Z,2025-09-27T00:14:39Z,78.05,78.05,False,N,0.0,-228.38333333333333,0.0,0.0,78.05,0.0,853.0166666666667,-1190.9,0.0,109.5,853.0166666666667,-1189.9,,109.5
2025-09-26,3,2025-09-26T00:00:00Z,2025-09-27T00:44:33Z,71.89,71.89,False,N,0.0,-91.36036629629629,0.0,0.0,71.89,0.0,981.3813003703704,-1182.075744814815,0.0,109.5,981.3813003703704,-1181.075744814815,,109.5
2025-09-26,4,2025-09-26T00:30:00Z,2025-09-27T01:14:31Z,95.9,95.9,False,P,0.0,95.86699375,0.0,0.0,,,1168.4253270833333,-1181.8044945833333,0.0,109.5,1167.4253270833333,-1181.8044945833333,,109.5
2025-09-26,5,2025-09-26T01:00:00Z,2025-09-27T01:44:35Z,95.9,95.9,False,P,0.0,320.9208347222222,0.0,0.0,,,1377.2708333333333,-1165.5208319444444,0.0,109.5,1376.2708333333333,-1165.5208319444444,,109.5
2025-09-26,6,2025-09-26T01:30:00Z,2025-09-27T02:15:03Z,95.9,95.9,False,P,0.0,325.4055143055555,0.0,0.0,,,1377.1055143055555,-1161.1138513888889,0.0,109.5,1376.1055143055555,-1161.1138513888889,,109.5
2025-09-26,7,2025-09-26T02:00:00Z,2025-09-27T02:44:34Z,95.9,95.9,False,P,0.0,138.96666666666667,0.0,0.0,,,1205.9666666666667,-1176.3333333333333,0.0,109.5,1204.9666666666667,-1176.3333333333333,,109.5
2025-09-26,8,2025-09-26T02:30:00Z,2025-09-27T03:14:27Z,95.0,95.0,False,P,0.0,47.925,0.0,0.0,,,1098.0416666666667,-1159.7375,0.0,109.5,1097.0416666666667,-1159.7375,,109.5
2025-09-26,9,2025-09-26T03:00:00Z,2025-09-27T03:44:23Z,56.42,56.42,False,N,0.0,-109.05439418260988,0.0,0.0,56.42,1.0,932.9539391507235,-1151.7017169285011,0.0,109.5,932.9539391507235,-1150.7017169285011,,109.5
2025-09-26,10,2025-09-26T03:30:00Z,2025-09-27T04:14:35Z,55.45,55.45,False,N,0.0,-156.96747226495725,0.0,0.0,55.45,1.0,918.7954907905983,-1185.5229970405983,0.0,109.5,918.7954907905983,-1184.5229970405983,,109.5
