settlement_period,ssp,sbp,price_used,asset,action,power_mw,soc,energy_mwh,ssp_settle,sbp_settle
1,215.0,215.0,0.0,Battery_1,hold,0.0,10.0,2.0,210.1,215.9
2,219.25,219.25,0.0,Battery_1,hold,0.0,10.0,2.0,214.35,220.15
3,223.75,223.75,0.0,Battery_1,hold,0.0,10.0,2.0,218.85,224.65
4,215.0,215.0,0.0,Battery_1,hold,0.0,10.0,2.0,210.1,215.9
5,220.0,220.0,0.0,Battery_1,hold,0.0,10.0,2.0,215.1,220.9
6,187.86,187.86,0.0,Battery_1,hold,0.0,10.0,2.0,182.96,188.76000000000002
7,220.0,220.0,0.0,Battery_1,hold,0.0,10.0,2.0,215.1,220.9
8,135.0,135.0,135.0,Battery_1,charge,3.0,16.8,3.35,130.1,135.9
9,135.25,135.25,135.25,Battery_1,charge,3.0,23.5,4.7,130.35,136.15
10,145.86,145.86,145.86,Battery_1,charge,3.0,30.2,6.05,140.96,146.76000000000002
11,195.0,195.0,0.0,Battery_1,hold,0.0,30.2,6.05,190.1,195.9
12,195.54,195.54,0.0,Battery_1,hold,0.0,30.2,6.05,190.64,196.44
13,176.61,176.61,176.61,Battery_1,charge,3.0,37.0,7.4,171.71,177.51000000000002
14,174.52,174.52,174.52,Battery_1,charge,3.0,43.8,8.75,169.62,175.42000000000002
15,240.0,240.0,240.0,Battery_1,discharge,3.0,35.4,7.08,235.1,240.9
16,240.0,240.0,240.0,Battery_1,discharge,3.0,27.1,5.42,235.1,240.9
17,235.89,235.89,235.89,Battery_1,discharge,3.0,18.8,3.75,230.98999999999998,236.79
18,217.0,217.0,0.0,Battery_1,hold,0.0,18.8,3.75,212.1,217.9
19,240.0,240.0,240.0,Battery_1,discharge,3.0,10.4,2.08,235.1,240.9
20,230.0,230.0,230.0,Battery_1,discharge,0.15,10.0,2.0,225.1,230.9
21,210.0,210.0,0.0,Battery_1,hold,0.0,10.0,2.0,205.1,210.9
22,145.01,145.01,145.01,Battery_1,charge,3.0,16.8,3.35,140.10999999999999,145.91
23,159.93,159.93,0.0,Battery_1,hold,0.0,16.8,3.35,155.03,160.83
24,145.87,145.87,145.87,Battery_1,charge,3.0,23.5,4.7,140.97,146.77
25,139.87,139.87,139.87,Battery_1,charge,3.0,30.2,6.05,134.97,140.77
26,133.1,133.1,133.1,Battery_1,charge,3.0,37.0,7.4,128.2,134.0
27,134.0,134.0,134.0,Battery_1,charge,3.0,43.8,8.75,129.1,134.9
28,135.5,135.5,135.5,Battery_1,charge,3.0,50.5,10.1,130.6,136.4
29,133.2,133.2,133.2,Battery_1,charge,3.0,57.2,11.45,128.29999999999998,134.1
30,133.2,133.2,133.2,Battery_1,charge,3.0,64.0,12.8,128.29999999999998,134.1
31,133.2,133.2,133.2,Battery_1,charge,3.0,70.8,14.15,128.29999999999998,134.1
32,133.2,133.2,133.2,Battery_1,charge,3.0,77.5,15.5,128.29999999999998,134.1
33,135.5,135.5,135.5,Battery_1,charge,3.0,84.2,16.85,130.6,136.4
34,146.44,146.44,146.44,Battery_1,charge,2.56,90.0,18.0,141.54,147.34
35,179.34,179.34,0.0,Battery_1,hold,0.0,90.0,18.0,174.44,180.24
36,179.0,179.0,0.0,Battery_1,hold,0.0,90.0,18.0,174.1,179.9
37,269.5,269.5,269.5,Battery_1,discharge,3.0,81.7,16.33,264.6,270.4
38,269.45,269.45,269.45,Battery_1,discharge,3.0,73.3,14.67,264.55,270.34999999999997
39,270.0,270.0,270.0,Battery_1,discharge,3.0,65.0,13.0,265.1,270.9
40,269.5,269.5,269.5,Battery_1,discharge,3.0,56.7,11.33,264.6,270.4
41,222.2,222.2,222.2,Battery_1,discharge,3.0,48.3,9.67,217.29999999999998,223.1
42,222.2,222.2,222.2,Battery_1,discharge,3.0,40.0,8.0,217.29999999999998,223.1
43,233.0,233.0,233.0,Battery_1,discharge,3.0,31.7,6.33,228.1,233.9
44,204.28,204.28,0.0,Battery_1,hold,0.0,31.7,6.33,199.38,205.18
45,229.0,229.0,229.0,Battery_1,discharge,3.0,23.3,4.67,224.1,229.9
46,229.0,229.0,229.0,Battery_1,discharge,3.0,15.0,3.0,224.1,229.9
47,203.5,203.5,0.0,Battery_1,hold,0.0,15.0,3.0,198.6,204.4
48,213.5,213.5,213.5,Battery_1,discharge,1.8,10.0,2.0,208.6,214.4
1,215.0,215.0,0.0,Battery_2,hold,0.0,10.0,10.0,210.1,215.9
2,219.25,219.25,0.0,Battery_2,hold,0.0,10.0,10.0,214.35,220.15
3,223.75,223.75,0.0,Battery_2,hold,0.0,10.0,10.0,218.85,224.65
4,215.0,215.0,0.0,Battery_2,hold,0.0,10.0,10.0,210.1,215.9
5,220.0,220.0,0.0,Battery_2,hold,0.0,10.0,10.0,215.1,220.9
6,187.86,187.86,0.0,Battery_2,hold,0.0,10.0,10.0,182.96,188.76000000000002
7,220.0,220.0,0.0,Battery_2,hold,0.0,10.0,10.0,215.1,220.9
8,135.0,135.0,135.0,Battery_2,charge,7.5,13.4,13.38,130.1,135.9
9,135.25,135.25,135.25,Battery_2,charge,7.5,16.8,16.75,130.35,136.15
10,145.86,145.86,145.86,Battery_2,charge,7.5,20.1,20.12,140.96,146.76000000000002
