settlement_period,ssp,sbp,price_used,asset,action,power_mw,soc,energy_mwh,ssp_settle,sbp_settle
1,169.87,169.87,0.0,Battery_1,hold,0.0,10.0,2.0,164.97,170.77
2,139.68,139.68,0.0,Battery_1,hold,0.0,10.0,2.0,134.78,140.58
3,158.67,158.67,0.0,Battery_1,hold,0.0,10.0,2.0,153.76999999999998,159.57
4,123.33,123.33,0.0,Battery_1,hold,0.0,10.0,2.0,118.42999999999999,124.23
5,126.5,126.5,126.5,Battery_1,charge,3.0,16.8,3.35,121.6,127.4
6,165.25,165.25,0.0,Battery_1,hold,0.0,16.8,3.35,160.35,166.15
7,126.2,126.2,0.0,Battery_1,hold,0.0,16.8,3.35,121.3,127.10000000000001
8,126.29,126.29,126.29,Battery_1,charge,1.41,19.9,3.98,121.39,127.19000000000001
9,157.67,157.67,157.67,Battery_1,charge,3.0,26.7,5.33,152.76999999999998,158.57
10,184.21,184.21,0.0,Battery_1,hold,0.0,26.7,5.33,179.31,185.11
11,190.0,190.0,0.0,Battery_1,hold,0.0,26.7,5.33,185.1,190.9
12,152.57,152.57,0.0,Battery_1,hold,0.0,26.7,5.33,147.67,153.47
13,138.0,138.0,0.0,Battery_1,hold,0.0,26.7,5.33,133.1,138.9
14,140.94,140.94,0.0,Battery_1,hold,0.0,26.7,5.33,136.04,141.84
15,141.68,141.68,141.68,Battery_1,discharge,3.0,18.3,3.67,136.78,142.58
16,138.0,138.0,138.0,Battery_1,discharge,3.0,10.0,2.0,133.1,138.9
17,150.92,150.92,0.0,Battery_1,hold,0.0,10.0,2.0,146.01999999999998,151.82
18,150.12,150.12,0.0,Battery_1,hold,0.0,10.0,2.0,145.22,151.02
19,133.27,133.27,0.0,Battery_1,hold,0.0,10.0,2.0,128.37,134.17000000000002
20,127.12,127.12,127.12,Battery_1,charge,2.56,15.8,3.15,122.22,128.02
21,127.12,127.12,127.12,Battery_1,charge,3.0,22.5,4.5,122.22,128.02
22,127.12,127.12,127.12,Battery_1,charge,3.0,29.2,5.85,122.22,128.02
23,105.5,105.5,105.5,Battery_1,charge,3.0,36.0,7.2,100.6,106.4
24,105.5,105.5,105.5,Battery_1,charge,3.0,42.8,8.55,100.6,106.4
25,103.05,103.05,103.05,Battery_1,charge,3.0,49.5,9.9,98.14999999999999,103.95
26,105.0,105.0,105.0,Battery_1,charge,3.0,56.2,11.25,100.1,105.9
27,109.0,109.0,109.0,Battery_1,charge,3.0,63.0,12.6,104.1,109.9
28,109.0,109.0,109.0,Battery_1,charge,3.0,69.8,13.95,104.1,109.9
29,109.0,109.0,109.0,Battery_1,charge,3.0,76.5,15.3,104.1,109.9
30,111.2,111.2,111.2,Battery_1,charge,3.0,83.2,16.65,106.3,112.10000000000001
31,111.0,111.0,111.0,Battery_1,charge,3.0,90.0,18.0,106.1,111.9
32,111.0,111.0,0.0,Battery_1,hold,0.0,90.0,18.0,106.1,111.9
33,293.0,293.0,0.0,Battery_1,hold,0.0,90.0,18.0,288.1,293.9
34,293.0,293.0,293.0,Battery_1,discharge,1.8,85.0,17.0,288.1,293.9
35,146.48,146.48,146.48,Battery_1,discharge,3.0,76.7,15.33,141.57999999999998,147.38
36,155.44,155.44,155.44,Battery_1,discharge,3.0,68.3,13.67,150.54,156.34
37,210.0,210.0,210.0,Battery_1,discharge,3.0,60.0,12.0,205.1,210.9
38,190.0,190.0,190.0,Battery_1,discharge,3.0,51.7,10.33,185.1,190.9
39,270.1,270.1,270.1,Battery_1,discharge,3.0,43.3,8.67,265.20000000000005,271.0
40,240.0,240.0,240.0,Battery_1,discharge,3.0,35.0,7.0,235.1,240.9
41,153.53,153.53,153.53,Battery_1,discharge,3.0,26.7,5.33,148.63,154.43
42,165.8,165.8,165.8,Battery_1,discharge,3.0,18.3,3.67,160.9,166.70000000000002
43,594.0,594.0,594.0,Battery_1,discharge,3.0,10.0,2.0,589.1,594.9
44,127.35,127.35,0.0,Battery_1,hold,0.0,10.0,2.0,122.44999999999999,128.25
45,126.5,126.5,0.0,Battery_1,hold,0.0,10.0,2.0,121.6,127.4
46,126.5,126.5,0.0,Battery_1,hold,0.0,10.0,2.0,121.6,127.4
47,222.85,222.85,0.0,Battery_1,hold,0.0,10.0,2.0,217.95,223.75
48,182.0,182.0,0.0,Battery_1,hold,0.0,10.0,2.0,177.1,182.9
1,169.87,169.87,0.0,Battery_2,hold,0.0,10.0,10.0,164.97,170.77
2,139.68,139.68,0.0,Battery_2,hold,0.0,10.0,10.0,134.78,140.58
3,158.67,158.67,0.0,Battery_2,hold,0.0,10.0,10.0,153.76999999999998,159.57
4,123.33,123.33,0.0,Battery_2,hold,0.0,10.0,10.0,118.42999999999999,124.23
5,126.5,126.5,126.5,Battery_2,charge,7.5,13.4,13.38,121.6,127.4
6,165.25,165.25,0.0,Battery_2,hold,0.0,13.4,13.38,160.35,166.15
7,126.2,126.2,0.0,Battery_2,hold,0.0,13.4,13.38,121.3,127.10000000000001
8,126.29,126.29,126.29,Battery_2,charge,3.52,15.0,14.96,121.39,127.19000000000001
9,157.67,157.67,157.67,Battery_2,charge,7.5,18.3,18.33,152.76999999999998,158.57
10,184.21,184.21,0.0,Battery_2,hold,0.0,18.3,18.33,179.31,185.11
11,190.0,190.0,0.0,Battery_2,hold,0.0,18.3,18.33,185.1,190.9
