Date,Service_Type,EFA_1,EFA_2,EFA_3,EFA_4,EFA_5,EFA_6
2026-04-08,DC-H,1094,1164,1020,1174,1203,974
2026-04-08,DC-L,1048,1032,1078,1102,1141,1017
2026-04-09,DC-H,1102,1169,1053,1158,1171,1014
2026-04-09,DC-L,1084,1133,1089,1081,1132,1019
2026-04-10,DC-H,1093,1166,1053,1160,1168,1051
2026-04-10,DC-L,1078,1132,1073,1085,1131,1012
2026-04-11,DC-H,1097,1191,1152,1172,1178,988
2026-04-11,DC-L,1080,1134,1103,1099,1139,1019
