settlement_period,ssp,sbp,price_used,asset,action,power_mw,soc,energy_mwh
1,150.04,150.04,150.04,Battery_1,charge,3.0,16.8,3.35
2,174.14,174.14,174.14,Battery_1,charge,3.0,23.5,4.7
3,172.94,172.94,172.94,Battery_1,charge,3.0,30.2,6.05
4,174.94,174.94,174.94,Battery_1,charge,3.0,37.0,7.4
5,174.16,174.16,174.16,Battery_1,charge,3.0,43.8,8.75
6,176.28,176.28,176.28,Battery_1,charge,3.0,50.5,10.1
7,173.24,173.24,173.24,Battery_1,charge,3.0,57.2,11.45
8,179.15,179.15,0.0,Battery_1,hold,0.0,57.2,11.45
9,198.1,198.1,0.0,Battery_1,hold,0.0,57.2,11.45
10,177.54,177.54,177.54,Battery_1,charge,2.56,63.0,12.6
11,177.43,177.43,177.43,Battery_1,charge,3.0,69.8,13.95
12,174.74,174.74,174.74,Battery_1,charge,3.0,76.5,15.3
13,171.92,171.92,171.92,Battery_1,charge,3.0,83.2,16.65
14,196.02,196.02,0.0,Battery_1,hold,0.0,83.2,16.65
15,163.57,163.57,163.57,Battery_1,charge,3.0,90.0,18.0
16,240.0,240.0,240.0,Battery_1,discharge,3.0,81.7,16.33
17,225.0,225.0,0.0,Battery_1,hold,0.0,81.7,16.33
18,250.0,250.0,250.0,Battery_1,discharge,3.0,73.3,14.67
19,240.0,240.0,240.0,Battery_1,discharge,3.0,65.0,13.0
20,240.0,240.0,240.0,Battery_1,discharge,0.09,64.8,12.95
21,225.0,225.0,0.0,Battery_1,hold,0.0,64.8,12.95
22,219.99,219.99,0.0,Battery_1,hold,0.0,64.8,12.95
23,219.99,219.99,0.0,Battery_1,hold,0.0,64.8,12.95
24,219.99,219.99,0.0,Battery_1,hold,0.0,64.8,12.95
25,219.99,219.99,0.0,Battery_1,hold,0.0,64.8,12.95
26,219.99,219.99,0.0,Battery_1,hold,0.0,64.8,12.95
27,219.99,219.99,0.0,Battery_1,hold,0.0,64.8,12.95
28,161.3,161.3,161.3,Battery_1,charge,3.0,71.5,14.3
29,165.0,165.0,165.0,Battery_1,charge,3.0,78.2,15.65
30,170.79,170.79,170.79,Battery_1,charge,3.0,85.0,17.0
31,269.0,269.0,269.0,Battery_1,discharge,3.0,76.7,15.33
32,245.0,245.0,245.0,Battery_1,discharge,3.0,68.3,13.67
33,276.0,276.0,276.0,Battery_1,discharge,3.0,60.0,12.0
34,276.5,276.5,276.5,Battery_1,discharge,3.0,51.7,10.33
35,276.0,276.0,276.0,Battery_1,discharge,3.0,43.3,8.67
36,276.0,276.0,276.0,Battery_1,discharge,3.0,35.0,7.0
37,276.0,276.0,276.0,Battery_1,discharge,3.0,26.7,5.33
38,245.0,245.0,245.0,Battery_1,discharge,3.0,18.3,3.67
39,276.8,276.8,276.8,Battery_1,discharge,3.0,10.0,2.0
40,221.0,221.0,0.0,Battery_1,hold,0.0,10.0,2.0
41,228.25,228.25,0.0,Battery_1,hold,0.0,10.0,2.0
42,226.0,226.0,0.0,Battery_1,hold,0.0,10.0,2.0
43,220.0,220.0,0.0,Battery_1,hold,0.0,10.0,2.0
44,220.0,220.0,0.0,Battery_1,hold,0.0,10.0,2.0
45,220.0,220.0,0.0,Battery_1,hold,0.0,10.0,2.0
46,151.01,151.01,151.01,Battery_1,charge,3.0,16.8,3.35
47,219.25,219.25,219.25,Battery_1,discharge,2.43,10.0,2.0
48,144.49,144.49,0.0,Battery_1,hold,0.0,10.0,2.0
1,150.04,150.04,150.04,Battery_2,charge,7.5,13.4,13.38
2,174.14,174.14,174.14,Battery_2,charge,7.5,16.8,16.75
3,172.94,172.94,172.94,Battery_2,charge,7.5,20.1,20.12
4,174.94,174.94,174.94,Battery_2,charge,7.5,23.5,23.5
5,174.16,174.16,174.16,Battery_2,charge,7.5,26.9,26.88
6,176.28,176.28,176.28,Battery_2,charge,7.5,30.2,30.25
7,173.24,173.24,173.24,Battery_2,charge,7.5,33.6,33.62
8,179.15,179.15,179.15,Battery_2,charge,7.5,37.0,37.0
9,198.1,198.1,0.0,Battery_2,hold,0.0,37.0,37.0
10,177.54,177.54,177.54,Battery_2,charge,7.5,40.4,40.38
11,177.43,177.43,177.43,Battery_2,charge,7.5,43.8,43.75
12,174.74,174.74,174.74,Battery_2,charge,7.5,47.1,47.12
13,171.92,171.92,171.92,Battery_2,charge,7.5,50.5,50.5
14,196.02,196.02,0.0,Battery_2,hold,0.0,50.5,50.5
15,163.57,163.57,163.57,Battery_2,charge,7.5,53.9,53.88
16,240.0,240.0,240.0,Battery_2,discharge,7.5,49.7,49.71
17,225.0,225.0,0.0,Battery_2,hold,0.0,49.7,49.71
18,250.0,250.0,250.0,Battery_2,discharge,7.5,45.5,45.54
19,240.0,240.0,240.0,Battery_2,discharge,7.5,41.4,41.38
20,240.0,240.0,240.0,Battery_2,discharge,7.2,37.4,37.38
21,225.0,225.0,0.0,Battery_2,hold,0.0,37.4,37.38
22,219.99,219.99,0.0,Battery_2,hold,0.0,37.4,37.38
23,219.99,219.99,0.0,Battery_2,hold,0.0,37.4,37.38
24,219.99,219.99,0.0,Battery_2,hold,0.0,37.4,37.38
25,219.99,219.99,0.0,Battery_2,hold,0.0,37.4,37.38
26,219.99,219.99,0.0,Battery_2,hold,0.0,37.4,37.38
27,219.99,219.99,0.0,Battery_2,hold,0.0,37.4,37.38
28,161.3,161.3,161.3,Battery_2,charge,7.5,40.8,40.75
29,165.0,165.0,165.0,Battery_2,charge,7.5,44.1,44.12
30,170.79,170.79,170.79,Battery_2,charge,7.5,47.5,47.5
31,269.0,269.0,269.0,Battery_2,discharge,7.5,43.3,43.33
32,245.0,245.0,245.0,Battery_2,discharge,7.5,39.2,39.17
33,276.0,276.0,276.0,Battery_2,discharge,7.5,35.0,35.0
34,276.5,276.5,276.5,Battery_2,discharge,7.5,30.8,30.83
35,276.0,276.0,276.0,Battery_2,discharge,7.5,26.7,26.67
36,276.0,276.0,276.0,Battery_2,discharge,7.5,22.5,22.5
37,276.0,276.0,276.0,Battery_2,discharge,7.5,18.3,18.33
38,245.0,245.0,245.0,Battery_2,discharge,7.5,14.2,14.17
39,276.8,276.8,276.8,Battery_2,discharge,7.5,10.0,10.0
40,221.0,221.0,0.0,Battery_2,hold,0.0,10.0,10.0
41,228.25,228.25,0.0,Battery_2,hold,0.0,10.0,10.0
42,226.0,226.0,0.0,Battery_2,hold,0.0,10.0,10.0
43,220.0,220.0,0.0,Battery_2,hold,0.0,10.0,10.0
44,220.0,220.0,0.0,Battery_2,hold,0.0,10.0,10.0
45,220.0,220.0,0.0,Battery_2,hold,0.0,10.0,10.0
46,151.01,151.01,151.01,Battery_2,charge,7.5,13.4,13.38
47,219.25,219.25,219.25,Battery_2,discharge,6.08,10.0,10.0
48,144.49,144.49,0.0,Battery_2,hold,0.0,10.0,10.0
1,150.04,150.04,150.04,Battery_3,charge,15.0,13.4,26.75
2,174.14,174.14,174.14,Battery_3,charge,15.0,16.8,33.5
3,172.94,172.94,172.94,Battery_3,charge,15.0,20.1,40.25
4,174.94,174.94,174.94,Battery_3,charge,15.0,23.5,47.0
5,174.16,174.16,174.16,Battery_3,charge,15.0,26.9,53.75
6,176.28,176.28,176.28,Battery_3,charge,15.0,30.2,60.5
7,173.24,173.24,173.24,Battery_3,charge,15.0,33.6,67.25
8,179.15,179.15,179.15,Battery_3,charge,15.0,37.0,74.0
9,198.1,198.1,0.0,Battery_3,hold,0.0,37.0,74.0
10,177.54,177.54,177.54,Battery_3,charge,15.0,40.4,80.75
11,177.43,177.43,177.43,Battery_3,charge,15.0,43.8,87.5
12,174.74,174.74,174.74,Battery_3,charge,15.0,47.1,94.25
13,171.92,171.92,171.92,Battery_3,charge,15.0,50.5,101.0
14,196.02,196.02,0.0,Battery_3,hold,0.0,50.5,101.0
15,163.57,163.57,163.57,Battery_3,charge,15.0,53.9,107.75
16,240.0,240.0,240.0,Battery_3,discharge,15.0,49.7,99.42
17,225.0,225.0,0.0,Battery_3,hold,0.0,49.7,99.42
18,250.0,250.0,250.0,Battery_3,discharge,15.0,45.5,91.08
19,240.0,240.0,240.0,Battery_3,discharge,15.0,41.4,82.75
20,240.0,240.0,240.0,Battery_3,discharge,14.4,37.4,74.75
21,225.0,225.0,0.0,Battery_3,hold,0.0,37.4,74.75
22,219.99,219.99,0.0,Battery_3,hold,0.0,37.4,74.75
23,219.99,219.99,0.0,Battery_3,hold,0.0,37.4,74.75
24,219.99,219.99,0.0,Battery_3,hold,0.0,37.4,74.75
25,219.99,219.99,0.0,Battery_3,hold,0.0,37.4,74.75
26,219.99,219.99,0.0,Battery_3,hold,0.0,37.4,74.75
27,219.99,219.99,0.0,Battery_3,hold,0.0,37.4,74.75
28,161.3,161.3,161.3,Battery_3,charge,15.0,40.8,81.5
29,165.0,165.0,165.0,Battery_3,charge,15.0,44.1,88.25
30,170.79,170.79,170.79,Battery_3,charge,15.0,47.5,95.0
31,269.0,269.0,269.0,Battery_3,discharge,15.0,43.3,86.67
32,245.0,245.0,245.0,Battery_3,discharge,15.0,39.2,78.33
33,276.0,276.0,276.0,Battery_3,discharge,15.0,35.0,70.0
34,276.5,276.5,276.5,Battery_3,discharge,15.0,30.8,61.67
35,276.0,276.0,276.0,Battery_3,discharge,15.0,26.7,53.33
36,276.0,276.0,276.0,Battery_3,discharge,15.0,22.5,45.0
37,276.0,276.0,276.0,Battery_3,discharge,15.0,18.3,36.67
38,245.0,245.0,245.0,Battery_3,discharge,15.0,14.2,28.33
39,276.8,276.8,276.8,Battery_3,discharge,15.0,10.0,20.0
40,221.0,221.0,0.0,Battery_3,hold,0.0,10.0,20.0
41,228.25,228.25,0.0,Battery_3,hold,0.0,10.0,20.0
42,226.0,226.0,0.0,Battery_3,hold,0.0,10.0,20.0
43,220.0,220.0,0.0,Battery_3,hold,0.0,10.0,20.0
44,220.0,220.0,0.0,Battery_3,hold,0.0,10.0,20.0
45,220.0,220.0,0.0,Battery_3,hold,0.0,10.0,20.0
46,151.01,151.01,151.01,Battery_3,charge,15.0,13.4,26.75
47,219.25,219.25,219.25,Battery_3,discharge,12.15,10.0,20.0
48,144.49,144.49,0.0,Battery_3,hold,0.0,10.0,20.0
1,150.04,150.04,150.04,Battery_4,charge,6.0,13.4,10.7
2,174.14,174.14,174.14,Battery_4,charge,6.0,16.8,13.4
3,172.94,172.94,172.94,Battery_4,charge,6.0,20.1,16.1
4,174.94,174.94,174.94,Battery_4,charge,6.0,23.5,18.8
5,174.16,174.16,174.16,Battery_4,charge,6.0,26.9,21.5
6,176.28,176.28,176.28,Battery_4,charge,6.0,30.2,24.2
7,173.24,173.24,173.24,Battery_4,charge,6.0,33.6,26.9
8,179.15,179.15,179.15,Battery_4,charge,6.0,37.0,29.6
9,198.1,198.1,0.0,Battery_4,hold,0.0,37.0,29.6
10,177.54,177.54,177.54,Battery_4,charge,6.0,40.4,32.3
11,177.43,177.43,177.43,Battery_4,charge,6.0,43.8,35.0
12,174.74,174.74,174.74,Battery_4,charge,6.0,47.1,37.7
13,171.92,171.92,171.92,Battery_4,charge,6.0,50.5,40.4
14,196.02,196.02,0.0,Battery_4,hold,0.0,50.5,40.4
15,163.57,163.57,163.57,Battery_4,charge,6.0,53.9,43.1
16,240.0,240.0,240.0,Battery_4,discharge,6.0,49.7,39.77
17,225.0,225.0,0.0,Battery_4,hold,0.0,49.7,39.77
18,250.0,250.0,250.0,Battery_4,discharge,6.0,45.5,36.43
19,240.0,240.0,240.0,Battery_4,discharge,6.0,41.4,33.1
20,240.0,240.0,240.0,Battery_4,discharge,5.76,37.4,29.9
21,225.0,225.0,0.0,Battery_4,hold,0.0,37.4,29.9
22,219.99,219.99,0.0,Battery_4,hold,0.0,37.4,29.9
23,219.99,219.99,0.0,Battery_4,hold,0.0,37.4,29.9
24,219.99,219.99,0.0,Battery_4,hold,0.0,37.4,29.9
25,219.99,219.99,0.0,Battery_4,hold,0.0,37.4,29.9
26,219.99,219.99,0.0,Battery_4,hold,0.0,37.4,29.9
27,219.99,219.99,0.0,Battery_4,hold,0.0,37.4,29.9
28,161.3,161.3,161.3,Battery_4,charge,6.0,40.8,32.6
29,165.0,165.0,165.0,Battery_4,charge,6.0,44.1,35.3
30,170.79,170.79,170.79,Battery_4,charge,6.0,47.5,38.0
31,269.0,269.0,269.0,Battery_4,discharge,6.0,43.3,34.67
32,245.0,245.0,245.0,Battery_4,discharge,6.0,39.2,31.33
33,276.0,276.0,276.0,Battery_4,discharge,6.0,35.0,28.0
34,276.5,276.5,276.5,Battery_4,discharge,6.0,30.8,24.67
35,276.0,276.0,276.0,Battery_4,discharge,6.0,26.7,21.33
36,276.0,276.0,276.0,Battery_4,discharge,6.0,22.5,18.0
37,276.0,276.0,276.0,Battery_4,discharge,6.0,18.3,14.67
38,245.0,245.0,245.0,Battery_4,discharge,6.0,14.2,11.33
39,276.8,276.8,276.8,Battery_4,discharge,6.0,10.0,8.0
40,221.0,221.0,0.0,Battery_4,hold,0.0,10.0,8.0
41,228.25,228.25,0.0,Battery_4,hold,0.0,10.0,8.0
42,226.0,226.0,0.0,Battery_4,hold,0.0,10.0,8.0
43,220.0,220.0,0.0,Battery_4,hold,0.0,10.0,8.0
44,220.0,220.0,0.0,Battery_4,hold,0.0,10.0,8.0
45,220.0,220.0,0.0,Battery_4,hold,0.0,10.0,8.0
46,151.01,151.01,151.01,Battery_4,charge,6.0,13.4,10.7
