settlementDate,settlementPeriod,startTime,publishTime,nationalDemand,transmissionSystemDemand
2024-09-02,1,2024-09-01T23:00:00Z,2024-09-01T11:45:00Z,19710,20440
2024-09-02,2,2024-09-01T23:30:00Z,2024-09-01T11:45:00Z,19180,19701
2024-09-02,3,2024-09-02T00:00:00Z,2024-09-01T11:45:00Z,18856,19356
2024-09-02,4,2024-09-02T00:30:00Z,2024-09-01T11:45:00Z,18680,19180
2024-09-02,5,2024-09-02T01:00:00Z,2024-09-01T11:45:00Z,18430,18930
2024-09-02,6,2024-09-02T01:30:00Z,2024-09-01T11:45:00Z,18176,18676
2024-09-02,7,2024-09-02T02:00:00Z,2024-09-01T11:45:00Z,18151,18651
2024-09-02,8,2024-09-02T02:30:00Z,2024-09-01T11:45:00Z,18206,18706
2024-09-02,9,2024-09-02T03:00:00Z,2024-09-01T11:45:00Z,18202,18783
2024-09-02,10,2024-09-02T03:30:00Z,2024-09-01T11:45:00Z,18180,18761
2024-09-02,11,2024-09-02T04:00:00Z,2024-09-01T11:45:00Z,18629,20102
2024-09-02,12,2024-09-02T04:30:00Z,2024-09-01T11:45:00Z,19392,20865
2024-09-02,13,2024-09-02T05:00:00Z,2024-09-01T11:45:00Z,21006,21936
2024-09-02,14,2024-09-02T05:30:00Z,2024-09-01T11:45:00Z,22381,23311
2024-09-02,15,2024-09-02T06:00:00Z,2024-09-01T11:45:00Z,24145,24695
2024-09-02,16,2024-09-02T06:30:00Z,2024-09-01T11:45:00Z,25180,25730
2024-09-02,17,2024-09-02T07:00:00Z,2024-09-01T11:45:00Z,27125,27625
2024-09-02,18,2024-09-02T07:30:00Z,2024-09-01T11:45:00Z,27926,28426
2024-09-02,19,2024-09-02T08:00:00Z,2024-09-01T11:45:00Z,28690,29190
2024-09-02,20,2024-09-02T08:30:00Z,2024-09-01T11:45:00Z,28581,29081
2024-09-02,21,2024-09-02T09:00:00Z,2024-09-01T11:45:00Z,28253,28753
2024-09-02,22,2024-09-02T09:30:00Z,2024-09-01T11:45:00Z,28311,28811
2024-09-02,23,2024-09-02T10:00:00Z,2024-09-01T11:45:00Z,28210,28710
2024-09-02,24,2024-09-02T10:30:00Z,2024-09-01T11:45:00Z,28269,28769
2024-09-02,25,2024-09-02T11:00:00Z,2024-09-01T11:45:00Z,28675,29175
2024-09-02,26,2024-09-02T11:30:00Z,2024-09-01T11:45:00Z,28850,29350
2024-09-02,27,2024-09-02T12:00:00Z,2024-09-01T11:45:00Z,28568,29068
2024-09-02,28,2024-09-02T12:30:00Z,2024-09-01T11:45:00Z,28255,28755
2024-09-02,29,2024-09-02T13:00:00Z,2024-09-01T11:45:00Z,27878,28378
2024-09-02,30,2024-09-02T13:30:00Z,2024-09-01T11:45:00Z,27730,28230
2024-09-02,31,2024-09-02T14:00:00Z,2024-09-01T11:45:00Z,28049,28562
2024-09-02,32,2024-09-02T14:30:00Z,2024-09-01T11:45:00Z,27958,28471
2024-09-02,33,2024-09-02T15:00:00Z,2024-09-01T11:45:00Z,28323,28836
2024-09-02,34,2024-09-02T15:30:00Z,2024-09-01T11:45:00Z,28969,29482
2024-09-02,35,2024-09-02T16:00:00Z,2024-09-01T11:45:00Z,29492,31028
2024-09-02,36,2024-09-02T16:30:00Z,2024-09-01T11:45:00Z,29826,31362
2024-09-02,37,2024-09-02T17:00:00Z,2024-09-01T11:45:00Z,29900,31291
2024-09-02,38,2024-09-02T17:30:00Z,2024-09-01T11:45:00Z,29874,31265
2024-09-02,39,2024-09-02T18:00:00Z,2024-09-01T11:45:00Z,29920,31211
2024-09-02,40,2024-09-02T18:30:00Z,2024-09-01T11:45:00Z,29779,31070
2024-09-02,41,2024-09-02T19:00:00Z,2024-09-01T11:45:00Z,29760,30302
2024-09-02,42,2024-09-02T19:30:00Z,2024-09-01T11:45:00Z,29699,30241
2024-09-02,43,2024-09-02T20:00:00Z,2024-09-01T11:45:00Z,28645,29192
2024-09-02,44,2024-09-02T20:30:00Z,2024-09-01T11:45:00Z,27401,27948
2024-09-02,45,2024-09-02T21:00:00Z,2024-09-01T11:45:00Z,25759,26272
2024-09-02,46,2024-09-02T21:30:00Z,2024-09-01T11:45:00Z,24141,24654
2024-09-02,47,2024-09-02T22:00:00Z,2024-09-01T11:45:00Z,22494,23068
2024-09-02,48,2024-09-02T22:30:00Z,2024-09-01T11:45:00Z,21130,21704
2024-09-03,1,2024-09-02T23:00:00Z,2024-09-01T11:45:00Z,20740,21314
2024-09-03,2,2024-09-02T23:30:00Z,2024-09-01T11:45:00Z,20256,20830
2024-09-03,3,2024-09-03T00:00:00Z,2024-09-01T11:45:00Z,19841,20423
2024-09-03,4,2024-09-03T00:30:00Z,2024-09-01T11:45:00Z,19670,20252
2024-09-03,5,2024-09-03T01:00:00Z,2024-09-01T11:45:00Z,19351,19933
2024-09-03,6,2024-09-03T01:30:00Z,2024-09-01T11:45:00Z,18934,19516
2024-09-03,7,2024-09-03T02:00:00Z,2024-09-01T11:45:00Z,18777,19359
2024-09-03,8,2024-09-03T02:30:00Z,2024-09-01T11:45:00Z,18753,19335
2024-09-03,9,2024-09-03T03:00:00Z,2024-09-01T11:45:00Z,18841,19423
2024-09-03,10,2024-09-03T03:30:00Z,2024-09-01T11:45:00Z,18760,19342
