settlement_period,price,asset,action,power_mw,soc,energy_mwh,settle_price,settle_price_discharge,settle_price_charge
1,137.37186219196738,Battery_1,hold,0.0,50.0,10.0,140.53,135.63,141.43
2,136.57612153207495,Battery_1,charge,4.0,59.0,11.8,143.07,138.17,143.97
3,139.4098666405023,Battery_1,hold,0.0,59.0,11.8,136.65,131.75,137.55
4,138.2841368697375,Battery_1,hold,0.0,59.0,11.8,139.03,134.13,139.93
5,138.30143191843348,Battery_1,hold,0.0,59.0,11.8,142.02,137.12,142.92000000000002
6,136.70495796410052,Battery_1,charge,2.91,65.6,13.11,140.17,135.26999999999998,141.07
7,140.25719226903206,Battery_1,hold,0.0,65.6,13.11,143.48,138.57999999999998,144.38
8,136.7470626847692,Battery_1,hold,0.0,65.6,13.11,141.88,136.98,142.78
9,145.7977775174155,Battery_1,hold,0.0,65.6,13.11,143.37,138.47,144.27
10,145.74963127624665,Battery_1,hold,0.0,65.6,13.11,146.35,141.45,147.25
11,166.11704020194566,Battery_1,hold,0.0,65.6,13.11,163.45,158.54999999999998,164.35
12,170.13174343937598,Battery_1,hold,0.0,65.6,13.11,172.55,167.65,173.45000000000002
13,174.82848601398405,Battery_1,discharge,4.0,54.4,10.89,187.32,182.42,188.22
14,187.25620037345038,Battery_1,discharge,4.0,43.3,8.67,189.57,184.67,190.47
15,194.57109144749535,Battery_1,discharge,4.0,32.2,6.44,194.53,189.63,195.43
16,198.59640376471657,Battery_1,discharge,4.0,21.1,4.22,199.12,194.22,200.02
17,175.5087259231816,Battery_1,discharge,4.0,10.0,2.0,172.05,167.15,172.95000000000002
18,163.58575785270443,Battery_1,hold,0.0,10.0,2.0,164.56,159.66,165.46
19,143.4526645738789,Battery_1,hold,0.0,10.0,2.0,156.71,151.81,157.61
20,127.26662093267642,Battery_1,hold,0.0,10.0,2.0,159.6,154.7,160.5
21,116.50482547010346,Battery_1,hold,0.0,10.0,2.0,167.86,162.96,168.76000000000002
22,108.38199082126715,Battery_1,hold,0.0,10.0,2.0,169.16,164.26,170.06
23,94.76953070499218,Battery_1,charge,4.0,19.0,3.8,158.95,154.04999999999998,159.85
24,90.06176825047663,Battery_1,charge,4.0,28.0,5.6,152.15,147.25,153.05
25,89.05118531443996,Battery_1,charge,4.0,37.0,7.4,144.57,139.67,145.47
26,88.73797250732456,Battery_1,charge,4.0,46.0,9.2,151.93,147.03,152.83
27,75.70860352010439,Battery_1,charge,4.0,55.0,11.0,142.16,137.26,143.06
28,79.33825255962837,Battery_1,charge,4.0,64.0,12.8,151.94,147.04,152.84
29,81.53632221329943,Battery_1,charge,4.0,73.0,14.6,149.67,144.76999999999998,150.57
30,82.45310009832826,Battery_1,charge,4.0,82.0,16.4,142.06,137.16,142.96
31,97.63965931124422,Battery_1,charge,3.56,90.0,18.0,160.14,155.23999999999998,161.04
32,107.44288517746699,Battery_1,hold,0.0,90.0,18.0,159.9,155.0,160.8
33,121.64501007936177,Battery_1,hold,0.0,90.0,18.0,171.43,166.53,172.33
34,131.66955453647378,Battery_1,hold,0.0,90.0,18.0,170.44,165.54,171.34
35,165.07123597650673,Battery_1,discharge,4.0,78.9,15.78,204.85,199.95,205.75
36,173.41398681754626,Battery_1,discharge,4.0,67.8,13.56,210.3,205.4,211.20000000000002
37,187.41033329379934,Battery_1,discharge,4.0,56.7,11.33,209.8,204.9,210.70000000000002
38,185.79286950639465,Battery_1,discharge,4.0,45.6,9.11,206.08,201.18,206.98000000000002
39,183.46005001244095,Battery_1,discharge,4.0,34.4,6.89,204.69,199.79,205.59
40,180.72128434121942,Battery_1,discharge,4.0,23.3,4.67,201.7,196.79999999999998,202.6
41,167.85566685918658,Battery_1,discharge,4.0,12.2,2.44,199.83,194.93,200.73000000000002
42,158.81283694315695,Battery_1,discharge,0.8,10.0,2.0,194.84,189.94,195.74
43,145.7166668849844,Battery_1,hold,0.0,10.0,2.0,179.78,174.88,180.68
44,133.58659650559784,Battery_1,hold,0.0,10.0,2.0,159.34,154.44,160.24
45,123.32100389160571,Battery_1,hold,0.0,10.0,2.0,162.54,157.64,163.44
46,116.00117054037064,Battery_1,hold,0.0,10.0,2.0,162.28,157.38,163.18
47,110.28590514166643,Battery_1,hold,0.0,10.0,2.0,152.42,147.51999999999998,153.32
48,107.78151165264279,Battery_1,hold,0.0,10.0,2.0,149.6,144.7,150.5
1,137.37186219196738,Battery_2,hold,0.0,50.0,50.0,140.53,135.63,141.43
2,136.57612153207495,Battery_2,hold,0.0,50.0,50.0,143.07,138.17,143.97
3,139.4098666405023,Battery_2,hold,0.0,50.0,50.0,136.65,131.75,137.55
4,138.2841368697375,Battery_2,hold,0.0,50.0,50.0,139.03,134.13,139.93
5,138.30143191843348,Battery_2,hold,0.0,50.0,50.0,142.02,137.12,142.92000000000002
6,136.70495796410052,Battery_2,hold,0.0,50.0,50.0,140.17,135.26999999999998,141.07
7,140.25719226903206,Battery_2,hold,0.0,50.0,50.0,143.48,138.57999999999998,144.38
8,136.7470626847692,Battery_2,hold,0.0,50.0,50.0,141.88,136.98,142.78
9,145.7977775174155,Battery_2,hold,0.0,50.0,50.0,143.37,138.47,144.27
10,145.74963127624665,Battery_2,hold,0.0,50.0,50.0,146.35,141.45,147.25
11,166.11704020194566,Battery_2,hold,0.0,50.0,50.0,163.45,158.54999999999998,164.35
12,170.13174343937598,Battery_2,discharge,9.5,44.7,44.72,172.55,167.65,173.45000000000002
13,174.82848601398405,Battery_2,discharge,12.5,37.8,37.78,187.32,182.42,188.22
