settlementDate,settlementPeriod,startTime,publishTime,nationalDemand,transmissionSystemDemand
2026-08-18,1,2026-08-17T23:00:00Z,2026-08-17T11:48:00Z,22340,23367
2026-08-18,2,2026-08-17T23:30:00Z,2026-08-17T11:48:00Z,21491,22518
2026-08-18,3,2026-08-18T00:00:00Z,2026-08-17T11:48:00Z,21402,22443
2026-08-18,4,2026-08-18T00:30:00Z,2026-08-17T11:48:00Z,21390,22431
2026-08-18,5,2026-08-18T01:00:00Z,2026-08-17T11:48:00Z,20889,21985
2026-08-18,6,2026-08-18T01:30:00Z,2026-08-17T11:48:00Z,20645,21741
2026-08-18,7,2026-08-18T02:00:00Z,2026-08-17T11:48:00Z,19779,21215
2026-08-18,8,2026-08-18T02:30:00Z,2026-08-17T11:48:00Z,19478,20914
2026-08-18,9,2026-08-18T03:00:00Z,2026-08-17T11:48:00Z,19219,20984
2026-08-18,10,2026-08-18T03:30:00Z,2026-08-17T11:48:00Z,19026,20791
2026-08-18,11,2026-08-18T04:00:00Z,2026-08-17T11:48:00Z,19020,21205
2026-08-18,12,2026-08-18T04:30:00Z,2026-08-17T11:48:00Z,19251,21436
2026-08-18,13,2026-08-18T05:00:00Z,2026-08-17T11:48:00Z,20596,22781
2026-08-18,14,2026-08-18T05:30:00Z,2026-08-17T11:48:00Z,21770,23955
2026-08-18,15,2026-08-18T06:00:00Z,2026-08-17T11:48:00Z,24109,25917
2026-08-18,16,2026-08-18T06:30:00Z,2026-08-17T11:48:00Z,24840,26648
2026-08-18,17,2026-08-18T07:00:00Z,2026-08-17T11:48:00Z,26207,27020
2026-08-18,18,2026-08-18T07:30:00Z,2026-08-17T11:48:00Z,26351,27164
2026-08-18,19,2026-08-18T08:00:00Z,2026-08-17T11:48:00Z,26630,27251
2026-08-18,20,2026-08-18T08:30:00Z,2026-08-17T11:48:00Z,26266,26887
2026-08-18,21,2026-08-18T09:00:00Z,2026-08-17T11:48:00Z,25825,26368
2026-08-18,22,2026-08-18T09:30:00Z,2026-08-17T11:48:00Z,25559,26102
2026-08-18,23,2026-08-18T10:00:00Z,2026-08-17T11:48:00Z,25065,26011
2026-08-18,24,2026-08-18T10:30:00Z,2026-08-17T11:48:00Z,24529,25477
2026-08-18,25,2026-08-18T11:00:00Z,2026-08-17T11:48:00Z,24220,25672
2026-08-18,26,2026-08-18T11:30:00Z,2026-08-17T11:48:00Z,23575,25147
2026-08-18,27,2026-08-18T12:00:00Z,2026-08-17T11:48:00Z,23296,24837
2026-08-18,28,2026-08-18T12:30:00Z,2026-08-17T11:48:00Z,22992,24530
2026-08-18,29,2026-08-18T13:00:00Z,2026-08-17T11:48:00Z,22600,24261
2026-08-18,30,2026-08-18T13:30:00Z,2026-08-17T11:48:00Z,22942,24603
2026-08-18,31,2026-08-18T14:00:00Z,2026-08-17T11:48:00Z,23133,24212
2026-08-18,32,2026-08-18T14:30:00Z,2026-08-17T11:48:00Z,23409,24482
2026-08-18,33,2026-08-18T15:00:00Z,2026-08-17T11:48:00Z,23620,24325
2026-08-18,34,2026-08-18T15:30:00Z,2026-08-17T11:48:00Z,24790,25495
2026-08-18,35,2026-08-18T16:00:00Z,2026-08-17T11:48:00Z,25438,26329
2026-08-18,36,2026-08-18T16:30:00Z,2026-08-17T11:48:00Z,26646,27537
2026-08-18,37,2026-08-18T17:00:00Z,2026-08-17T11:48:00Z,27690,28462
2026-08-18,38,2026-08-18T17:30:00Z,2026-08-17T11:48:00Z,28470,29242
2026-08-18,39,2026-08-18T18:00:00Z,2026-08-17T11:48:00Z,28282,29216
2026-08-18,40,2026-08-18T18:30:00Z,2026-08-17T11:48:00Z,28410,29344
2026-08-18,41,2026-08-18T19:00:00Z,2026-08-17T11:48:00Z,27983,28917
2026-08-18,42,2026-08-18T19:30:00Z,2026-08-17T11:48:00Z,28219,29153
2026-08-18,43,2026-08-18T20:00:00Z,2026-08-17T11:48:00Z,28065,28999
2026-08-18,44,2026-08-18T20:30:00Z,2026-08-17T11:48:00Z,27644,28578
2026-08-18,45,2026-08-18T21:00:00Z,2026-08-17T11:48:00Z,26452,27382
2026-08-18,46,2026-08-18T21:30:00Z,2026-08-17T11:48:00Z,25646,26576
2026-08-18,47,2026-08-18T22:00:00Z,2026-08-17T11:48:00Z,23621,24121
2026-08-18,48,2026-08-18T22:30:00Z,2026-08-17T11:48:00Z,22530,23030
2026-08-19,1,2026-08-18T23:00:00Z,2026-08-17T11:48:00Z,22200,22700
2026-08-19,2,2026-08-18T23:30:00Z,2026-08-17T11:48:00Z,21848,22348
2026-08-19,3,2026-08-19T00:00:00Z,2026-08-17T11:48:00Z,21372,21872
2026-08-19,4,2026-08-19T00:30:00Z,2026-08-17T11:48:00Z,21460,21960
2026-08-19,5,2026-08-19T01:00:00Z,2026-08-17T11:48:00Z,20738,21238
2026-08-19,6,2026-08-19T01:30:00Z,2026-08-17T11:48:00Z,20282,20782
2026-08-19,7,2026-08-19T02:00:00Z,2026-08-17T11:48:00Z,19823,20323
2026-08-19,8,2026-08-19T02:30:00Z,2026-08-17T11:48:00Z,19629,20129
2026-08-19,9,2026-08-19T03:00:00Z,2026-08-17T11:48:00Z,19408,19908
2026-08-19,10,2026-08-19T03:30:00Z,2026-08-17T11:48:00Z,19320,19820
