settlementDate,settlementPeriod,startTime,createdDateTime,systemSellPrice,systemBuyPrice,bsadDefaulted,priceDerivationCode,reserveScarcityPrice,netImbalanceVolume,sellPriceAdjustment,buyPriceAdjustment,replacementPrice,replacementPriceReferenceVolume,totalAcceptedOfferVolume,totalAcceptedBidVolume,totalAdjustmentSellVolume,totalAdjustmentBuyVolume,totalSystemTaggedAcceptedOfferVolume,totalSystemTaggedAcceptedBidVolume,totalSystemTaggedAdjustmentSellVolume,totalSystemTaggedAdjustmentBuyVolume
2026-06-12,1,2026-06-11T23:00:00Z,2026-06-12T23:45:13Z,96.92,96.92,False,P,0.0,15.425,0.0,0.0,96.92,0.0,1622.6833333333334,-1607.2583333333334,0.0,0.0,1621.6833333333334,-1607.2583333333334,,
2026-06-12,2,2026-06-11T23:30:00Z,2026-06-13T00:14:39Z,92.97,92.97,False,P,0.0,75.76754872685186,0.0,0.0,92.97,0.0,1581.1842153935186,-1505.4279840856482,0.0,0.0,1580.1842153935186,-1505.4279840856482,,
2026-06-12,3,2026-06-12T00:00:00Z,2026-06-13T00:44:45Z,87.14,87.14,False,N,0.0,-47.693888888888885,0.0,0.0,,,1632.5,-1380.193888888889,-300.0,0.0,1632.5,-1380.193888888889,-299.0,
2026-06-12,4,2026-06-12T00:30:00Z,2026-06-13T01:14:44Z,108.97914987930804,108.97914987930804,False,P,0.0,121.24860875,0.0,0.0,108.975,1.0,1654.124997638889,-1232.8097222222223,-300.0,0.0,1653.124997638889,-1232.8097222222223,-300.0,
2026-06-12,5,2026-06-12T01:00:00Z,2026-06-13T01:45:09Z,118.34,118.34,False,P,0.0,180.96833666666666,0.0,0.0,,,1885.8927811111112,-1229.8838888888888,-475.0,0.0,1884.8927811111112,-1229.8838888888888,-475.0,
2026-06-12,6,2026-06-12T01:30:00Z,2026-06-13T02:16:30Z,125.0,125.0,False,P,0.0,295.47578995915035,0.0,0.0,,,1921.6174566258169,-1151.1418030310458,-475.0,0.0,1920.6174566258169,-1151.1418030310458,-475.0,
2026-06-12,7,2026-06-12T02:00:00Z,2026-06-13T02:44:40Z,122.85,122.85,False,P,0.0,240.84856033564816,0.0,0.0,,,1906.9652270023148,-1066.067136724537,-600.0,0.0,1905.9652270023148,-1066.067136724537,-600.0,
2026-06-12,8,2026-06-12T02:30:00Z,2026-06-13T03:15:25Z,76.870099009901,76.870099009901,False,N,0.0,-70.00150938712522,0.0,0.0,,,1786.4127439462081,-1257.0177726234567,-600.0,0.0,1786.4127439462081,-1257.0177726234567,-599.0,
2026-06-12,9,2026-06-12T03:00:00Z,2026-06-13T03:44:37Z,122.85,122.85,False,P,0.0,54.64853892937812,0.0,0.0,,,1877.6024022627114,-1223.3540748732055,-600.0,0.0,1876.6024022627114,-1223.3540748732055,-600.0,
2026-06-12,10,2026-06-12T03:30:00Z,2026-06-13T04:14:38Z,81.36,81.36,False,N,0.0,-193.5188561431624,0.0,0.0,,,1709.7478098290599,-1303.8916659722222,-600.0,0.0,1709.7478098290599,-1303.8916659722222,-599.0,
