settlementDate,settlementPeriod,solar_mw,wind_offshore_mw,wind_onshore_mw,wind_total_mw,renewable_total_mw
2025-12-03,1,0.0,8846.316,4733.641,13579.957,13579.957
2025-12-03,2,0.0,8846.316,4733.641,13579.957,13579.957
2025-12-03,3,0.0,8319.549,4639.684,12959.233,12959.233
2025-12-03,4,0.0,8319.549,4639.684,12959.233,12959.233
2025-12-03,5,0.0,7958.861,4664.087,12622.948,12622.948
2025-12-03,6,0.0,7958.861,4664.087,12622.948,12622.948
2025-12-03,7,0.0,7815.389,4750.687,12566.076,12566.076
2025-12-03,8,0.0,7815.389,4750.687,12566.076,12566.076
2025-12-03,9,0.0,7726.334,4940.627,12666.961,12666.961
2025-12-03,10,0.0,7726.334,4940.627,12666.961,12666.961
2025-12-03,11,0.0,7662.386,5152.676,12815.062000000002,12815.062000000002
2025-12-03,12,0.0,7662.386,5152.676,12815.062000000002,12815.062000000002
2025-12-03,13,0.0,7523.043,5388.759,12911.802,12911.802
2025-12-03,14,0.0,7523.043,5388.759,12911.802,12911.802
2025-12-03,15,0.0,7116.017,5589.611,12705.628,12705.628
2025-12-03,16,23.0,7116.017,5589.611,12705.628,12728.628
2025-12-03,17,378.0,7290.2,5762.079,13052.279,13430.279
2025-12-03,18,984.0,7290.2,5762.079,13052.279,14036.279
2025-12-03,19,1767.0,7576.776,5822.399,13399.175,15166.175
2025-12-03,20,2666.0,7576.776,5822.399,13399.175,16065.175
2025-12-03,21,3597.0,7896.69,5750.042,13646.732,17243.732
2025-12-03,22,4370.0,7896.69,5750.042,13646.732,18016.732
2025-12-03,23,4814.0,8066.049,5606.728,13672.777,18486.777
2025-12-03,24,4942.0,8066.049,5606.728,13672.777,18614.777
2025-12-03,25,4803.0,8099.885,5477.852,13577.737,18380.737
2025-12-03,26,4411.0,8099.885,5477.852,13577.737,17988.737
2025-12-03,27,3780.0,8100.507,5326.948,13427.455,17207.455
2025-12-03,28,2959.0,8100.507,5326.948,13427.455,16386.455
2025-12-03,29,2024.0,8118.187,5193.879,13312.066,15336.066
2025-12-03,30,1132.0,8118.187,5193.879,13312.066,14444.066
2025-12-03,31,443.0,8266.979,5147.97,13414.949,13857.949
2025-12-03,32,42.0,8266.979,5147.97,13414.949,13456.949
2025-12-03,33,0.0,8538.892,5294.693,13833.585,13833.585
2025-12-03,34,0.0,8538.892,5294.693,13833.585,13833.585
2025-12-03,35,16.0,8934.566,5510.858,14445.424,14461.424
2025-12-03,36,0.0,8934.566,5510.858,14445.424,14445.424
2025-12-03,37,0.0,9369.775,5706.319,15076.094,15076.094
2025-12-03,38,0.0,9369.775,5706.319,15076.094,15076.094
2025-12-03,39,0.0,9848.533,5896.376,15744.909,15744.909
2025-12-03,40,0.0,9848.533,5896.376,15744.909,15744.909
2025-12-03,41,0.0,10127.326,6229.473,16356.799,16356.799
2025-12-03,42,0.0,10127.326,6229.473,16356.799,16356.799
2025-12-03,43,0.0,10313.561,6672.027,16985.588,16985.588
2025-12-03,44,0.0,10313.561,6672.027,16985.588,16985.588
2025-12-03,45,0.0,10663.597,7186.035,17849.631999999998,17849.631999999998
2025-12-03,46,0.0,10663.597,7186.035,17849.631999999998,17849.631999999998
2025-12-03,47,0.0,11040.122,7708.404,18748.526,18748.526
2025-12-03,48,0.0,11040.122,7708.404,18748.526,18748.526
