settlement_period,price,asset,action,power_mw,soc,energy_mwh,settle_price,settle_price_discharge,settle_price_charge
1,111.3398554410128,Battery_1,hold,0.0,50.0,10.0,138.68,133.78,139.58
2,106.7094149391237,Battery_1,hold,0.0,50.0,10.0,136.78,131.88,137.68
3,102.3858544804032,Battery_1,hold,0.0,50.0,10.0,122.65,117.75,123.55000000000001
4,103.43610112658514,Battery_1,hold,0.0,50.0,10.0,112.57,107.66999999999999,113.47
5,103.4121539302393,Battery_1,hold,0.0,50.0,10.0,116.43,111.53,117.33000000000001
6,101.15319228076486,Battery_1,hold,0.0,50.0,10.0,129.2,124.29999999999998,130.1
7,98.56824608663146,Battery_1,hold,0.0,50.0,10.0,112.91,108.00999999999999,113.81
8,97.17299775418873,Battery_1,charge,1.98,54.4,10.89,119.91,115.00999999999999,120.81
9,107.38249546168028,Battery_1,hold,0.0,54.4,10.89,117.82,112.91999999999999,118.72
10,108.38888774929666,Battery_1,hold,0.0,54.4,10.89,121.23,116.33,122.13000000000001
11,118.453614055466,Battery_1,hold,0.0,54.4,10.89,122.09,117.19,122.99000000000001
12,124.95106055618155,Battery_1,hold,0.0,54.4,10.89,127.43,122.53,128.33
13,136.67741268535107,Battery_1,discharge,4.0,43.3,8.67,129.83,124.93,130.73000000000002
14,145.30073117967066,Battery_1,discharge,4.0,32.2,6.44,139.15,134.25,140.05
15,141.0602488310389,Battery_1,discharge,4.0,21.1,4.22,140.2,135.29999999999998,141.1
16,149.31568760500863,Battery_1,discharge,4.0,10.0,2.0,161.5,156.6,162.4
17,124.70432412626602,Battery_1,hold,0.0,10.0,2.0,144.47,139.57,145.37
18,115.83671886635142,Battery_1,hold,0.0,10.0,2.0,117.34,112.44,118.24000000000001
19,90.66863861213228,Battery_1,hold,0.0,10.0,2.0,54.08,49.18,54.98
20,75.02640901768713,Battery_1,hold,0.0,10.0,2.0,16.77,11.87,17.669999999999998
21,60.47253165048847,Battery_1,hold,0.0,10.0,2.0,8.94,4.039999999999999,9.84
22,51.6544684538304,Battery_1,hold,0.0,10.0,2.0,1.92,-2.9800000000000004,2.82
23,36.15752605988622,Battery_1,charge,4.0,19.0,3.8,-1.71,-6.61,-0.8099999999999999
24,31.105629635202444,Battery_1,charge,4.0,28.0,5.6,-0.66,-5.5600000000000005,0.24
25,26.581991182515203,Battery_1,charge,4.0,37.0,7.4,-1.48,-6.380000000000001,-0.58
26,24.49957362601417,Battery_1,charge,4.0,46.0,9.2,-2.25,-7.15,-1.35
27,23.122141590703297,Battery_1,charge,4.0,55.0,11.0,14.69,9.79,15.59
28,23.653383495031317,Battery_1,charge,4.0,64.0,12.8,6.5,1.5999999999999996,7.4
29,29.25970179328007,Battery_1,charge,4.0,73.0,14.6,8.16,3.26,9.06
