settlementDate,settlementPeriod,startTime,createdDateTime,systemSellPrice,systemBuyPrice,bsadDefaulted,priceDerivationCode,reserveScarcityPrice,netImbalanceVolume,sellPriceAdjustment,buyPriceAdjustment,replacementPrice,replacementPriceReferenceVolume,totalAcceptedOfferVolume,totalAcceptedBidVolume,totalAdjustmentSellVolume,totalAdjustmentBuyVolume,totalSystemTaggedAcceptedOfferVolume,totalSystemTaggedAcceptedBidVolume,totalSystemTaggedAdjustmentSellVolume,totalSystemTaggedAdjustmentBuyVolume
2025-10-16,1,2025-10-15T23:00:00Z,2025-10-16T23:44:35Z,70.1,70.1,False,N,0.0,-49.94041472222222,0.0,0.0,,,403.6333333333333,-453.57374805555554,0.0,0.0,403.6333333333333,-452.57374805555554,,
2025-10-16,2,2025-10-15T23:30:00Z,2025-10-17T00:14:35Z,70.1,70.1,False,N,0.0,-116.14444444444445,0.0,0.0,,,345.0,-461.14444444444445,0.0,0.0,345.0,-460.14444444444445,,
2025-10-16,3,2025-10-16T00:00:00Z,2025-10-17T00:44:39Z,69.12,69.12,False,N,0.0,-123.82604166666667,0.0,0.0,,,345.0,-468.909375,0.0,0.0,345.0,-467.909375,,
2025-10-16,4,2025-10-16T00:30:00Z,2025-10-17T01:14:37Z,69.12,69.12,False,N,0.0,-209.7,0.0,0.0,,,345.0,-554.9666666666667,0.0,0.0,345.0,-553.9666666666667,,
2025-10-16,5,2025-10-16T01:00:00Z,2025-10-17T01:44:36Z,69.12,69.12,False,N,0.0,-252.87403846153848,0.0,0.0,,,347.31666666666666,-600.2573717948718,0.0,0.0,347.31666666666666,-599.2573717948718,,
2025-10-16,6,2025-10-16T01:30:00Z,2025-10-17T02:14:44Z,69.15,69.15,False,N,0.0,-26.195753205128206,0.0,0.0,,,386.8875,-414.0547823717949,0.0,0.0,386.8875,-413.0547823717949,,
2025-10-16,7,2025-10-16T02:00:00Z,2025-10-17T02:44:35Z,69.11,69.11,False,N,0.0,-294.0681924537037,0.0,0.0,,,349.2763890562678,-643.7570814814815,0.0,0.0,349.2763890562678,-642.7570814814815,,
2025-10-16,8,2025-10-16T02:30:00Z,2025-10-17T03:14:35Z,69.11,69.11,False,N,0.0,-173.9329036111111,0.0,0.0,,,361.29210527777775,-535.8084244444444,0.0,0.0,361.29210527777775,-534.8084244444444,,
2025-10-16,9,2025-10-16T03:00:00Z,2025-10-17T03:44:31Z,69.12,69.12,False,N,0.0,-434.40788819444447,0.0,0.0,,,345.00059652777776,-779.9662215277777,0.0,0.0,345.00059652777776,-778.9662215277777,,
2025-10-16,10,2025-10-16T03:30:00Z,2025-10-17T04:14:34Z,69.1,69.1,False,N,0.0,-672.9033267195767,0.0,0.0,,,340.9166666666667,-1014.3533267195767,0.0,0.0,340.9166666666667,-1013.3533267195767,,
2025-10-16,11,2025-10-16T04:00:00Z,2025-10-17T04:44:37Z,69.1,69.1,False,N,0.0,-500.75433763392857,0.0,0.0,,,255.96666677083334,-757.4381268005952,0.0,0.0,255.96666677083334,-756.4381268005952,,
2025-10-16,12,2025-10-16T04:30:00Z,2025-10-17T05:14:29Z,66.7,66.7,False,N,0.0,-496.25973665223665,0.0,0.0,,,163.66969696969696,-659.9294336219336,0.0,0.0,163.66969696969696,-658.9294336219336,,
2025-10-16,13,2025-10-16T05:00:00Z,2025-10-17T05:44:35Z,111.0,111.0,False,P,0.0,73.67640331890333,0.0,0.0,,,254.35555555555555,-180.67915223665224,0.0,0.0,253.35555555555555,-180.67915223665224,,
2025-10-16,14,2025-10-16T05:30:00Z,2025-10-17T06:14:35Z,104.9,104.9,False,P,0.0,79.60467948717948,0.0,0.0,,,264.98083333333335,-189.1517094017094,0.0,3.895,263.98083333333335,-189.1517094017094,,3.895
2025-10-16,15,2025-10-16T06:00:00Z,2025-10-17T06:44:36Z,104.9,104.9,False,P,0.0,221.6416676388889,0.0,0.0,,,399.86111208333335,-273.0527777777778,0.0,95.0,398.86111208333335,-273.0527777777778,,95.0
2025-10-16,16,2025-10-16T06:30:00Z,2025-10-17T07:14:32Z,104.9,104.9,False,P,0.0,147.39150041666667,0.0,0.0,,,414.36832652777775,-320.02249277777776,0.0,52.979,413.36832652777775,-320.02249277777776,,52.979
