startTime,dataProvider,settlementDate,settlementPeriod,price,volume
2025-08-03T23:00:00Z,APXMIDP,2025-08-04,1,90.72,1909.1
2025-08-03T23:30:00Z,APXMIDP,2025-08-04,2,93.45,2099.25
2025-08-03T00:00:00Z,APXMIDP,2025-08-03,3,57.25,1170.85
2025-08-03T00:30:00Z,APXMIDP,2025-08-03,4,45.76,1340.4
2025-08-03T01:00:00Z,APXMIDP,2025-08-03,5,47.56,1804.05
2025-08-03T01:30:00Z,APXMIDP,2025-08-03,6,43.26,1867.9
2025-08-03T02:00:00Z,APXMIDP,2025-08-03,7,29.8,1698.25
2025-08-03T02:30:00Z,APXMIDP,2025-08-03,8,28.92,1760.0
2025-08-03T03:00:00Z,APXMIDP,2025-08-03,9,31.47,1761.85
2025-08-03T03:30:00Z,APXMIDP,2025-08-03,10,32.4,2024.75
2025-08-03T04:00:00Z,APXMIDP,2025-08-03,11,31.39,1948.75
2025-08-03T04:30:00Z,APXMIDP,2025-08-03,12,28.73,1641.25
2025-08-03T05:00:00Z,APXMIDP,2025-08-03,13,20.63,1642.55
2025-08-03T05:30:00Z,APXMIDP,2025-08-03,14,17.16,1679.05
2025-08-03T06:00:00Z,APXMIDP,2025-08-03,15,10.11,1709.2
2025-08-03T06:30:00Z,APXMIDP,2025-08-03,16,10.77,1709.75
2025-08-03T07:00:00Z,APXMIDP,2025-08-03,17,15.27,2006.55
2025-08-03T07:30:00Z,APXMIDP,2025-08-03,18,14.01,2076.6
2025-08-03T08:00:00Z,APXMIDP,2025-08-03,19,7.91,2207.45
2025-08-03T08:30:00Z,APXMIDP,2025-08-03,20,2.06,2132.55
2025-08-03T09:00:00Z,APXMIDP,2025-08-03,21,6.88,2737.1
2025-08-03T09:30:00Z,APXMIDP,2025-08-03,22,9.58,3612.2
2025-08-03T10:00:00Z,APXMIDP,2025-08-03,23,15.62,3384.35
2025-08-03T10:30:00Z,APXMIDP,2025-08-03,24,17.33,3410.6
2025-08-03T11:00:00Z,APXMIDP,2025-08-03,25,10.38,3931.0
2025-08-03T11:30:00Z,APXMIDP,2025-08-03,26,17.27,3739.5
2025-08-03T12:00:00Z,APXMIDP,2025-08-03,27,19.96,3508.55
2025-08-03T12:30:00Z,APXMIDP,2025-08-03,28,27.38,3367.35
2025-08-03T13:00:00Z,APXMIDP,2025-08-03,29,35.19,3746.3
2025-08-03T13:30:00Z,APXMIDP,2025-08-03,30,22.97,3538.1
2025-08-03T14:00:00Z,APXMIDP,2025-08-03,31,26.73,3631.6
2025-08-03T14:30:00Z,APXMIDP,2025-08-03,32,21.13,2833.75
2025-08-03T15:00:00Z,APXMIDP,2025-08-03,33,18.11,2774.6
2025-08-03T15:30:00Z,APXMIDP,2025-08-03,34,41.98,3491.6
2025-08-03T16:00:00Z,APXMIDP,2025-08-03,35,71.6,3577.85
2025-08-03T16:30:00Z,APXMIDP,2025-08-03,36,85.05,3633.5
2025-08-03T17:00:00Z,APXMIDP,2025-08-03,37,84.95,2894.0
2025-08-03T17:30:00Z,APXMIDP,2025-08-03,38,87.06,2798.35
2025-08-03T18:00:00Z,APXMIDP,2025-08-03,39,97.44,2510.9
2025-08-03T18:30:00Z,APXMIDP,2025-08-03,40,104.1,2593.7
2025-08-03T19:00:00Z,APXMIDP,2025-08-03,41,105.46,2600.1
2025-08-03T19:30:00Z,APXMIDP,2025-08-03,42,106.86,2873.55
2025-08-03T20:00:00Z,APXMIDP,2025-08-03,43,107.17,2474.6
2025-08-03T20:30:00Z,APXMIDP,2025-08-03,44,109.44,2568.2
2025-08-03T21:00:00Z,APXMIDP,2025-08-03,45,111.69,2732.65
2025-08-03T21:30:00Z,APXMIDP,2025-08-03,46,109.13,2667.7
2025-08-03T22:00:00Z,APXMIDP,2025-08-03,47,107.15,2069.15
2025-08-03T22:30:00Z,APXMIDP,2025-08-03,48,93.86,2353.0
