date,day_type,da_basis,cost_aware,bm_basis,da_net,id_net,bm_net,total_revenue,total_cost,net_pnl
2026-06-15,🔴 red,real,False,foresight,28520.49,3162.32,14772.7,127002.3,80546.78,46455.51
2026-06-16,🟡 amber,real,False,foresight,35084.49,4665.41,13383.64,145762.52,92628.99,53133.53
2026-06-17,🟡 amber,real,False,foresight,32751.05,3635.44,6825.67,122072.64,78860.47,43212.16
2026-06-18,🔴 red,real,False,foresight,26645.88,1799.74,22760.83,131175.73,79969.28,51206.45
2026-06-19,🟡 amber,real,False,foresight,32215.2,5698.8,15952.17,123151.48,69285.32,53866.17
2026-06-20,🟡 amber,real,False,foresight,30892.71,3313.37,10455.46,119472.96,74811.42,44661.54
2026-06-21,🟡 amber,real,False,foresight,28546.67,2362.47,3078.15,112169.61,78182.32,33987.29
2026-06-22,🟡 amber,real,False,foresight,43544.52,9616.91,22989.72,156997.79,80846.64,76151.16
2026-06-23,🟡 amber,real,False,foresight,139702.53,50486.45,113123.93,414750.49,111437.59,303312.9
2026-06-24,🟡 amber,real,False,foresight,63251.13,15540.82,20358.63,192939.73,93789.15,99150.58
2026-06-25,🔴 red,real,False,foresight,27225.88,967.39,10752.67,109258.03,70312.09,38945.94
2026-06-26,🟡 amber,real,False,foresight,40453.57,7275.57,17348.34,150155.18,85077.7,65077.48
2026-06-27,🟡 amber,real,False,foresight,44212.75,9847.04,27310.91,131612.83,50242.12,81370.7
2026-06-28,🟢 green,real,False,foresight,83470.93,28385.27,49314.75,138846.3,-22324.66,161170.96
2026-06-29,🟡 amber,real,False,foresight,39103.28,6793.45,20730.72,151613.72,84986.27,66627.45
2026-06-30,🟡 amber,real,False,foresight,34996.29,4913.48,14430.67,137636.79,83296.36,54340.44
2026-07-01,🔴 red,real,False,foresight,24480.25,323.64,5638.62,76161.32,45718.81,30442.51
2026-07-02,🟢 green,real,False,foresight,59259.18,20284.83,40908.86,127607.0,7154.14,120452.87
2026-07-03,🔴 red,real,False,foresight,26980.3,1095.45,13292.13,90088.07,48720.19,41367.88
2026-07-04,🟢 green,real,False,foresight,71049.19,22108.84,38620.18,129461.68,-2316.54,131778.22
2026-07-05,🟡 amber,real,False,foresight,32606.84,6255.02,17859.44,135834.04,79112.74,56721.3
2026-07-06,🟢 green,real,False,foresight,62564.3,17931.48,34358.25,127742.18,12888.14,114854.04
2026-07-07,🟡 amber,real,False,foresight,36135.77,5875.07,22772.53,163419.01,98635.64,64783.37
2026-07-08,🟡 amber,real,False,foresight,31840.9,2828.74,10723.25,119946.58,74553.69,45392.89
2026-07-09,🟡 amber,real,False,foresight,41350.57,6854.87,13250.75,159087.23,97631.03,61456.19
2026-07-10,🔴 red,real,False,foresight,30041.12,1439.16,10026.33,86940.38,45433.78,41506.6
2026-07-11,🔴 red,real,False,foresight,25087.13,56.72,5776.88,58291.76,27371.02,30920.74
