settlement_period,price,asset,action,power_mw,soc,energy_mwh,settle_price,settle_price_discharge,settle_price_charge
1,116.82271564272548,Battery_1,hold,0.0,50.0,10.0,123.65,118.75,124.55000000000001
2,113.80423548305342,Battery_1,hold,0.0,50.0,10.0,122.73,117.83,123.63000000000001
3,110.97587789161926,Battery_1,charge,4.0,59.0,11.8,131.99,127.09,132.89000000000001
4,111.35002675935657,Battery_1,charge,1.78,63.0,12.6,127.8,122.89999999999999,128.7
5,112.24154213389647,Battery_1,hold,0.0,63.0,12.6,117.77,112.86999999999999,118.67
6,109.72372419473574,Battery_1,charge,4.0,72.0,14.4,122.21,117.30999999999999,123.11
7,110.92434776219439,Battery_1,charge,4.0,81.0,16.2,135.2,130.29999999999998,136.1
8,110.59916563082108,Battery_1,charge,4.0,90.0,18.0,125.88,120.97999999999999,126.78
9,125.98804231242505,Battery_1,hold,0.0,90.0,18.0,131.18,126.28,132.08
10,129.10086770624844,Battery_1,hold,0.0,90.0,18.0,125.16,120.25999999999999,126.06
11,146.05673450832742,Battery_1,hold,0.0,90.0,18.0,142.86,137.96,143.76000000000002
12,152.38177132266583,Battery_1,hold,0.0,90.0,18.0,130.76,125.85999999999999,131.66
13,165.00381508789576,Battery_1,hold,0.0,90.0,18.0,155.97,151.07,156.87
14,175.85418096736117,Battery_1,hold,0.0,90.0,18.0,170.79,165.89,171.69
15,178.8838450600105,Battery_1,hold,0.0,90.0,18.0,174.18,169.28,175.08
16,186.52629715312918,Battery_1,discharge,0.8,87.8,17.56,189.38,184.48,190.28
17,174.94666639312223,Battery_1,hold,0.0,87.8,17.56,174.12,169.22,175.02
18,172.57888954104192,Battery_1,hold,0.0,87.8,17.56,160.31,155.41,161.21
19,166.87010894137558,Battery_1,hold,0.0,87.8,17.56,150.69,145.79,151.59
20,168.27739687124918,Battery_1,hold,0.0,87.8,17.56,142.39,137.48999999999998,143.29
21,168.37995861886108,Battery_1,hold,0.0,87.8,17.56,143.56,138.66,144.46
22,173.25983174903345,Battery_1,hold,0.0,87.8,17.56,137.61,132.71,138.51000000000002
23,169.46900212852213,Battery_1,hold,0.0,87.8,17.56,144.52,139.62,145.42000000000002
24,168.80821750731664,Battery_1,hold,0.0,87.8,17.56,136.55,131.65,137.45000000000002
25,170.6715734511243,Battery_1,hold,0.0,87.8,17.56,138.76,133.85999999999999,139.66
26,165.5057584696824,Battery_1,hold,0.0,87.8,17.56,146.87,141.97,147.77
27,162.91426411539248,Battery_1,hold,0.0,87.8,17.56,156.49,151.59,157.39000000000001
28,159.47795872078842,Battery_1,hold,0.0,87.8,17.56,156.32,151.42,157.22
29,157.82883236928197,Battery_1,hold,0.0,87.8,17.56,160.34,155.44,161.24
30,152.1774987747524,Battery_1,hold,0.0,87.8,17.56,155.65,150.75,156.55
31,158.20821194799186,Battery_1,hold,0.0,87.8,17.56,158.89,153.98999999999998,159.79
32,161.4986264396287,Battery_1,hold,0.0,87.8,17.56,155.68,150.78,156.58
33,176.9224101792703,Battery_1,hold,0.0,87.8,17.56,161.29,156.39,162.19
34,177.05212766793198,Battery_1,hold,0.0,87.8,17.56,185.51,180.60999999999999,186.41
35,196.23047700154825,Battery_1,discharge,4.0,76.7,15.33,193.58,188.68,194.48000000000002
36,198.79998901565898,Battery_1,discharge,4.0,65.6,13.11,206.12,201.22,207.02
37,207.14097873183664,Battery_1,discharge,4.0,54.4,10.89,204.5,199.6,205.4
38,205.5052224360134,Battery_1,discharge,4.0,43.3,8.67,195.49,190.59,196.39000000000001
39,203.87347959824265,Battery_1,discharge,4.0,32.2,6.44,191.66,186.76,192.56
40,203.72728051385076,Battery_1,discharge,4.0,21.1,4.22,185.24,180.34,186.14000000000001
41,186.69702992288057,Battery_1,discharge,4.0,10.0,2.0,184.82,179.92,185.72
42,178.68044764071004,Battery_1,hold,0.0,10.0,2.0,174.78,169.88,175.68
43,161.07727273302459,Battery_1,hold,0.0,10.0,2.0,156.98,152.07999999999998,157.88
44,148.7783328234703,Battery_1,hold,0.0,10.0,2.0,146.62,141.72,147.52
45,139.18868438042693,Battery_1,hold,0.0,10.0,2.0,151.13,146.23,152.03
46,129.86282371743414,Battery_1,hold,0.0,10.0,2.0,148.1,143.2,149.0
47,121.63771530865891,Battery_1,hold,0.0,10.0,2.0,144.58,139.68,145.48000000000002
48,116.65746684638705,Battery_1,hold,0.0,10.0,2.0,131.4,126.5,132.3
1,116.82271564272548,Battery_2,charge,1.39,50.6,50.62,123.65,118.75,124.55000000000001
2,113.80423548305342,Battery_2,charge,12.5,56.2,56.25,122.73,117.83,123.63000000000001
3,110.97587789161926,Battery_2,charge,12.5,61.9,61.88,131.99,127.09,132.89000000000001
4,111.35002675935657,Battery_2,charge,12.5,67.5,67.5,127.8,122.89999999999999,128.7
5,112.24154213389647,Battery_2,charge,12.5,73.1,73.12,117.77,112.86999999999999,118.67
6,109.72372419473574,Battery_2,charge,12.5,78.8,78.75,122.21,117.30999999999999,123.11
7,110.92434776219439,Battery_2,charge,12.5,84.4,84.38,135.2,130.29999999999998,136.1
8,110.59916563082108,Battery_2,charge,12.5,90.0,90.0,125.88,120.97999999999999,126.78
9,125.98804231242505,Battery_2,hold,0.0,90.0,90.0,131.18,126.28,132.08
10,129.10086770624844,Battery_2,hold,0.0,90.0,90.0,125.16,120.25999999999999,126.06
11,146.05673450832742,Battery_2,hold,0.0,90.0,90.0,142.86,137.96,143.76000000000002
12,152.38177132266583,Battery_2,hold,0.0,90.0,90.0,130.76,125.85999999999999,131.66
13,165.00381508789576,Battery_2,hold,0.0,90.0,90.0,155.97,151.07,156.87
14,175.85418096736117,Battery_2,hold,0.0,90.0,90.0,170.79,165.89,171.69
15,178.8838450600105,Battery_2,discharge,12.5,83.1,83.06,174.18,169.28,175.08
16,186.52629715312918,Battery_2,discharge,12.5,76.1,76.11,189.38,184.48,190.28
17,174.94666639312223,Battery_2,hold,0.0,76.1,76.11,174.12,169.22,175.02
18,172.57888954104192,Battery_2,hold,0.0,76.1,76.11,160.31,155.41,161.21
19,166.87010894137558,Battery_2,hold,0.0,76.1,76.11,150.69,145.79,151.59
20,168.27739687124918,Battery_2,hold,0.0,76.1,76.11,142.39,137.48999999999998,143.29
21,168.37995861886108,Battery_2,hold,0.0,76.1,76.11,143.56,138.66,144.46
22,173.25983174903345,Battery_2,hold,0.0,76.1,76.11,137.61,132.71,138.51000000000002
23,169.46900212852213,Battery_2,hold,0.0,76.1,76.11,144.52,139.62,145.42000000000002
24,168.80821750731664,Battery_2,hold,0.0,76.1,76.11,136.55,131.65,137.45000000000002
25,170.6715734511243,Battery_2,hold,0.0,76.1,76.11,138.76,133.85999999999999,139.66
26,165.5057584696824,Battery_2,hold,0.0,76.1,76.11,146.87,141.97,147.77
27,162.91426411539248,Battery_2,hold,0.0,76.1,76.11,156.49,151.59,157.39000000000001
28,159.47795872078842,Battery_2,hold,0.0,76.1,76.11,156.32,151.42,157.22
29,157.82883236928197,Battery_2,hold,0.0,76.1,76.11,160.34,155.44,161.24
30,152.1774987747524,Battery_2,hold,0.0,76.1,76.11,155.65,150.75,156.55
31,158.20821194799186,Battery_2,hold,0.0,76.1,76.11,158.89,153.98999999999998,159.79
32,161.4986264396287,Battery_2,hold,0.0,76.1,76.11,155.68,150.78,156.58
33,176.9224101792703,Battery_2,discharge,6.5,72.5,72.5,161.29,156.39,162.19
34,177.05212766793198,Battery_2,discharge,12.5,65.6,65.56,185.51,180.60999999999999,186.41
35,196.23047700154825,Battery_2,discharge,12.5,58.6,58.61,193.58,188.68,194.48000000000002
36,198.79998901565898,Battery_2,discharge,12.5,51.7,51.67,206.12,201.22,207.02
37,207.14097873183664,Battery_2,discharge,12.5,44.7,44.72,204.5,199.6,205.4
38,205.5052224360134,Battery_2,discharge,12.5,37.8,37.78,195.49,190.59,196.39000000000001
39,203.87347959824265,Battery_2,discharge,12.5,30.8,30.83,191.66,186.76,192.56
40,203.72728051385076,Battery_2,discharge,12.5,23.9,23.89,185.24,180.34,186.14000000000001
41,186.69702992288057,Battery_2,discharge,12.5,16.9,16.94,184.82,179.92,185.72
42,178.68044764071004,Battery_2,discharge,12.5,10.0,10.0,174.78,169.88,175.68
43,161.07727273302459,Battery_2,hold,0.0,10.0,10.0,156.98,152.07999999999998,157.88
44,148.7783328234703,Battery_2,hold,0.0,10.0,10.0,146.62,141.72,147.52
45,139.18868438042693,Battery_2,hold,0.0,10.0,10.0,151.13,146.23,152.03
46,129.86282371743414,Battery_2,hold,0.0,10.0,10.0,148.1,143.2,149.0
47,121.63771530865891,Battery_2,hold,0.0,10.0,10.0,144.58,139.68,145.48000000000002
48,116.65746684638705,Battery_2,hold,0.0,10.0,10.0,131.4,126.5,132.3
1,116.82271564272548,Battery_3,charge,2.78,50.6,101.25,123.65,118.75,124.55000000000001
2,113.80423548305342,Battery_3,charge,25.0,56.2,112.5,122.73,117.83,123.63000000000001
3,110.97587789161926,Battery_3,charge,25.0,61.9,123.75,131.99,127.09,132.89000000000001
4,111.35002675935657,Battery_3,charge,25.0,67.5,135.0,127.8,122.89999999999999,128.7
5,112.24154213389647,Battery_3,charge,25.0,73.1,146.25,117.77,112.86999999999999,118.67
6,109.72372419473574,Battery_3,charge,25.0,78.8,157.5,122.21,117.30999999999999,123.11
7,110.92434776219439,Battery_3,charge,25.0,84.4,168.75,135.2,130.29999999999998,136.1
8,110.59916563082108,Battery_3,charge,25.0,90.0,180.0,125.88,120.97999999999999,126.78
9,125.98804231242505,Battery_3,hold,0.0,90.0,180.0,131.18,126.28,132.08
10,129.10086770624844,Battery_3,hold,0.0,90.0,180.0,125.16,120.25999999999999,126.06
