date,settlement_period,side,portfolio_mwh,system_accepted_mwh,zero_accepted,ratio_pct
2025-03-30,1,charge,21.75,3052.914596190476,False,0.7124339484353851
2025-03-30,2,charge,5.1,3046.375370707672,False,0.16741206776547932
2025-03-30,3,discharge,21.75,2177.5144947401304,False,0.9988452454639432
2025-03-30,4,charge,21.75,3015.8346070953935,False,0.7211933953151307
2025-03-30,5,charge,21.75,2921.149581777155,False,0.7445698822026032
2025-03-30,6,charge,21.75,2867.6980197616967,False,0.758448060085748
2025-03-30,7,charge,21.75,2891.024019607843,False,0.7523285815850921
2025-03-30,8,charge,21.75,2856.616666666667,False,0.7613902226993471
2025-03-30,9,charge,21.75,2830.6833333333334,False,0.7683657067492536
2025-03-30,10,charge,21.75,2551.859377246732,False,0.8523196926104386
2025-03-30,11,discharge,21.75,1801.337433862434,False,1.2074361855326337
2025-03-30,12,discharge,1.5,2003.3453190277776,False,0.0748747600203019
2025-03-30,12,charge,20.25,2636.8024793650793,False,0.7679756128292187
2025-03-30,13,discharge,21.75,1974.3156251587304,False,1.1016475644947272
2025-03-30,14,discharge,21.75,1797.686628888889,False,1.2098882892310994
2025-03-30,15,discharge,21.75,1755.9436506944444,False,1.2386502261276018
2025-03-30,16,charge,20.86,2247.801068472222,False,0.9280180658592735
2025-03-30,17,charge,21.75,2457.5784722222224,False,0.885017518091007
2025-03-30,18,charge,21.75,2293.6666769444446,False,0.9482633295686499
2025-03-30,19,charge,21.75,1934.177293888889,False,1.1245091165489327
2025-03-30,20,charge,21.75,2017.7467215079364,False,1.0779350930500051
2025-03-30,21,charge,21.75,1652.5124393479311,False,1.3161776869033666
2025-03-30,22,charge,21.75,1993.8745672420632,False,1.09084093640277
2025-03-30,23,charge,21.75,1699.621662474779,False,1.2796965630768873
2025-03-30,24,charge,21.75,1760.5686019444445,False,1.2353963359325166
2025-03-30,25,charge,21.75,1479.2283308749024,False,1.4703612380879545
2025-03-30,26,charge,20.38,1378.5966258989522,False,1.4783149484868827
2025-03-30,27,charge,21.75,1731.913288611111,False,1.2558365446483857
2025-03-30,28,charge,21.75,1470.8755628174604,False,1.4787110854121406
2025-03-30,29,charge,21.75,2025.7620007487296,False,1.0736700556117211
2025-03-30,30,charge,21.75,1434.4871822156083,False,1.5162212858818631
2025-03-30,31,charge,21.75,948.3288888888889,False,2.2935081125160517
2025-03-30,32,charge,21.75,613.9303134325397,False,3.5427473646632284
2025-03-30,33,charge,21.75,653.7780561295351,False,3.326817074400338
2025-03-30,34,discharge,20.25,382.7673293668105,False,5.290420170785836
2025-03-30,35,discharge,20.25,377.133967841933,False,5.369444740254031
2025-03-30,36,discharge,21.15,299.87711803836487,False,7.052888909414612
2025-03-30,37,discharge,21.75,206.43058375,False,10.536229469922235
2025-03-30,38,discharge,21.75,211.39414201388888,False,10.288837615268921
2025-03-30,39,discharge,21.75,326.0166646969697,False,6.671438105845441
2025-03-30,40,discharge,21.75,221.43333333333337,False,9.822369411410506
2025-03-30,41,discharge,21.75,248.63333414141417,False,8.747821395352137
2025-03-30,42,discharge,21.75,218.12500083333333,False,9.971346666776135
2025-03-30,43,discharge,21.75,207.30055555555555,False,10.492012402818238
2025-03-30,44,discharge,21.75,251.5261734722222,False,8.647211421280579
2025-03-30,45,discharge,20.25,213.61517263888888,False,9.479663710139222
2025-03-30,46,discharge,21.75,175.31666666666666,False,12.406122254967203
2026-03-29,1,charge,21.75,1275.9232232453196,False,1.7046480229961427
2026-03-29,6,charge,21.75,1441.0669419444444,False,1.5092983793419432
2026-03-29,7,charge,21.75,1549.093849858156,False,1.4040466303569377
2026-03-29,8,charge,21.75,1745.6542741035353,False,1.245951178458261
2026-03-29,9,charge,21.75,2117.1800329166667,False,1.027309896269747
2026-03-29,10,charge,21.75,2523.2015914039107,False,0.8620000904445486
2026-03-29,12,discharge,20.175,3360.286665673885,False,0.6003952045547883
2026-03-29,13,discharge,21.75,3661.1869014814815,False,0.5940696442238163
2026-03-29,14,discharge,21.75,3755.395086031746,False,0.5791667588025421
