settlementDate,settlementPeriod,startTime,publishTime,nationalDemand,transmissionSystemDemand
2025-11-19,1,2025-11-19T00:00:00Z,2025-11-18T11:47:00Z,25310,26662
2025-11-19,2,2025-11-19T00:30:00Z,2025-11-18T11:47:00Z,25690,27135
2025-11-19,3,2025-11-19T01:00:00Z,2025-11-18T11:47:00Z,25156,26803
2025-11-19,4,2025-11-19T01:30:00Z,2025-11-18T11:47:00Z,24298,25947
2025-11-19,5,2025-11-19T02:00:00Z,2025-11-18T11:47:00Z,23716,25788
2025-11-19,6,2025-11-19T02:30:00Z,2025-11-18T11:47:00Z,23379,25474
2025-11-19,7,2025-11-19T03:00:00Z,2025-11-18T11:47:00Z,23207,25440
2025-11-19,8,2025-11-19T03:30:00Z,2025-11-18T11:47:00Z,22909,25136
2025-11-19,9,2025-11-19T04:00:00Z,2025-11-18T11:47:00Z,22440,24939
2025-11-19,10,2025-11-19T04:30:00Z,2025-11-18T11:47:00Z,22240,24733
2025-11-19,11,2025-11-19T05:00:00Z,2025-11-18T11:47:00Z,22885,25411
2025-11-19,12,2025-11-19T05:30:00Z,2025-11-18T11:47:00Z,24412,26943
2025-11-19,13,2025-11-19T06:00:00Z,2025-11-18T11:47:00Z,26976,29082
2025-11-19,14,2025-11-19T06:30:00Z,2025-11-18T11:47:00Z,29503,31566
2025-11-19,15,2025-11-19T07:00:00Z,2025-11-18T11:47:00Z,32363,33954
2025-11-19,16,2025-11-19T07:30:00Z,2025-11-18T11:47:00Z,34320,35911
2025-11-19,17,2025-11-19T08:00:00Z,2025-11-18T11:47:00Z,35727,36853
2025-11-19,18,2025-11-19T08:30:00Z,2025-11-18T11:47:00Z,36030,37156
2025-11-19,19,2025-11-19T09:00:00Z,2025-11-18T11:47:00Z,36650,37523
2025-11-19,20,2025-11-19T09:30:00Z,2025-11-18T11:47:00Z,36410,37283
2025-11-19,21,2025-11-19T10:00:00Z,2025-11-18T11:47:00Z,36077,37016
2025-11-19,22,2025-11-19T10:30:00Z,2025-11-18T11:47:00Z,35734,36673
2025-11-19,23,2025-11-19T11:00:00Z,2025-11-18T11:47:00Z,35215,36284
2025-11-19,24,2025-11-19T11:30:00Z,2025-11-18T11:47:00Z,35178,36247
2025-11-19,25,2025-11-19T12:00:00Z,2025-11-18T11:47:00Z,35445,36892
2025-11-19,26,2025-11-19T12:30:00Z,2025-11-18T11:47:00Z,35550,36997
2025-11-19,27,2025-11-19T13:00:00Z,2025-11-18T11:47:00Z,35830,37605
2025-11-19,28,2025-11-19T13:30:00Z,2025-11-18T11:47:00Z,35833,37608
2025-11-19,29,2025-11-19T14:00:00Z,2025-11-18T11:47:00Z,35832,37608
2025-11-19,30,2025-11-19T14:30:00Z,2025-11-18T11:47:00Z,36275,38051
2025-11-19,31,2025-11-19T15:00:00Z,2025-11-18T11:47:00Z,37235,39020
2025-11-19,32,2025-11-19T15:30:00Z,2025-11-18T11:47:00Z,38681,40466
2025-11-19,33,2025-11-19T16:00:00Z,2025-11-18T11:47:00Z,40312,41625
2025-11-19,34,2025-11-19T16:30:00Z,2025-11-18T11:47:00Z,41570,42883
2025-11-19,35,2025-11-19T17:00:00Z,2025-11-18T11:47:00Z,42090,42938
2025-11-19,36,2025-11-19T17:30:00Z,2025-11-18T11:47:00Z,41807,42655
2025-11-19,37,2025-11-19T18:00:00Z,2025-11-18T11:47:00Z,41534,42145
2025-11-19,38,2025-11-19T18:30:00Z,2025-11-18T11:47:00Z,40808,41419
2025-11-19,39,2025-11-19T19:00:00Z,2025-11-18T11:47:00Z,40081,40692
2025-11-19,40,2025-11-19T19:30:00Z,2025-11-18T11:47:00Z,38935,39546
2025-11-19,41,2025-11-19T20:00:00Z,2025-11-18T11:47:00Z,37849,38460
2025-11-19,42,2025-11-19T20:30:00Z,2025-11-18T11:47:00Z,36620,37231
2025-11-19,43,2025-11-19T21:00:00Z,2025-11-18T11:47:00Z,34925,35536
2025-11-19,44,2025-11-19T21:30:00Z,2025-11-18T11:47:00Z,33220,33831
2025-11-19,45,2025-11-19T22:00:00Z,2025-11-18T11:47:00Z,31041,31652
2025-11-19,46,2025-11-19T22:30:00Z,2025-11-18T11:47:00Z,29352,29963
2025-11-19,47,2025-11-19T23:00:00Z,2025-11-18T11:47:00Z,27947,28711
2025-11-19,48,2025-11-19T23:30:00Z,2025-11-18T11:47:00Z,26730,27494
2025-11-20,1,2025-11-20T00:00:00Z,2025-11-18T11:47:00Z,27470,28233
2025-11-20,2,2025-11-20T00:30:00Z,2025-11-18T11:47:00Z,27750,28513
2025-11-20,3,2025-11-20T01:00:00Z,2025-11-18T11:47:00Z,26949,27712
2025-11-20,4,2025-11-20T01:30:00Z,2025-11-18T11:47:00Z,26432,27195
2025-11-20,5,2025-11-20T02:00:00Z,2025-11-18T11:47:00Z,26083,26846
2025-11-20,6,2025-11-20T02:30:00Z,2025-11-18T11:47:00Z,25494,26257
2025-11-20,7,2025-11-20T03:00:00Z,2025-11-18T11:47:00Z,25174,25937
2025-11-20,8,2025-11-20T03:30:00Z,2025-11-18T11:47:00Z,24850,25613
2025-11-20,9,2025-11-20T04:00:00Z,2025-11-18T11:47:00Z,24550,25312
2025-11-20,10,2025-11-20T04:30:00Z,2025-11-18T11:47:00Z,25052,25814
