settlement_period,price,asset,action,power_mw,soc,energy_mwh
1,96.73,Battery_1,discharge,4.0,38.9,7.78
2,100.6,Battery_1,discharge,4.0,27.8,5.56
3,75.28,Battery_1,discharge,4.0,16.7,3.33
4,67.33,Battery_1,discharge,2.4,10.0,2.0
5,52.5,Battery_1,hold,0.0,10.0,2.0
6,40.93,Battery_1,hold,0.0,10.0,2.0
7,28.15,Battery_1,hold,0.0,10.0,2.0
8,19.7,Battery_1,hold,0.0,10.0,2.0
9,13.17,Battery_1,hold,0.0,10.0,2.0
10,8.12,Battery_1,hold,0.0,10.0,2.0
11,4.17,Battery_1,hold,0.0,10.0,2.0
12,3.51,Battery_1,hold,0.0,10.0,2.0
13,0.79,Battery_1,hold,0.0,10.0,2.0
14,0.52,Battery_1,hold,0.0,10.0,2.0
15,-3.68,Battery_1,charge,4.0,12.1,2.42
16,-3.47,Battery_1,charge,4.0,10.0,2.0
17,-5.28,Battery_1,charge,4.0,19.0,3.8
18,-4.78,Battery_1,charge,4.0,16.9,3.38
19,-4.0,Battery_1,charge,4.0,14.8,2.96
20,-3.92,Battery_1,charge,2.81,10.0,2.0
21,-5.43,Battery_1,charge,4.0,12.1,2.42
22,-4.92,Battery_1,charge,4.0,10.0,2.0
23,-6.48,Battery_1,charge,4.0,10.0,2.0
24,-8.77,Battery_1,charge,4.0,19.0,3.8
25,-12.2,Battery_1,charge,4.0,28.0,5.6
26,-12.85,Battery_1,charge,4.0,37.0,7.4
27,-15.91,Battery_1,charge,4.0,46.0,9.2
28,-16.53,Battery_1,charge,4.0,55.0,11.0
29,-17.5,Battery_1,charge,4.0,64.0,12.8
30,-18.26,Battery_1,charge,4.0,73.0,14.6
31,-12.37,Battery_1,charge,4.0,82.0,16.4
32,-7.74,Battery_1,charge,4.0,90.0,18.0
33,-4.37,Battery_1,charge,4.0,90.0,18.0
34,34.04,Battery_1,hold,0.0,90.0,18.0
35,70.16,Battery_1,hold,0.0,90.0,18.0
36,103.81,Battery_1,hold,0.0,90.0,18.0
37,113.34,Battery_1,hold,0.0,90.0,18.0
38,115.81,Battery_1,discharge,0.8,87.8,17.56
39,122.73,Battery_1,discharge,4.0,76.7,15.33
40,121.46,Battery_1,discharge,4.0,65.6,13.11
41,124.39,Battery_1,discharge,4.0,54.4,10.89
42,124.09,Battery_1,discharge,4.0,43.3,8.67
43,121.95,Battery_1,discharge,4.0,32.2,6.44
44,117.1,Battery_1,discharge,4.0,21.1,4.22
45,117.55,Battery_1,discharge,4.0,10.0,2.0
46,109.32,Battery_1,hold,0.0,10.0,2.0
47,102.84,Battery_1,hold,0.0,10.0,2.0
48,98.17,Battery_1,hold,0.0,10.0,2.0
1,96.73,Battery_2,discharge,12.5,43.1,43.06
2,100.6,Battery_2,discharge,12.5,36.1,36.11
3,75.28,Battery_2,discharge,12.5,29.2,29.17
4,67.33,Battery_2,discharge,12.5,22.2,22.22
5,52.5,Battery_2,discharge,12.5,15.3,15.28
6,40.93,Battery_2,discharge,9.5,10.0,10.0
7,28.15,Battery_2,hold,0.0,10.0,10.0
8,19.7,Battery_2,hold,0.0,10.0,10.0
9,13.17,Battery_2,hold,0.0,10.0,10.0
10,8.12,Battery_2,hold,0.0,10.0,10.0
11,4.17,Battery_2,hold,0.0,10.0,10.0
12,3.51,Battery_2,hold,0.0,10.0,10.0
13,0.79,Battery_2,hold,0.0,10.0,10.0
14,0.52,Battery_2,hold,0.0,10.0,10.0
15,-3.68,Battery_2,charge,12.5,11.3,11.32
16,-3.47,Battery_2,charge,12.5,10.0,10.0
17,-5.28,Battery_2,charge,12.5,15.6,15.62
18,-4.78,Battery_2,charge,12.5,21.2,21.25
19,-4.0,Battery_2,charge,12.5,19.9,19.93
20,-3.92,Battery_2,charge,12.5,18.6,18.61
21,-5.43,Battery_2,charge,12.5,24.2,24.24
22,-4.92,Battery_2,charge,12.5,29.9,29.86
23,-6.48,Battery_2,charge,12.5,35.5,35.49
24,-8.77,Battery_2,charge,12.5,41.1,41.11
25,-12.2,Battery_2,charge,12.5,46.7,46.74
26,-12.85,Battery_2,charge,12.5,52.4,52.36
27,-15.91,Battery_2,charge,12.5,58.0,57.99
28,-16.53,Battery_2,charge,12.5,63.6,63.61
29,-17.5,Battery_2,charge,12.5,69.2,69.24
30,-18.26,Battery_2,charge,12.5,74.9,74.86
31,-12.37,Battery_2,charge,12.5,80.5,80.49
