settlement_period,ssp,sbp,price_used,asset,action,power_mw,soc,energy_mwh
1,149.0,149.0,0.0,Battery_1,hold,0.0,10.0,2.0
2,134.9,134.9,0.0,Battery_1,hold,0.0,10.0,2.0
3,127.92,127.92,0.0,Battery_1,hold,0.0,10.0,2.0
4,114.95,114.95,0.0,Battery_1,hold,0.0,10.0,2.0
5,89.4,89.4,0.0,Battery_1,hold,0.0,10.0,2.0
6,88.0,88.0,88.0,Battery_1,charge,2.37,15.3,3.07
7,88.5,88.5,0.0,Battery_1,hold,0.0,15.3,3.07
8,88.01,88.01,0.0,Battery_1,hold,0.0,15.3,3.07
9,87.0,87.0,87.0,Battery_1,charge,3.0,22.1,4.42
10,106.19,106.19,0.0,Battery_1,hold,0.0,22.1,4.42
11,85.0,85.0,85.0,Battery_1,charge,3.0,28.8,5.77
12,88.7,88.7,0.0,Battery_1,hold,0.0,28.8,5.77
13,87.0,87.0,87.0,Battery_1,charge,3.0,35.6,7.12
14,152.5,152.5,152.5,Battery_1,discharge,3.0,27.3,5.45
15,92.35,92.35,0.0,Battery_1,hold,0.0,27.3,5.45
16,152.5,152.5,152.5,Battery_1,discharge,3.0,18.9,3.78
17,85.66,85.66,85.66,Battery_1,charge,3.0,25.7,5.13
18,93.04,93.04,0.0,Battery_1,hold,0.0,25.7,5.13
19,87.0,87.0,87.0,Battery_1,charge,3.0,32.4,6.48
20,130.0,130.0,130.0,Battery_1,discharge,3.0,24.1,4.82
21,130.0,130.0,130.0,Battery_1,discharge,3.0,15.8,3.15
22,78.69,78.69,78.69,Battery_1,charge,3.0,22.5,4.5
23,66.14,66.14,66.14,Battery_1,charge,3.0,29.2,5.85
24,61.9,61.9,61.9,Battery_1,charge,3.0,36.0,7.2
25,47.0,47.0,47.0,Battery_1,charge,3.0,42.8,8.55
26,41.41,41.41,41.41,Battery_1,charge,3.0,49.5,9.9
27,12.0,12.0,12.0,Battery_1,charge,3.0,56.2,11.25
28,12.0,12.0,12.0,Battery_1,charge,3.0,63.0,12.6
29,12.0,12.0,12.0,Battery_1,charge,3.0,69.8,13.95
30,57.95,57.95,57.95,Battery_1,charge,3.0,76.5,15.3
31,53.46,53.46,53.46,Battery_1,charge,3.0,83.2,16.65
32,69.4,69.4,69.4,Battery_1,charge,3.0,90.0,18.0
33,89.1,89.1,0.0,Battery_1,hold,0.0,90.0,18.0
34,154.37,154.37,154.37,Battery_1,discharge,1.23,86.6,17.32
35,189.0,189.0,189.0,Battery_1,discharge,3.0,78.2,15.65
36,187.35,187.35,187.35,Battery_1,discharge,3.0,69.9,13.98
37,217.0,217.0,217.0,Battery_1,discharge,3.0,61.6,12.32
38,134.51,134.51,0.0,Battery_1,hold,0.0,61.6,12.32
39,217.0,217.0,217.0,Battery_1,discharge,3.0,53.2,10.65
40,171.3,171.3,171.3,Battery_1,discharge,3.0,44.9,8.98
41,181.98,181.98,181.98,Battery_1,discharge,3.0,36.6,7.32
42,184.37,184.37,184.37,Battery_1,discharge,3.0,28.3,5.65
43,217.0,217.0,217.0,Battery_1,discharge,3.0,19.9,3.98
44,115.36,115.36,115.36,Battery_1,charge,3.0,26.7,5.33
45,195.0,195.0,195.0,Battery_1,discharge,3.0,18.3,3.67
46,185.0,185.0,185.0,Battery_1,discharge,3.0,10.0,2.0
47,134.43,134.43,0.0,Battery_1,hold,0.0,10.0,2.0
48,133.2,133.2,0.0,Battery_1,hold,0.0,10.0,2.0
1,149.0,149.0,0.0,Battery_2,hold,0.0,10.0,10.0
2,134.9,134.9,0.0,Battery_2,hold,0.0,10.0,10.0
3,127.92,127.92,0.0,Battery_2,hold,0.0,10.0,10.0
4,114.95,114.95,0.0,Battery_2,hold,0.0,10.0,10.0
5,89.4,89.4,89.4,Battery_2,charge,7.5,13.4,13.38
6,88.0,88.0,88.0,Battery_2,charge,7.5,16.8,16.75
7,88.5,88.5,88.5,Battery_2,charge,7.5,20.1,20.12
8,88.01,88.01,88.01,Battery_2,charge,7.5,23.5,23.5
9,87.0,87.0,87.0,Battery_2,charge,7.5,26.9,26.88
10,106.19,106.19,0.0,Battery_2,hold,0.0,26.9,26.88
11,85.0,85.0,85.0,Battery_2,charge,7.5,30.2,30.25
12,88.7,88.7,88.7,Battery_2,charge,7.5,33.6,33.62
13,87.0,87.0,87.0,Battery_2,charge,7.5,37.0,37.0
