startTime,dataProvider,settlementDate,settlementPeriod,price,volume
2025-04-23T23:00:00Z,APXMIDP,2025-04-24,1,71.49,1480.65
2025-04-23T23:30:00Z,APXMIDP,2025-04-24,2,67.68,1761.0
2025-04-24T00:00:00Z,APXMIDP,2025-04-24,3,67.97,1762.3
2025-04-24T00:30:00Z,APXMIDP,2025-04-24,4,71.94,2165.3
2025-04-24T01:00:00Z,APXMIDP,2025-04-24,5,74.91,2024.2
2025-04-24T01:30:00Z,APXMIDP,2025-04-24,6,69.78,1724.65
2025-04-24T02:00:00Z,APXMIDP,2025-04-24,7,67.86,1827.0
2025-04-24T02:30:00Z,APXMIDP,2025-04-24,8,69.28,2089.05
2025-04-24T03:00:00Z,APXMIDP,2025-04-24,9,68.13,1832.1
2025-04-24T03:30:00Z,APXMIDP,2025-04-24,10,64.56,1882.0
2025-04-24T04:00:00Z,APXMIDP,2025-04-24,11,71.81,1386.0
2025-04-24T04:30:00Z,APXMIDP,2025-04-24,12,63.46,1879.75
2025-04-24T05:00:00Z,APXMIDP,2025-04-24,13,67.71,1773.15
2025-04-24T05:30:00Z,APXMIDP,2025-04-24,14,81.58,1988.15
2025-04-24T06:00:00Z,APXMIDP,2025-04-24,15,85.11,2234.8
2025-04-24T06:30:00Z,APXMIDP,2025-04-24,16,89.32,2211.95
2025-04-24T07:00:00Z,APXMIDP,2025-04-24,17,80.76,2291.95
2025-04-24T07:30:00Z,APXMIDP,2025-04-24,18,81.63,2402.9
2025-04-24T08:00:00Z,APXMIDP,2025-04-24,19,82.54,2531.35
2025-04-24T08:30:00Z,APXMIDP,2025-04-24,20,79.34,2521.55
2025-04-24T09:00:00Z,APXMIDP,2025-04-24,21,81.73,2669.0
2025-04-24T09:30:00Z,APXMIDP,2025-04-24,22,79.82,2589.75
2025-04-24T10:00:00Z,APXMIDP,2025-04-24,23,81.64,3050.05
2025-04-24T10:30:00Z,APXMIDP,2025-04-24,24,76.75,3138.65
2025-04-24T11:00:00Z,APXMIDP,2025-04-24,25,69.89,3145.45
2025-04-24T11:30:00Z,APXMIDP,2025-04-24,26,73.0,3010.2
2025-04-24T12:00:00Z,APXMIDP,2025-04-24,27,76.43,3122.3
2025-04-24T12:30:00Z,APXMIDP,2025-04-24,28,71.1,2872.05
2025-04-24T13:00:00Z,APXMIDP,2025-04-24,29,69.32,2799.65
2025-04-24T13:30:00Z,APXMIDP,2025-04-24,30,69.81,2952.6
2025-04-24T14:00:00Z,APXMIDP,2025-04-24,31,66.72,2158.15
2025-04-24T14:30:00Z,APXMIDP,2025-04-24,32,66.4,2769.4
2025-04-24T15:00:00Z,APXMIDP,2025-04-24,33,67.87,3365.6
2025-04-24T15:30:00Z,APXMIDP,2025-04-24,34,69.1,3029.05
2025-04-24T16:00:00Z,APXMIDP,2025-04-24,35,74.91,3259.75
2025-04-24T16:30:00Z,APXMIDP,2025-04-24,36,79.65,3311.6
2025-04-24T17:00:00Z,APXMIDP,2025-04-24,37,77.91,3308.85
2025-04-24T17:30:00Z,APXMIDP,2025-04-24,38,82.01,3159.55
2025-04-24T18:00:00Z,APXMIDP,2025-04-24,39,90.63,3328.65
2025-04-24T18:30:00Z,APXMIDP,2025-04-24,40,89.49,3460.15
2025-04-24T19:00:00Z,APXMIDP,2025-04-24,41,90.64,3000.0
2025-04-24T19:30:00Z,APXMIDP,2025-04-24,42,90.08,2892.75
2025-04-24T20:00:00Z,APXMIDP,2025-04-24,43,91.53,2226.5
2025-04-24T20:30:00Z,APXMIDP,2025-04-24,44,82.73,2020.0
2025-04-24T21:00:00Z,APXMIDP,2025-04-24,45,84.33,2216.55
2025-04-24T21:30:00Z,APXMIDP,2025-04-24,46,84.64,2162.65
2025-04-24T22:00:00Z,APXMIDP,2025-04-24,47,78.66,1459.2
2025-04-24T22:30:00Z,APXMIDP,2025-04-24,48,81.74,1284.8
