settlement_period,price,asset,action,power_mw,soc,energy_mwh,settle_price,settle_price_discharge,settle_price_charge
1,103.63881801203149,Battery_1,charge,4.0,59.0,11.8,151.38,146.48,152.28
2,102.66385250205671,Battery_1,charge,4.0,68.0,13.6,152.96,148.06,153.86
3,108.98033320060827,Battery_1,charge,4.0,77.0,15.4,146.34,141.44,147.24
4,108.98802669729193,Battery_1,charge,4.0,86.0,17.2,145.09,140.19,145.99
5,111.91420559957237,Battery_1,charge,1.78,90.0,18.0,141.82,136.92,142.72
6,112.45530030481635,Battery_1,hold,0.0,90.0,18.0,144.96,140.06,145.86
7,115.45671094794776,Battery_1,hold,0.0,90.0,18.0,140.78,135.88,141.68
8,118.72968410284022,Battery_1,hold,0.0,90.0,18.0,146.27,141.37,147.17000000000002
9,126.85308146217949,Battery_1,hold,0.0,90.0,18.0,141.84,136.94,142.74
10,127.03702199067877,Battery_1,hold,0.0,90.0,18.0,145.83,140.93,146.73000000000002
11,145.8416746036421,Battery_1,hold,0.0,90.0,18.0,151.39,146.48999999999998,152.29
12,158.22457112178364,Battery_1,hold,0.0,90.0,18.0,151.8,146.9,152.70000000000002
13,172.28295090036772,Battery_1,hold,0.0,90.0,18.0,169.17,164.26999999999998,170.07
14,183.1427319193658,Battery_1,hold,0.0,90.0,18.0,170.25,165.35,171.15
15,188.58522542190502,Battery_1,discharge,4.0,78.9,15.78,183.91,179.01,184.81
16,199.99214971876262,Battery_1,discharge,4.0,67.8,13.56,194.97,190.07,195.87
17,186.35930222305342,Battery_1,discharge,4.0,56.7,11.33,170.12,165.22,171.02
18,184.90168328869797,Battery_1,discharge,4.0,45.6,9.11,158.97,154.07,159.87
19,172.99918437653685,Battery_1,hold,0.0,45.6,9.11,135.74,130.84,136.64000000000001
20,168.365267741467,Battery_1,hold,0.0,45.6,9.11,127.05,122.14999999999999,127.95
21,163.8009472730265,Battery_1,hold,0.0,45.6,9.11,127.9,123.0,128.8
22,159.19629738934609,Battery_1,hold,0.0,45.6,9.11,131.92,127.01999999999998,132.82
