startTime,dataProvider,settlementDate,settlementPeriod,price,volume
2026-01-20T00:00:00Z,APXMIDP,2026-01-20,1,82.57,1820.15
2026-01-20T00:30:00Z,APXMIDP,2026-01-20,2,80.46,1895.55
2026-01-20T01:00:00Z,APXMIDP,2026-01-20,3,75.78,1930.95
2026-01-20T01:30:00Z,APXMIDP,2026-01-20,4,78.45,2064.75
2026-01-20T02:00:00Z,APXMIDP,2026-01-20,5,78.96,2190.6
2026-01-20T02:30:00Z,APXMIDP,2026-01-20,6,78.3,2413.0
2026-01-20T03:00:00Z,APXMIDP,2026-01-20,7,79.37,2788.75
2026-01-20T03:30:00Z,APXMIDP,2026-01-20,8,79.02,2882.15
2026-01-20T04:00:00Z,APXMIDP,2026-01-20,9,78.83,2282.6
2026-01-20T04:30:00Z,APXMIDP,2026-01-20,10,77.18,2185.0
2026-01-20T05:00:00Z,APXMIDP,2026-01-20,11,77.76,1952.5
2026-01-20T05:30:00Z,APXMIDP,2026-01-20,12,74.08,2227.65
2026-01-20T06:00:00Z,APXMIDP,2026-01-20,13,82.09,2792.65
2026-01-20T06:30:00Z,APXMIDP,2026-01-20,14,75.41,3533.8
2026-01-20T07:00:00Z,APXMIDP,2026-01-20,15,83.21,3881.6
2026-01-20T07:30:00Z,APXMIDP,2026-01-20,16,90.04,3943.75
2026-01-20T08:00:00Z,APXMIDP,2026-01-20,17,92.93,3587.0
2026-01-20T08:30:00Z,APXMIDP,2026-01-20,18,91.11,3767.05
2026-01-20T09:00:00Z,APXMIDP,2026-01-20,19,85.7,4072.6
2026-01-20T09:30:00Z,APXMIDP,2026-01-20,20,87.61,4704.6
2026-01-20T10:00:00Z,APXMIDP,2026-01-20,21,82.52,4014.55
2026-01-20T10:30:00Z,APXMIDP,2026-01-20,22,83.07,4825.15
2026-01-20T11:00:00Z,APXMIDP,2026-01-20,23,81.2,4545.2
2026-01-20T11:30:00Z,APXMIDP,2026-01-20,24,83.55,5319.0
2026-01-20T12:00:00Z,APXMIDP,2026-01-20,25,82.73,4873.55
2026-01-20T12:30:00Z,APXMIDP,2026-01-20,26,82.4,5019.55
2026-01-20T13:00:00Z,APXMIDP,2026-01-20,27,82.57,4748.3
2026-01-20T13:30:00Z,APXMIDP,2026-01-20,28,82.54,4768.4
2026-01-20T14:00:00Z,APXMIDP,2026-01-20,29,82.83,5053.25
2026-01-20T14:30:00Z,APXMIDP,2026-01-20,30,82.83,5151.05
2026-01-20T15:00:00Z,APXMIDP,2026-01-20,31,89.48,4909.15
2026-01-20T15:30:00Z,APXMIDP,2026-01-20,32,89.19,5501.8
2026-01-20T16:00:00Z,APXMIDP,2026-01-20,33,100.4,5282.0
2026-01-20T16:30:00Z,APXMIDP,2026-01-20,34,106.32,5759.3
2026-01-20T17:00:00Z,APXMIDP,2026-01-20,35,110.18,5632.45
2026-01-20T17:30:00Z,APXMIDP,2026-01-20,36,109.51,4966.65
2026-01-20T18:00:00Z,APXMIDP,2026-01-20,37,106.46,5896.2
2026-01-20T18:30:00Z,APXMIDP,2026-01-20,38,103.89,5172.35
2026-01-20T19:00:00Z,APXMIDP,2026-01-20,39,104.22,6058.15
2026-01-20T19:30:00Z,APXMIDP,2026-01-20,40,103.1,5689.1
2026-01-20T20:00:00Z,APXMIDP,2026-01-20,41,93.9,5589.05
2026-01-20T20:30:00Z,APXMIDP,2026-01-20,42,94.48,5030.45
2026-01-20T21:00:00Z,APXMIDP,2026-01-20,43,93.08,4465.95
2026-01-20T21:30:00Z,APXMIDP,2026-01-20,44,90.06,4832.85
2026-01-20T22:00:00Z,APXMIDP,2026-01-20,45,88.4,4229.7
2026-01-20T22:30:00Z,APXMIDP,2026-01-20,46,87.61,4596.45
2026-01-20T23:00:00Z,APXMIDP,2026-01-20,47,74.93,1417.05
2026-01-20T23:30:00Z,APXMIDP,2026-01-20,48,75.76,1544.8
