settlement_period,price,asset,action,power_mw,soc,energy_mwh
1,128.28,Battery_1,discharge,4.0,38.9,7.78
2,123.85,Battery_1,hold,0.0,38.9,7.78
3,118.14,Battery_1,hold,0.0,38.9,7.78
4,107.69,Battery_1,hold,0.0,38.9,7.78
5,104.63,Battery_1,hold,0.0,38.9,7.78
6,102.91,Battery_1,charge,3.85,47.6,9.51
7,100.57,Battery_1,charge,4.0,56.6,11.31
8,99.79,Battery_1,charge,4.0,65.6,13.11
9,109.23,Battery_1,hold,0.0,65.6,13.11
10,112.98,Battery_1,hold,0.0,65.6,13.11
11,121.89,Battery_1,hold,0.0,65.6,13.11
12,130.75,Battery_1,discharge,4.0,54.4,10.89
13,122.91,Battery_1,hold,0.0,54.4,10.89
14,133.95,Battery_1,discharge,4.0,43.3,8.67
15,128.74,Battery_1,discharge,4.0,32.2,6.44
16,128.7,Battery_1,discharge,4.0,21.1,4.22
17,129.28,Battery_1,discharge,4.0,10.0,2.0
18,122.25,Battery_1,hold,0.0,10.0,2.0
19,125.79,Battery_1,hold,0.0,10.0,2.0
20,117.42,Battery_1,hold,0.0,10.0,2.0
21,112.52,Battery_1,hold,0.0,10.0,2.0
22,103.33,Battery_1,hold,0.0,10.0,2.0
23,101.34,Battery_1,hold,0.0,10.0,2.0
24,94.56,Battery_1,charge,4.0,19.0,3.8
25,94.96,Battery_1,charge,4.0,28.0,5.6
26,94.89,Battery_1,charge,4.0,37.0,7.4
27,93.81,Battery_1,charge,4.0,46.0,9.2
28,91.54,Battery_1,charge,4.0,55.0,11.0
29,90.18,Battery_1,charge,4.0,64.0,12.8
30,88.97,Battery_1,charge,4.0,73.0,14.6
31,90.1,Battery_1,charge,4.0,82.0,16.4
32,96.48,Battery_1,charge,3.56,90.0,18.0
33,108.4,Battery_1,hold,0.0,90.0,18.0
34,104.89,Battery_1,hold,0.0,90.0,18.0
35,113.83,Battery_1,hold,0.0,90.0,18.0
36,127.45,Battery_1,hold,0.0,90.0,18.0
37,135.32,Battery_1,hold,0.0,90.0,18.0
38,137.95,Battery_1,hold,0.0,90.0,18.0
39,153.77,Battery_1,discharge,4.0,78.9,15.78
40,153.06,Battery_1,discharge,4.0,67.8,13.56
41,152.38,Battery_1,discharge,4.0,56.7,11.33
42,155.83,Battery_1,discharge,4.0,45.6,9.11
43,155.47,Battery_1,discharge,4.0,34.4,6.89
44,161.97,Battery_1,discharge,4.0,23.3,4.67
45,155.57,Battery_1,discharge,4.0,12.2,2.44
46,149.25,Battery_1,discharge,0.8,10.0,2.0
47,141.55,Battery_1,hold,0.0,10.0,2.0
48,136.61,Battery_1,hold,0.0,10.0,2.0
1,128.28,Battery_2,discharge,7.25,46.0,45.97
2,123.85,Battery_2,hold,0.0,46.0,45.97
3,118.14,Battery_2,hold,0.0,46.0,45.97
4,107.69,Battery_2,hold,0.0,46.0,45.97
5,104.63,Battery_2,hold,0.0,46.0,45.97
6,102.91,Battery_2,charge,12.5,51.6,51.6
7,100.57,Battery_2,charge,12.5,57.2,57.22
8,99.79,Battery_2,charge,12.5,62.8,62.85
9,109.23,Battery_2,hold,0.0,62.8,62.85
