settlementDate,settlementPeriod,startTime,publishTime,nationalDemand,transmissionSystemDemand
2025-01-19,1,2025-01-19T00:00:00Z,2025-01-18T11:47:00Z,27210,28436
2025-01-19,2,2025-01-19T00:30:00Z,2025-01-18T11:47:00Z,27620,28843
2025-01-19,3,2025-01-19T01:00:00Z,2025-01-18T11:47:00Z,27224,28445
2025-01-19,4,2025-01-19T01:30:00Z,2025-01-18T11:47:00Z,26500,27751
2025-01-19,5,2025-01-19T02:00:00Z,2025-01-18T11:47:00Z,26028,27277
2025-01-19,6,2025-01-19T02:30:00Z,2025-01-18T11:47:00Z,25596,26843
2025-01-19,7,2025-01-19T03:00:00Z,2025-01-18T11:47:00Z,25160,26466
2025-01-19,8,2025-01-19T03:30:00Z,2025-01-18T11:47:00Z,24739,26051
2025-01-19,9,2025-01-19T04:00:00Z,2025-01-18T11:47:00Z,24389,25859
2025-01-19,10,2025-01-19T04:30:00Z,2025-01-18T11:47:00Z,24160,25625
2025-01-19,11,2025-01-19T05:00:00Z,2025-01-18T11:47:00Z,24254,25498
2025-01-19,12,2025-01-19T05:30:00Z,2025-01-18T11:47:00Z,24333,25583
2025-01-19,13,2025-01-19T06:00:00Z,2025-01-18T11:47:00Z,25133,26380
2025-01-19,14,2025-01-19T06:30:00Z,2025-01-18T11:47:00Z,25848,26775
2025-01-19,15,2025-01-19T07:00:00Z,2025-01-18T11:47:00Z,26806,27411
2025-01-19,16,2025-01-19T07:30:00Z,2025-01-18T11:47:00Z,27740,28340
2025-01-19,17,2025-01-19T08:00:00Z,2025-01-18T11:47:00Z,29147,29747
2025-01-19,18,2025-01-19T08:30:00Z,2025-01-18T11:47:00Z,30841,31441
2025-01-19,19,2025-01-19T09:00:00Z,2025-01-18T11:47:00Z,32516,33116
2025-01-19,20,2025-01-19T09:30:00Z,2025-01-18T11:47:00Z,33703,34303
2025-01-19,21,2025-01-19T10:00:00Z,2025-01-18T11:47:00Z,34613,35213
2025-01-19,22,2025-01-19T10:30:00Z,2025-01-18T11:47:00Z,34919,35519
2025-01-19,23,2025-01-19T11:00:00Z,2025-01-18T11:47:00Z,35318,35918
2025-01-19,24,2025-01-19T11:30:00Z,2025-01-18T11:47:00Z,35760,36360
2025-01-19,25,2025-01-19T12:00:00Z,2025-01-18T11:47:00Z,36438,37038
2025-01-19,26,2025-01-19T12:30:00Z,2025-01-18T11:47:00Z,36940,37540
2025-01-19,27,2025-01-19T13:00:00Z,2025-01-18T11:47:00Z,37022,37622
2025-01-19,28,2025-01-19T13:30:00Z,2025-01-18T11:47:00Z,37015,37615
2025-01-19,29,2025-01-19T14:00:00Z,2025-01-18T11:47:00Z,37030,37630
2025-01-19,30,2025-01-19T14:30:00Z,2025-01-18T11:47:00Z,37000,37600
2025-01-19,31,2025-01-19T15:00:00Z,2025-01-18T11:47:00Z,37552,38152
2025-01-19,32,2025-01-19T15:30:00Z,2025-01-18T11:47:00Z,38005,38605
2025-01-19,33,2025-01-19T16:00:00Z,2025-01-18T11:47:00Z,38973,39573
2025-01-19,34,2025-01-19T16:30:00Z,2025-01-18T11:47:00Z,40488,41088
2025-01-19,35,2025-01-19T17:00:00Z,2025-01-18T11:47:00Z,41658,42258
2025-01-19,36,2025-01-19T17:30:00Z,2025-01-18T11:47:00Z,41780,42380
2025-01-19,37,2025-01-19T18:00:00Z,2025-01-18T11:47:00Z,41255,41855
2025-01-19,38,2025-01-19T18:30:00Z,2025-01-18T11:47:00Z,40330,40930
2025-01-19,39,2025-01-19T19:00:00Z,2025-01-18T11:47:00Z,39161,39761
2025-01-19,40,2025-01-19T19:30:00Z,2025-01-18T11:47:00Z,38082,38682
2025-01-19,41,2025-01-19T20:00:00Z,2025-01-18T11:47:00Z,37078,37678
2025-01-19,42,2025-01-19T20:30:00Z,2025-01-18T11:47:00Z,35870,36470
2025-01-19,43,2025-01-19T21:00:00Z,2025-01-18T11:47:00Z,34545,35145
2025-01-19,44,2025-01-19T21:30:00Z,2025-01-18T11:47:00Z,32894,33494
2025-01-19,45,2025-01-19T22:00:00Z,2025-01-18T11:47:00Z,31351,31951
2025-01-19,46,2025-01-19T22:30:00Z,2025-01-18T11:47:00Z,29669,30282
2025-01-19,47,2025-01-19T23:00:00Z,2025-01-18T11:47:00Z,27836,29002
2025-01-19,48,2025-01-19T23:30:00Z,2025-01-18T11:47:00Z,26820,27994
2025-01-20,1,2025-01-20T00:00:00Z,2025-01-18T11:47:00Z,26680,27852
2025-01-20,2,2025-01-20T00:30:00Z,2025-01-18T11:47:00Z,27320,28490
2025-01-20,3,2025-01-20T01:00:00Z,2025-01-18T11:47:00Z,27084,28252
2025-01-20,4,2025-01-20T01:30:00Z,2025-01-18T11:47:00Z,26552,27720
2025-01-20,5,2025-01-20T02:00:00Z,2025-01-18T11:47:00Z,26198,27364
2025-01-20,6,2025-01-20T02:30:00Z,2025-01-18T11:47:00Z,25861,27034
2025-01-20,7,2025-01-20T03:00:00Z,2025-01-18T11:47:00Z,25697,26868
2025-01-20,8,2025-01-20T03:30:00Z,2025-01-18T11:47:00Z,25381,26550
2025-01-20,9,2025-01-20T04:00:00Z,2025-01-18T11:47:00Z,25320,26486
2025-01-20,10,2025-01-20T04:30:00Z,2025-01-18T11:47:00Z,25380,26554
