settlementDate,settlementPeriod,startTime,publishTime,nationalDemand,transmissionSystemDemand
2026-02-02,1,2026-02-02T00:00:00Z,2026-02-01T11:47:00Z,27310,27910
2026-02-02,2,2026-02-02T00:30:00Z,2026-02-01T11:47:00Z,27890,28490
2026-02-02,3,2026-02-02T01:00:00Z,2026-02-01T11:47:00Z,27459,28059
2026-02-02,4,2026-02-02T01:30:00Z,2026-02-01T11:47:00Z,26604,27204
2026-02-02,5,2026-02-02T02:00:00Z,2026-02-01T11:47:00Z,26631,27231
2026-02-02,6,2026-02-02T02:30:00Z,2026-02-01T11:47:00Z,25896,26496
2026-02-02,7,2026-02-02T03:00:00Z,2026-02-01T11:47:00Z,25289,26112
2026-02-02,8,2026-02-02T03:30:00Z,2026-02-01T11:47:00Z,24807,25680
2026-02-02,9,2026-02-02T04:00:00Z,2026-02-01T11:47:00Z,24390,25262
2026-02-02,10,2026-02-02T04:30:00Z,2026-02-01T11:47:00Z,24433,25255
2026-02-02,11,2026-02-02T05:00:00Z,2026-02-01T11:47:00Z,24618,25218
2026-02-02,12,2026-02-02T05:30:00Z,2026-02-01T11:47:00Z,25545,26145
2026-02-02,13,2026-02-02T06:00:00Z,2026-02-01T11:47:00Z,27741,28341
2026-02-02,14,2026-02-02T06:30:00Z,2026-02-01T11:47:00Z,30232,30832
2026-02-02,15,2026-02-02T07:00:00Z,2026-02-01T11:47:00Z,33342,33942
2026-02-02,16,2026-02-02T07:30:00Z,2026-02-01T11:47:00Z,34720,35320
2026-02-02,17,2026-02-02T08:00:00Z,2026-02-01T11:47:00Z,36536,37136
2026-02-02,18,2026-02-02T08:30:00Z,2026-02-01T11:47:00Z,37040,37640
2026-02-02,19,2026-02-02T09:00:00Z,2026-02-01T11:47:00Z,38460,39060
2026-02-02,20,2026-02-02T09:30:00Z,2026-02-01T11:47:00Z,38267,38867
2026-02-02,21,2026-02-02T10:00:00Z,2026-02-01T11:47:00Z,38373,38973
2026-02-02,22,2026-02-02T10:30:00Z,2026-02-01T11:47:00Z,38445,39045
2026-02-02,23,2026-02-02T11:00:00Z,2026-02-01T11:47:00Z,38135,38735
2026-02-02,24,2026-02-02T11:30:00Z,2026-02-01T11:47:00Z,37750,38350
2026-02-02,25,2026-02-02T12:00:00Z,2026-02-01T11:47:00Z,37390,37990
2026-02-02,26,2026-02-02T12:30:00Z,2026-02-01T11:47:00Z,37381,37981
2026-02-02,27,2026-02-02T13:00:00Z,2026-02-01T11:47:00Z,37143,37743
2026-02-02,28,2026-02-02T13:30:00Z,2026-02-01T11:47:00Z,36885,37485
2026-02-02,29,2026-02-02T14:00:00Z,2026-02-01T11:47:00Z,36674,37274
2026-02-02,30,2026-02-02T14:30:00Z,2026-02-01T11:47:00Z,36220,36820
2026-02-02,31,2026-02-02T15:00:00Z,2026-02-01T11:47:00Z,36335,36935
2026-02-02,32,2026-02-02T15:30:00Z,2026-02-01T11:47:00Z,37350,37950
2026-02-02,33,2026-02-02T16:00:00Z,2026-02-01T11:47:00Z,38169,38769
2026-02-02,34,2026-02-02T16:30:00Z,2026-02-01T11:47:00Z,39483,40083
2026-02-02,35,2026-02-02T17:00:00Z,2026-02-01T11:47:00Z,40728,41328
2026-02-02,36,2026-02-02T17:30:00Z,2026-02-01T11:47:00Z,40740,41340
2026-02-02,37,2026-02-02T18:00:00Z,2026-02-01T11:47:00Z,40348,40948
2026-02-02,38,2026-02-02T18:30:00Z,2026-02-01T11:47:00Z,39905,40505
2026-02-02,39,2026-02-02T19:00:00Z,2026-02-01T11:47:00Z,38938,39538
2026-02-02,40,2026-02-02T19:30:00Z,2026-02-01T11:47:00Z,37748,38348
2026-02-02,41,2026-02-02T20:00:00Z,2026-02-01T11:47:00Z,36938,37538
2026-02-02,42,2026-02-02T20:30:00Z,2026-02-01T11:47:00Z,35090,35690
2026-02-02,43,2026-02-02T21:00:00Z,2026-02-01T11:47:00Z,32980,33580
2026-02-02,44,2026-02-02T21:30:00Z,2026-02-01T11:47:00Z,31612,32212
2026-02-02,45,2026-02-02T22:00:00Z,2026-02-01T11:47:00Z,29931,30531
2026-02-02,46,2026-02-02T22:30:00Z,2026-02-01T11:47:00Z,27976,28576
2026-02-02,47,2026-02-02T23:00:00Z,2026-02-01T11:47:00Z,26081,26898
2026-02-02,48,2026-02-02T23:30:00Z,2026-02-01T11:47:00Z,25140,25957
2026-02-03,1,2026-02-03T00:00:00Z,2026-02-01T11:47:00Z,25610,26426
2026-02-03,2,2026-02-03T00:30:00Z,2026-02-01T11:47:00Z,26150,26966
2026-02-03,3,2026-02-03T01:00:00Z,2026-02-01T11:47:00Z,25672,26488
2026-02-03,4,2026-02-03T01:30:00Z,2026-02-01T11:47:00Z,25058,25873
2026-02-03,5,2026-02-03T02:00:00Z,2026-02-01T11:47:00Z,24486,25301
2026-02-03,6,2026-02-03T02:30:00Z,2026-02-01T11:47:00Z,24260,25075
2026-02-03,7,2026-02-03T03:00:00Z,2026-02-01T11:47:00Z,23759,24574
2026-02-03,8,2026-02-03T03:30:00Z,2026-02-01T11:47:00Z,23387,24202
2026-02-03,9,2026-02-03T04:00:00Z,2026-02-01T11:47:00Z,22938,23753
2026-02-03,10,2026-02-03T04:30:00Z,2026-02-01T11:47:00Z,22850,23673
