settlement_period,ssp,sbp,price_used,asset,action,power_mw,soc,energy_mwh
1,119.29,119.29,119.29,Battery_1,charge,3.0,16.8,3.35
2,108.61,108.61,108.61,Battery_1,charge,3.0,23.5,4.7
3,104.4,104.4,104.4,Battery_1,charge,3.0,30.2,6.05
4,138.89,138.89,0.0,Battery_1,hold,0.0,30.2,6.05
5,126.56,126.56,0.0,Battery_1,hold,0.0,30.2,6.05
6,139.72,139.72,0.0,Battery_1,hold,0.0,30.2,6.05
7,112.07,112.07,112.07,Battery_1,charge,3.0,37.0,7.4
8,99.9,99.9,99.9,Battery_1,charge,3.0,43.8,8.75
9,121.19,121.19,121.19,Battery_1,charge,1.22,46.5,9.3
10,117.14,117.14,117.14,Battery_1,charge,3.0,53.2,10.65
11,134.66,134.66,0.0,Battery_1,hold,0.0,53.2,10.65
12,136.09,136.09,0.0,Battery_1,hold,0.0,53.2,10.65
13,138.69,138.69,0.0,Battery_1,hold,0.0,53.2,10.65
14,198.0,198.0,198.0,Battery_1,discharge,3.0,44.9,8.98
15,155.0,155.0,155.0,Battery_1,discharge,3.0,36.6,7.32
16,155.0,155.0,155.0,Battery_1,discharge,3.0,28.3,5.65
17,107.89,107.89,107.89,Battery_1,charge,3.0,35.0,7.0
18,152.0,152.0,152.0,Battery_1,discharge,3.0,26.7,5.33
19,155.0,155.0,155.0,Battery_1,discharge,3.0,18.3,3.67
20,155.0,155.0,155.0,Battery_1,discharge,3.0,10.0,2.0
21,145.0,145.0,0.0,Battery_1,hold,0.0,10.0,2.0
22,97.0,97.0,97.0,Battery_1,charge,3.0,16.8,3.35
23,93.41,93.41,93.41,Battery_1,charge,3.0,23.5,4.7
24,88.36,88.36,88.36,Battery_1,charge,3.0,30.2,6.05
25,75.23,75.23,75.23,Battery_1,charge,3.0,37.0,7.4
26,75.0,75.0,75.0,Battery_1,charge,3.0,43.8,8.75
27,79.03,79.03,79.03,Battery_1,charge,3.0,50.5,10.1
28,79.03,79.03,79.03,Battery_1,charge,3.0,57.2,11.45
29,88.7,88.7,88.7,Battery_1,charge,3.0,64.0,12.8
30,96.8,96.8,96.8,Battery_1,charge,3.0,70.8,14.15
31,103.98,103.98,0.0,Battery_1,hold,0.0,70.8,14.15
32,104.45,104.45,0.0,Battery_1,hold,0.0,70.8,14.15
33,125.42,125.42,125.42,Battery_1,discharge,2.16,64.8,12.95
34,72.0,72.0,72.0,Battery_1,charge,3.0,71.5,14.3
35,97.61,97.61,97.61,Battery_1,charge,3.0,78.2,15.65
36,99.2,99.2,99.2,Battery_1,charge,3.0,85.0,17.0
37,107.31,107.31,0.0,Battery_1,hold,0.0,85.0,17.0
38,119.59,119.59,0.0,Battery_1,hold,0.0,85.0,17.0
39,174.56,174.56,174.56,Battery_1,discharge,3.0,76.7,15.33
40,131.0,131.0,131.0,Battery_1,discharge,3.0,68.3,13.67
41,124.0,124.0,0.0,Battery_1,hold,0.0,68.3,13.67
42,174.48,174.48,174.48,Battery_1,discharge,3.0,60.0,12.0
43,126.75,126.75,126.75,Battery_1,discharge,3.0,51.7,10.33
44,149.97,149.97,149.97,Battery_1,discharge,3.0,43.3,8.67
45,140.9,140.9,140.9,Battery_1,discharge,3.0,35.0,7.0
46,133.06,133.06,133.06,Battery_1,discharge,3.0,26.7,5.33
47,146.49,146.49,146.49,Battery_1,discharge,3.0,18.3,3.67
48,140.0,140.0,140.0,Battery_1,discharge,3.0,10.0,2.0
1,119.29,119.29,119.29,Battery_2,charge,7.5,13.4,13.38
2,108.61,108.61,108.61,Battery_2,charge,7.5,16.8,16.75
3,104.4,104.4,104.4,Battery_2,charge,7.5,20.1,20.12
4,138.89,138.89,0.0,Battery_2,hold,0.0,20.1,20.12
