settlement_period,price,asset,action,power_mw,soc,energy_mwh
1,67.37,Battery_1,discharge,4.0,38.9,7.78
2,65.88,Battery_1,discharge,4.0,27.8,5.56
3,35.37,Battery_1,discharge,4.0,16.7,3.33
4,30.9,Battery_1,hold,0.0,16.7,3.33
5,21.83,Battery_1,charge,4.0,25.7,5.13
6,15.62,Battery_1,charge,4.0,34.7,6.93
7,13.19,Battery_1,charge,4.0,43.7,8.73
8,11.03,Battery_1,charge,4.0,52.7,10.53
9,11.97,Battery_1,charge,4.0,61.7,12.33
10,14.55,Battery_1,charge,4.0,70.7,14.13
11,18.35,Battery_1,charge,4.0,79.7,15.93
12,27.22,Battery_1,charge,0.59,81.0,16.2
13,22.84,Battery_1,charge,4.0,90.0,18.0
14,56.28,Battery_1,discharge,4.0,78.9,15.78
15,68.22,Battery_1,discharge,4.0,67.8,13.56
16,66.98,Battery_1,discharge,4.0,56.7,11.33
17,66.49,Battery_1,discharge,4.0,45.6,9.11
18,60.15,Battery_1,discharge,4.0,34.4,6.89
19,59.11,Battery_1,discharge,4.0,23.3,4.67
20,52.91,Battery_1,discharge,0.8,21.1,4.22
21,53.92,Battery_1,discharge,4.0,10.0,2.0
22,42.35,Battery_1,hold,0.0,10.0,2.0
23,22.04,Battery_1,hold,0.0,10.0,2.0
24,18.47,Battery_1,hold,0.0,10.0,2.0
25,12.22,Battery_1,hold,0.0,10.0,2.0
26,8.82,Battery_1,charge,3.56,18.0,3.6
27,0.11,Battery_1,charge,4.0,27.0,5.4
28,-4.14,Battery_1,charge,4.0,36.0,7.2
29,-12.41,Battery_1,charge,4.0,45.0,9.0
30,-22.34,Battery_1,charge,4.0,54.0,10.8
31,-41.37,Battery_1,charge,4.0,63.0,12.6
32,-42.02,Battery_1,charge,4.0,72.0,14.4
33,-15.14,Battery_1,charge,4.0,81.0,16.2
34,4.05,Battery_1,charge,4.0,90.0,18.0
35,57.04,Battery_1,hold,0.0,90.0,18.0
36,87.15,Battery_1,hold,0.0,90.0,18.0
37,89.84,Battery_1,discharge,0.8,87.8,17.56
38,87.74,Battery_1,hold,0.0,87.8,17.56
39,94.15,Battery_1,discharge,4.0,76.7,15.33
40,91.39,Battery_1,discharge,4.0,65.6,13.11
41,87.81,Battery_1,hold,0.0,65.6,13.11
42,93.65,Battery_1,discharge,4.0,54.4,10.89
43,98.45,Battery_1,discharge,4.0,43.3,8.67
44,103.42,Battery_1,discharge,4.0,32.2,6.44
45,105.77,Battery_1,discharge,4.0,21.1,4.22
