settlementDate,settlementPeriod,startTime,publishTime,nationalDemand,transmissionSystemDemand
2026-03-13,1,2026-03-13T00:00:00Z,2026-03-12T11:47:00Z,23210,26537
2026-03-13,2,2026-03-13T00:30:00Z,2026-03-12T11:47:00Z,23710,27043
2026-03-13,3,2026-03-13T01:00:00Z,2026-03-12T11:47:00Z,23245,26570
2026-03-13,4,2026-03-13T01:30:00Z,2026-03-12T11:47:00Z,22501,25830
2026-03-13,5,2026-03-13T02:00:00Z,2026-03-12T11:47:00Z,21786,25116
2026-03-13,6,2026-03-13T02:30:00Z,2026-03-12T11:47:00Z,21548,24862
2026-03-13,7,2026-03-13T03:00:00Z,2026-03-12T11:47:00Z,21031,24386
2026-03-13,8,2026-03-13T03:30:00Z,2026-03-12T11:47:00Z,20661,24013
2026-03-13,9,2026-03-13T04:00:00Z,2026-03-12T11:47:00Z,20290,23521
2026-03-13,10,2026-03-13T04:30:00Z,2026-03-12T11:47:00Z,20448,23676
2026-03-13,11,2026-03-13T05:00:00Z,2026-03-12T11:47:00Z,20905,23830
2026-03-13,12,2026-03-13T05:30:00Z,2026-03-12T11:47:00Z,21861,24784
2026-03-13,13,2026-03-13T06:00:00Z,2026-03-12T11:47:00Z,24597,27066
2026-03-13,14,2026-03-13T06:30:00Z,2026-03-12T11:47:00Z,26466,28935
2026-03-13,15,2026-03-13T07:00:00Z,2026-03-12T11:47:00Z,29077,30354
2026-03-13,16,2026-03-13T07:30:00Z,2026-03-12T11:47:00Z,30220,31497
2026-03-13,17,2026-03-13T08:00:00Z,2026-03-12T11:47:00Z,30560,31372
2026-03-13,18,2026-03-13T08:30:00Z,2026-03-12T11:47:00Z,30499,31311
2026-03-13,19,2026-03-13T09:00:00Z,2026-03-12T11:47:00Z,30389,31487
2026-03-13,20,2026-03-13T09:30:00Z,2026-03-12T11:47:00Z,29967,31069
2026-03-13,21,2026-03-13T10:00:00Z,2026-03-12T11:47:00Z,29188,30917
2026-03-13,22,2026-03-13T10:30:00Z,2026-03-12T11:47:00Z,28433,30161
2026-03-13,23,2026-03-13T11:00:00Z,2026-03-12T11:47:00Z,28117,30308
2026-03-13,24,2026-03-13T11:30:00Z,2026-03-12T11:47:00Z,27874,30066
2026-03-13,25,2026-03-13T12:00:00Z,2026-03-12T11:47:00Z,27780,29599
2026-03-13,26,2026-03-13T12:30:00Z,2026-03-12T11:47:00Z,27640,29459
2026-03-13,27,2026-03-13T13:00:00Z,2026-03-12T11:47:00Z,27492,28804
2026-03-13,28,2026-03-13T13:30:00Z,2026-03-12T11:47:00Z,27480,28791
2026-03-13,29,2026-03-13T14:00:00Z,2026-03-12T11:47:00Z,27552,28452
2026-03-13,30,2026-03-13T14:30:00Z,2026-03-12T11:47:00Z,27849,28747
2026-03-13,31,2026-03-13T15:00:00Z,2026-03-12T11:47:00Z,28578,29192
2026-03-13,32,2026-03-13T15:30:00Z,2026-03-12T11:47:00Z,29865,30479
2026-03-13,33,2026-03-13T16:00:00Z,2026-03-12T11:47:00Z,31263,31877
2026-03-13,34,2026-03-13T16:30:00Z,2026-03-12T11:47:00Z,32814,33428
2026-03-13,35,2026-03-13T17:00:00Z,2026-03-12T11:47:00Z,34783,35397
2026-03-13,36,2026-03-13T17:30:00Z,2026-03-12T11:47:00Z,36199,36813
2026-03-13,37,2026-03-13T18:00:00Z,2026-03-12T11:47:00Z,37407,38021
2026-03-13,38,2026-03-13T18:30:00Z,2026-03-12T11:47:00Z,37960,38574
2026-03-13,39,2026-03-13T19:00:00Z,2026-03-12T11:47:00Z,37682,38296
2026-03-13,40,2026-03-13T19:30:00Z,2026-03-12T11:47:00Z,36584,37198
2026-03-13,41,2026-03-13T20:00:00Z,2026-03-12T11:47:00Z,35359,35973
2026-03-13,42,2026-03-13T20:30:00Z,2026-03-12T11:47:00Z,34210,34824
2026-03-13,43,2026-03-13T21:00:00Z,2026-03-12T11:47:00Z,32532,33146
2026-03-13,44,2026-03-13T21:30:00Z,2026-03-12T11:47:00Z,31550,32164
2026-03-13,45,2026-03-13T22:00:00Z,2026-03-12T11:47:00Z,30238,30852
2026-03-13,46,2026-03-13T22:30:00Z,2026-03-12T11:47:00Z,28636,29250
2026-03-13,47,2026-03-13T23:00:00Z,2026-03-12T11:47:00Z,26830,27632
2026-03-13,48,2026-03-13T23:30:00Z,2026-03-12T11:47:00Z,26100,26902
2026-03-14,1,2026-03-14T00:00:00Z,2026-03-12T11:47:00Z,26260,27061
2026-03-14,2,2026-03-14T00:30:00Z,2026-03-12T11:47:00Z,26880,27681
2026-03-14,3,2026-03-14T01:00:00Z,2026-03-12T11:47:00Z,26468,27269
2026-03-14,4,2026-03-14T01:30:00Z,2026-03-12T11:47:00Z,25727,26527
2026-03-14,5,2026-03-14T02:00:00Z,2026-03-12T11:47:00Z,25294,26094
2026-03-14,6,2026-03-14T02:30:00Z,2026-03-12T11:47:00Z,24752,25552
2026-03-14,7,2026-03-14T03:00:00Z,2026-03-12T11:47:00Z,24358,25166
2026-03-14,8,2026-03-14T03:30:00Z,2026-03-12T11:47:00Z,23486,24294
2026-03-14,9,2026-03-14T04:00:00Z,2026-03-12T11:47:00Z,23352,24160
2026-03-14,10,2026-03-14T04:30:00Z,2026-03-12T11:47:00Z,23100,23908
