settlementDate,settlementPeriod,startTime,createdDateTime,systemSellPrice,systemBuyPrice,bsadDefaulted,priceDerivationCode,reserveScarcityPrice,netImbalanceVolume,sellPriceAdjustment,buyPriceAdjustment,replacementPrice,replacementPriceReferenceVolume,totalAcceptedOfferVolume,totalAcceptedBidVolume,totalAdjustmentSellVolume,totalAdjustmentBuyVolume,totalSystemTaggedAcceptedOfferVolume,totalSystemTaggedAcceptedBidVolume,totalSystemTaggedAdjustmentSellVolume,totalSystemTaggedAdjustmentBuyVolume
2025-02-02,1,2025-02-02T00:00:00Z,2025-02-03T00:44:20Z,125.0,125.0,False,P,0.0,187.66083362493103,0.0,0.0,,,1782.034151124931,-1627.405325451389,0.0,32.889,1781.034151124931,-1627.405325451389,,32.889
2025-02-02,2,2025-02-02T00:30:00Z,2025-02-03T01:14:22Z,128.0,128.0,False,P,0.0,392.6947749963925,0.0,0.0,,,1850.0012564290082,-1560.5651173148149,0.0,103.32,1849.0012564290082,-1560.5651173148149,,103.32
2025-02-02,3,2025-02-02T01:00:00Z,2025-02-03T01:44:27Z,128.0,128.0,False,P,0.0,191.32473436977767,0.0,0.0,,,1490.7268210364443,-1418.7778182529364,0.0,119.394,1489.7268210364443,-1418.7778182529364,,119.394
2025-02-02,4,2025-02-02T01:30:00Z,2025-02-03T02:14:27Z,128.0,128.0,False,P,0.0,106.76714549339549,0.0,0.0,,,1310.0814636752136,-1317.8143181818182,0.0,114.5,1309.0814636752136,-1317.8143181818182,,114.5
2025-02-02,5,2025-02-02T02:00:00Z,2025-02-03T02:45:05Z,128.8,128.8,False,P,0.0,253.46409208781245,0.0,0.0,,,1409.362801683772,-1287.829866963564,0.0,131.931,1408.362801683772,-1287.829866963564,,131.931
2025-02-02,6,2025-02-02T02:30:00Z,2025-02-03T03:14:26Z,125.0,125.0,False,P,0.0,207.73887650676937,0.0,0.0,,,1529.9773487289915,-1440.2384754330064,0.0,118.0,1528.9773487289915,-1440.2384754330064,,118.0
2025-02-02,7,2025-02-02T03:00:00Z,2025-02-03T03:44:36Z,125.0,125.0,False,P,0.0,43.91706253444665,0.0,0.0,,,1369.9977292011133,-1431.358930021219,0.0,105.261,1368.9977292011133,-1431.358930021219,,105.261
2025-02-02,8,2025-02-02T03:30:00Z,2025-02-03T04:14:29Z,125.0,125.0,False,P,0.0,84.89916666666667,0.0,0.0,,,1384.4375,-1403.3666666666666,0.0,103.845,1383.4375,-1403.3666666666666,,103.845
2025-02-02,9,2025-02-02T04:00:00Z,2025-02-03T04:44:24Z,125.0,125.0,False,P,0.0,48.267368614028946,0.0,0.0,,,1345.1757020862512,-1395.1254181448412,0.0,98.0,1344.1757020862512,-1395.1254181448412,,98.0
2025-02-02,10,2025-02-02T04:30:00Z,2025-02-03T05:14:35Z,122.0,122.0,False,P,0.0,4.856477824463118,0.0,0.0,,,1354.4485889355742,-1374.8617238562092,0.0,25.294,1353.4485889355742,-1374.8617238562092,,25.294
2025-02-02,11,2025-02-02T05:00:00Z,2025-02-03T05:44:29Z,128.8,128.8,False,P,0.0,342.18839355006105,0.0,0.0,,,1673.5356166056165,-1351.3472230555556,0.0,20.0,1672.5356166056165,-1351.3472230555556,,20.0
2025-02-02,12,2025-02-02T05:30:00Z,2025-02-03T06:14:26Z,128.8,128.8,False,P,0.0,249.31006189636753,0.0,0.0,,,1623.576734951923,-1394.2669478935186,0.0,20.0,1622.576734951923,-1394.2669478935186,,20.0
2025-02-02,13,2025-02-02T06:00:00Z,2025-02-03T06:44:22Z,87.0,87.0,False,N,0.0,-22.23902890432099,0.0,0.0,,,1429.615141095679,-1471.9884083179013,0.0,20.0,1429.615141095679,-1470.9884083179013,,20.0
2025-02-02,14,2025-02-02T06:30:00Z,2025-02-03T07:14:26Z,80.0,80.0,False,N,0.0,-114.73791722222222,0.0,0.0,80.0,1.0,1152.41875,-1357.4791672222223,0.0,90.535,1152.41875,-1356.4791672222223,,90.535
2025-02-02,15,2025-02-02T07:00:00Z,2025-02-03T07:44:24Z,93.04,93.04,False,N,0.0,-78.51661305976431,0.0,0.0,,,732.1306462584175,-1343.8258207070708,0.0,533.354,732.1306462584175,-1342.8258207070708,,533.354
2025-02-02,16,2025-02-02T07:30:00Z,2025-02-03T08:14:30Z,114.08,114.08,False,P,0.0,186.18156745253242,0.0,0.0,,,812.633650508088,-1227.7209015729027,0.0,601.4,812.633650508088,-1227.7209015729027,,600.4
2025-02-02,17,2025-02-02T08:00:00Z,2025-02-03T08:44:24Z,117.1304,117.1304,False,P,0.0,328.6837248412639,0.0,0.0,,,860.2450934478948,-1192.9048356745973,0.0,661.505,860.2450934478948,-1192.9048356745973,,660.505
2025-02-02,18,2025-02-02T08:30:00Z,2025-02-03T09:14:27Z,128.9,128.9,False,P,0.0,611.5190423317307,0.0,0.0,,,1159.956593456392,-984.9291064360111,0.0,436.34,1158.956593456392,-984.9291064360111,,436.34
2025-02-02,19,2025-02-02T09:00:00Z,2025-02-03T09:44:30Z,87.34723709678482,87.34723709678482,False,N,0.0,-92.47168639336918,0.0,0.0,87.63066666666667,1.0,679.2624124955197,-771.5618766666666,0.0,0.0,679.2624124955197,-770.5618766666666,,
2025-02-02,20,2025-02-02T09:30:00Z,2025-02-03T10:14:22Z,92.0,92.0,False,N,0.0,-290.9585317460317,0.0,0.0,92.0,1.0,405.2583333333333,-696.2168650793651,0.0,0.0,405.2583333333333,-695.2168650793651,,
