settlement_period,ssp,sbp,price_used,asset,action,power_mw,soc,energy_mwh
1,108.42,108.42,108.42,Battery_1,charge,3.0,16.8,3.35
2,97.0,97.0,97.0,Battery_1,charge,3.0,23.5,4.7
3,105.0,105.0,105.0,Battery_1,charge,3.0,30.2,6.05
4,116.15,116.15,116.15,Battery_1,charge,3.0,37.0,7.4
5,94.05,94.05,94.05,Battery_1,charge,3.0,43.8,8.75
6,105.6,105.6,105.6,Battery_1,charge,3.0,50.5,10.1
7,94.05,94.05,94.05,Battery_1,charge,3.0,57.2,11.45
8,87.15,87.15,87.15,Battery_1,charge,3.0,64.0,12.8
9,87.55,87.55,87.55,Battery_1,charge,3.0,70.8,14.15
10,87.55,87.55,87.55,Battery_1,charge,3.0,77.5,15.5
11,217.95,217.95,217.95,Battery_1,discharge,3.0,69.2,13.83
12,196.0,196.0,0.0,Battery_1,hold,0.0,69.2,13.83
13,196.0,196.0,0.0,Battery_1,hold,0.0,69.2,13.83
14,192.0,192.0,0.0,Battery_1,hold,0.0,69.2,13.83
15,169.0,169.0,169.0,Battery_1,charge,3.0,75.9,15.18
16,192.0,192.0,0.0,Battery_1,hold,0.0,75.9,15.18
17,196.0,196.0,0.0,Battery_1,hold,0.0,75.9,15.18
18,196.0,196.0,0.0,Battery_1,hold,0.0,75.9,15.18
19,196.0,196.0,0.0,Battery_1,hold,0.0,75.9,15.18
20,192.0,192.0,0.0,Battery_1,hold,0.0,75.9,15.18
21,192.0,192.0,0.0,Battery_1,hold,0.0,75.9,15.18
22,192.0,192.0,0.0,Battery_1,hold,0.0,75.9,15.18
23,164.5,164.5,164.5,Battery_1,charge,3.0,82.7,16.53
24,189.84,189.84,0.0,Battery_1,hold,0.0,82.7,16.53
25,196.0,196.0,0.0,Battery_1,hold,0.0,82.7,16.53
26,195.9,195.9,0.0,Battery_1,hold,0.0,82.7,16.53
27,195.9,195.9,0.0,Battery_1,hold,0.0,82.7,16.53
28,188.95,188.95,0.0,Battery_1,hold,0.0,82.7,16.53
29,185.0,185.0,0.0,Battery_1,hold,0.0,82.7,16.53
30,204.21,204.21,0.0,Battery_1,hold,0.0,82.7,16.53
31,204.45,204.45,0.0,Battery_1,hold,0.0,82.7,16.53
32,147.57,147.57,147.57,Battery_1,charge,3.0,89.4,17.88
33,210.0,210.0,210.0,Battery_1,discharge,1.59,85.0,17.0
34,239.0,239.0,239.0,Battery_1,discharge,3.0,76.7,15.33
35,250.0,250.0,250.0,Battery_1,discharge,3.0,68.3,13.67
36,258.83,258.83,258.83,Battery_1,discharge,3.0,60.0,12.0
37,264.0,264.0,264.0,Battery_1,discharge,3.0,51.7,10.33
38,264.0,264.0,264.0,Battery_1,discharge,3.0,43.3,8.67
39,256.11,256.11,256.11,Battery_1,discharge,3.0,35.0,7.0
40,250.0,250.0,250.0,Battery_1,discharge,3.0,26.7,5.33
41,264.0,264.0,264.0,Battery_1,discharge,3.0,18.3,3.67
42,250.0,250.0,250.0,Battery_1,discharge,3.0,10.0,2.0
43,133.67,133.67,133.67,Battery_1,charge,1.41,13.2,2.63
44,127.57,127.57,127.57,Battery_1,charge,3.0,19.9,3.98
45,127.0,127.0,127.0,Battery_1,charge,3.0,26.7,5.33
46,186.32,186.32,186.32,Battery_1,discharge,3.0,18.3,3.67
47,199.89,199.89,199.89,Battery_1,discharge,3.0,10.0,2.0
48,127.0,127.0,0.0,Battery_1,hold,0.0,10.0,2.0
1,108.42,108.42,108.42,Battery_2,charge,7.5,13.4,13.38
2,97.0,97.0,97.0,Battery_2,charge,7.5,16.8,16.75
3,105.0,105.0,105.0,Battery_2,charge,7.5,20.1,20.12
4,116.15,116.15,116.15,Battery_2,charge,7.5,23.5,23.5
5,94.05,94.05,94.05,Battery_2,charge,7.5,26.9,26.88
6,105.6,105.6,105.6,Battery_2,charge,7.5,30.2,30.25
7,94.05,94.05,94.05,Battery_2,charge,7.5,33.6,33.62
8,87.15,87.15,87.15,Battery_2,charge,7.5,37.0,37.0
9,87.55,87.55,87.55,Battery_2,charge,7.5,40.4,40.38
10,87.55,87.55,87.55,Battery_2,charge,7.5,43.8,43.75
11,217.95,217.95,217.95,Battery_2,discharge,7.5,39.6,39.58
12,196.0,196.0,0.0,Battery_2,hold,0.0,39.6,39.58
13,196.0,196.0,0.0,Battery_2,hold,0.0,39.6,39.58
14,192.0,192.0,0.0,Battery_2,hold,0.0,39.6,39.58
15,169.0,169.0,169.0,Battery_2,charge,7.5,43.0,42.96
16,192.0,192.0,0.0,Battery_2,hold,0.0,43.0,42.96
17,196.0,196.0,0.0,Battery_2,hold,0.0,43.0,42.96
18,196.0,196.0,0.0,Battery_2,hold,0.0,43.0,42.96
19,196.0,196.0,0.0,Battery_2,hold,0.0,43.0,42.96
20,192.0,192.0,0.0,Battery_2,hold,0.0,43.0,42.96
21,192.0,192.0,0.0,Battery_2,hold,0.0,43.0,42.96
22,192.0,192.0,0.0,Battery_2,hold,0.0,43.0,42.96
23,164.5,164.5,164.5,Battery_2,charge,7.5,46.3,46.33
24,189.84,189.84,0.0,Battery_2,hold,0.0,46.3,46.33
25,196.0,196.0,0.0,Battery_2,hold,0.0,46.3,46.33
26,195.9,195.9,0.0,Battery_2,hold,0.0,46.3,46.33
27,195.9,195.9,0.0,Battery_2,hold,0.0,46.3,46.33
28,188.95,188.95,0.0,Battery_2,hold,0.0,46.3,46.33
29,185.0,185.0,0.0,Battery_2,hold,0.0,46.3,46.33
30,204.21,204.21,0.0,Battery_2,hold,0.0,46.3,46.33
31,204.45,204.45,0.0,Battery_2,hold,0.0,46.3,46.33
32,147.57,147.57,147.57,Battery_2,charge,7.5,49.7,49.71
33,210.0,210.0,210.0,Battery_2,discharge,3.98,47.5,47.5
34,239.0,239.0,239.0,Battery_2,discharge,7.5,43.3,43.33
35,250.0,250.0,250.0,Battery_2,discharge,7.5,39.2,39.17
36,258.83,258.83,258.83,Battery_2,discharge,7.5,35.0,35.0
37,264.0,264.0,264.0,Battery_2,discharge,7.5,30.8,30.83
38,264.0,264.0,264.0,Battery_2,discharge,7.5,26.7,26.67
39,256.11,256.11,256.11,Battery_2,discharge,7.5,22.5,22.5
40,250.0,250.0,250.0,Battery_2,discharge,7.5,18.3,18.33
41,264.0,264.0,264.0,Battery_2,discharge,7.5,14.2,14.17
42,250.0,250.0,250.0,Battery_2,discharge,7.5,10.0,10.0
43,133.67,133.67,133.67,Battery_2,charge,3.52,11.6,11.58
44,127.57,127.57,127.57,Battery_2,charge,7.5,15.0,14.96
45,127.0,127.0,127.0,Battery_2,charge,7.5,18.3,18.33
46,186.32,186.32,186.32,Battery_2,discharge,7.5,14.2,14.17
47,199.89,199.89,199.89,Battery_2,discharge,7.5,10.0,10.0
48,127.0,127.0,0.0,Battery_2,hold,0.0,10.0,10.0
1,108.42,108.42,108.42,Battery_3,charge,15.0,13.4,26.75
2,97.0,97.0,97.0,Battery_3,charge,15.0,16.8,33.5
3,105.0,105.0,105.0,Battery_3,charge,15.0,20.1,40.25
4,116.15,116.15,116.15,Battery_3,charge,15.0,23.5,47.0
5,94.05,94.05,94.05,Battery_3,charge,15.0,26.9,53.75
