Date,Service_Type,EFA_1,EFA_2,EFA_3,EFA_4,EFA_5,EFA_6
2026-06-23,DC-H,1394,1443,1430,1443,1447,1344
2026-06-23,DC-L,1417,1448,1436,1431,1449,1365
2026-06-24,DC-H,1389,1436,1417,1439,1440,1338
2026-06-24,DC-L,1412,1442,1422,1427,1443,1359
2026-06-25,DC-H,1387,1435,1421,1436,1440,1347
2026-06-25,DC-L,1410,1441,1427,1423,1442,1368
2026-06-26,DC-H,1394,1439,1416,1429,1436,1365
2026-06-26,DC-L,1417,1444,1421,1417,1439,1386
