settlement_period,price,asset,action,power_mw,soc,energy_mwh
1,120.46,Battery_1,hold,0.0,50.0,10.0
2,121.57,Battery_1,hold,0.0,50.0,10.0
3,126.04,Battery_1,hold,0.0,50.0,10.0
4,123.67,Battery_1,hold,0.0,50.0,10.0
5,122.62,Battery_1,hold,0.0,50.0,10.0
6,123.66,Battery_1,hold,0.0,50.0,10.0
7,126.95,Battery_1,hold,0.0,50.0,10.0
8,123.67,Battery_1,hold,0.0,50.0,10.0
9,130.54,Battery_1,hold,0.0,50.0,10.0
10,126.3,Battery_1,hold,0.0,50.0,10.0
11,136.31,Battery_1,discharge,2.4,43.3,8.67
12,136.67,Battery_1,discharge,4.0,32.2,6.44
13,136.46,Battery_1,discharge,4.0,21.1,4.22
14,139.27,Battery_1,discharge,4.0,10.0,2.0
15,127.38,Battery_1,hold,0.0,10.0,2.0
16,124.29,Battery_1,hold,0.0,10.0,2.0
17,114.43,Battery_1,hold,0.0,10.0,2.0
18,121.41,Battery_1,hold,0.0,10.0,2.0
19,112.88,Battery_1,hold,0.0,10.0,2.0
20,115.35,Battery_1,hold,0.0,10.0,2.0
21,118.3,Battery_1,hold,0.0,10.0,2.0
22,114.18,Battery_1,hold,0.0,10.0,2.0
23,99.97,Battery_1,hold,0.0,10.0,2.0
24,101.47,Battery_1,hold,0.0,10.0,2.0
25,97.91,Battery_1,hold,0.0,10.0,2.0
26,96.36,Battery_1,charge,4.0,19.0,3.8
27,94.84,Battery_1,charge,4.0,28.0,5.6
28,94.72,Battery_1,charge,4.0,37.0,7.4
29,87.85,Battery_1,charge,4.0,46.0,9.2
30,85.39,Battery_1,charge,4.0,55.0,11.0
31,90.35,Battery_1,charge,4.0,64.0,12.8
32,87.35,Battery_1,charge,4.0,73.0,14.6
33,96.67,Battery_1,charge,3.56,81.0,16.2
34,95.39,Battery_1,charge,4.0,90.0,18.0
35,115.41,Battery_1,hold,0.0,90.0,18.0
36,120.43,Battery_1,hold,0.0,90.0,18.0
37,127.27,Battery_1,hold,0.0,90.0,18.0
38,136.03,Battery_1,discharge,0.8,87.8,17.56
39,140.81,Battery_1,discharge,4.0,76.7,15.33
40,139.55,Battery_1,discharge,4.0,65.6,13.11
41,140.65,Battery_1,discharge,4.0,54.4,10.89
42,142.76,Battery_1,discharge,4.0,43.3,8.67
43,142.07,Battery_1,discharge,4.0,32.2,6.44
44,136.79,Battery_1,discharge,4.0,21.1,4.22
45,137.99,Battery_1,discharge,4.0,10.0,2.0
46,132.21,Battery_1,hold,0.0,10.0,2.0
47,119.42,Battery_1,hold,0.0,10.0,2.0
48,124.31,Battery_1,hold,0.0,10.0,2.0
1,120.46,Battery_2,hold,0.0,50.0,50.0
2,121.57,Battery_2,hold,0.0,50.0,50.0
3,126.04,Battery_2,hold,0.0,50.0,50.0
4,123.67,Battery_2,hold,0.0,50.0,50.0
5,122.62,Battery_2,hold,0.0,50.0,50.0
6,123.66,Battery_2,hold,0.0,50.0,50.0
7,126.95,Battery_2,hold,0.0,50.0,50.0
8,123.67,Battery_2,hold,0.0,50.0,50.0
9,130.54,Battery_2,discharge,12.5,43.1,43.06
10,126.3,Battery_2,hold,0.0,43.1,43.06
11,136.31,Battery_2,discharge,12.5,36.1,36.11
12,136.67,Battery_2,discharge,12.5,29.2,29.17
13,136.46,Battery_2,discharge,12.5,22.2,22.22
14,139.27,Battery_2,discharge,12.5,15.3,15.28
15,127.38,Battery_2,discharge,9.5,10.0,10.0
16,124.29,Battery_2,hold,0.0,10.0,10.0
17,114.43,Battery_2,hold,0.0,10.0,10.0
18,121.41,Battery_2,hold,0.0,10.0,10.0
19,112.88,Battery_2,hold,0.0,10.0,10.0
20,115.35,Battery_2,hold,0.0,10.0,10.0
21,118.3,Battery_2,hold,0.0,10.0,10.0
22,114.18,Battery_2,hold,0.0,10.0,10.0
23,99.97,Battery_2,charge,12.5,15.6,15.62
24,101.47,Battery_2,charge,12.5,21.2,21.25
25,97.91,Battery_2,charge,12.5,26.9,26.88
26,96.36,Battery_2,charge,12.5,32.5,32.5
27,94.84,Battery_2,charge,12.5,38.1,38.12
28,94.72,Battery_2,charge,12.5,43.8,43.75
29,87.85,Battery_2,charge,12.5,49.4,49.38
30,85.39,Battery_2,charge,12.5,55.0,55.0
31,90.35,Battery_2,charge,12.5,60.6,60.62
32,87.35,Battery_2,charge,12.5,66.2,66.25
33,96.67,Battery_2,charge,12.5,71.9,71.88
34,95.39,Battery_2,charge,12.5,77.5,77.5
35,115.41,Battery_2,hold,0.0,77.5,77.5
