settlement_period,ssp,sbp,price_used,asset,action,power_mw,soc,energy_mwh
1,57.92,57.92,57.92,Battery_1,charge,3.0,16.8,3.35
2,61.63,61.63,61.63,Battery_1,charge,3.0,23.5,4.7
3,57.0,57.0,57.0,Battery_1,charge,3.0,30.2,6.05
4,44.91,44.91,44.91,Battery_1,charge,3.0,37.0,7.4
5,49.17,49.17,49.17,Battery_1,charge,3.0,43.8,8.75
6,95.26,95.26,95.26,Battery_1,discharge,1.17,40.5,8.1
7,65.42,65.42,65.42,Battery_1,charge,3.0,47.2,9.45
8,69.2,69.2,69.2,Battery_1,charge,3.0,54.0,10.8
9,95.0,95.0,0.0,Battery_1,hold,0.0,54.0,10.8
10,61.57,61.57,61.57,Battery_1,charge,3.0,60.8,12.15
11,59.2,59.2,59.2,Battery_1,charge,3.0,67.5,13.5
12,76.59,76.59,76.59,Battery_1,charge,3.0,74.2,14.85
13,68.2,68.2,68.2,Battery_1,charge,3.0,81.0,16.2
14,80.61,80.61,0.0,Battery_1,hold,0.0,81.0,16.2
15,80.5,80.5,0.0,Battery_1,hold,0.0,81.0,16.2
16,129.0,129.0,129.0,Battery_1,discharge,3.0,72.7,14.53
17,115.54,115.54,115.54,Battery_1,discharge,3.0,64.3,12.87
18,114.14,114.14,114.14,Battery_1,discharge,3.0,56.0,11.2
19,87.23,87.23,0.0,Battery_1,hold,0.0,56.0,11.2
20,127.0,127.0,127.0,Battery_1,discharge,3.0,47.7,9.53
21,123.18,123.18,123.18,Battery_1,discharge,3.0,39.3,7.87
22,127.0,127.0,127.0,Battery_1,discharge,3.0,31.0,6.2
23,92.35,92.35,0.0,Battery_1,hold,0.0,31.0,6.2
24,108.95,108.95,108.95,Battery_1,discharge,3.0,22.7,4.53
25,78.22,78.22,0.0,Battery_1,hold,0.0,22.7,4.53
26,70.8,70.8,70.8,Battery_1,charge,3.0,29.4,5.88
27,70.75,70.75,70.75,Battery_1,charge,3.0,36.2,7.23
28,70.75,70.75,70.75,Battery_1,charge,3.0,42.9,8.58
29,70.75,70.75,70.75,Battery_1,charge,3.0,49.7,9.93
30,93.45,93.45,0.0,Battery_1,hold,0.0,49.7,9.93
31,71.5,71.5,71.5,Battery_1,charge,3.0,56.4,11.28
32,71.75,71.75,71.75,Battery_1,charge,3.0,63.2,12.63
33,71.5,71.5,71.5,Battery_1,charge,3.0,69.9,13.98
34,71.0,71.0,71.0,Battery_1,charge,3.0,76.7,15.33
35,82.5,82.5,0.0,Battery_1,hold,0.0,76.7,15.33
36,84.1,84.1,0.0,Battery_1,hold,0.0,76.7,15.33
37,84.1,84.1,0.0,Battery_1,hold,0.0,76.7,15.33
38,100.48,100.48,100.48,Battery_1,discharge,3.0,68.3,13.67
39,102.0,102.0,102.0,Battery_1,discharge,3.0,60.0,12.0
40,106.42,106.42,106.42,Battery_1,discharge,3.0,51.7,10.33
41,117.1,117.1,117.1,Battery_1,discharge,3.0,43.3,8.67
42,160.0,160.0,160.0,Battery_1,discharge,3.0,35.0,7.0
43,96.52,96.52,96.52,Battery_1,discharge,3.0,26.7,5.33
44,88.5,88.5,0.0,Battery_1,hold,0.0,26.7,5.33
45,82.5,82.5,0.0,Battery_1,hold,0.0,26.7,5.33
46,80.65,80.65,0.0,Battery_1,hold,0.0,26.7,5.33
47,125.2,125.2,125.2,Battery_1,discharge,3.0,18.3,3.67
48,128.51,128.51,128.51,Battery_1,discharge,3.0,10.0,2.0
1,57.92,57.92,57.92,Battery_2,charge,7.5,13.4,13.38
2,61.63,61.63,61.63,Battery_2,charge,7.5,16.8,16.75
3,57.0,57.0,57.0,Battery_2,charge,7.5,20.1,20.12
4,44.91,44.91,44.91,Battery_2,charge,7.5,23.5,23.5
5,49.17,49.17,49.17,Battery_2,charge,7.5,26.9,26.88
6,95.26,95.26,95.26,Battery_2,discharge,2.92,25.2,25.25
7,65.42,65.42,65.42,Battery_2,charge,7.5,28.6,28.62
8,69.2,69.2,69.2,Battery_2,charge,7.5,32.0,32.0
9,95.0,95.0,0.0,Battery_2,hold,0.0,32.0,32.0
10,61.57,61.57,61.57,Battery_2,charge,7.5,35.4,35.38
11,59.2,59.2,59.2,Battery_2,charge,7.5,38.8,38.75
12,76.59,76.59,76.59,Battery_2,charge,7.5,42.1,42.12
13,68.2,68.2,68.2,Battery_2,charge,7.5,45.5,45.5
14,80.61,80.61,0.0,Battery_2,hold,0.0,45.5,45.5
15,80.5,80.5,0.0,Battery_2,hold,0.0,45.5,45.5
16,129.0,129.0,129.0,Battery_2,discharge,7.5,41.3,41.33
17,115.54,115.54,115.54,Battery_2,discharge,7.5,37.2,37.17
18,114.14,114.14,114.14,Battery_2,discharge,7.5,33.0,33.0
19,87.23,87.23,0.0,Battery_2,hold,0.0,33.0,33.0
20,127.0,127.0,127.0,Battery_2,discharge,7.5,28.8,28.83
21,123.18,123.18,123.18,Battery_2,discharge,7.5,24.7,24.67
22,127.0,127.0,127.0,Battery_2,discharge,7.5,20.5,20.5
23,92.35,92.35,0.0,Battery_2,hold,0.0,20.5,20.5
24,108.95,108.95,108.95,Battery_2,discharge,7.5,16.3,16.33
25,78.22,78.22,0.0,Battery_2,hold,0.0,16.3,16.33
26,70.8,70.8,70.8,Battery_2,charge,7.5,19.7,19.71
27,70.75,70.75,70.75,Battery_2,charge,7.5,23.1,23.08
28,70.75,70.75,70.75,Battery_2,charge,7.5,26.5,26.46
29,70.75,70.75,70.75,Battery_2,charge,7.5,29.8,29.83
30,93.45,93.45,0.0,Battery_2,hold,0.0,29.8,29.83
31,71.5,71.5,71.5,Battery_2,charge,7.5,33.2,33.21
32,71.75,71.75,71.75,Battery_2,charge,7.5,36.6,36.58
33,71.5,71.5,71.5,Battery_2,charge,7.5,40.0,39.96
34,71.0,71.0,71.0,Battery_2,charge,7.5,43.3,43.33
35,82.5,82.5,0.0,Battery_2,hold,0.0,43.3,43.33
36,84.1,84.1,0.0,Battery_2,hold,0.0,43.3,43.33
37,84.1,84.1,0.0,Battery_2,hold,0.0,43.3,43.33
38,100.48,100.48,100.48,Battery_2,discharge,7.5,39.2,39.17
39,102.0,102.0,102.0,Battery_2,discharge,7.5,35.0,35.0
40,106.42,106.42,106.42,Battery_2,discharge,7.5,30.8,30.83
41,117.1,117.1,117.1,Battery_2,discharge,7.5,26.7,26.67
