settlement_period,ssp,sbp,price_used,asset,action,power_mw,soc,energy_mwh
1,84.98,84.98,84.98,Battery_1,charge,3.0,16.8,3.35
2,78.35,78.35,78.35,Battery_1,charge,3.0,23.5,4.7
3,102.5,102.5,0.0,Battery_1,hold,0.0,23.5,4.7
4,98.6,98.6,0.0,Battery_1,hold,0.0,23.5,4.7
5,101.28,101.28,0.0,Battery_1,hold,0.0,23.5,4.7
6,100.52,100.52,0.0,Battery_1,hold,0.0,23.5,4.7
7,76.46,76.46,76.46,Battery_1,charge,3.0,30.2,6.05
8,70.83,70.83,70.83,Battery_1,charge,3.0,37.0,7.4
9,97.77,97.77,0.0,Battery_1,hold,0.0,37.0,7.4
10,98.77,98.77,0.0,Battery_1,hold,0.0,37.0,7.4
11,94.3,94.3,94.3,Battery_1,charge,3.0,43.8,8.75
12,129.0,129.0,129.0,Battery_1,discharge,3.0,35.4,7.08
13,132.0,132.0,132.0,Battery_1,discharge,3.0,27.1,5.42
14,132.0,132.0,132.0,Battery_1,discharge,3.0,18.8,3.75
15,119.0,119.0,119.0,Battery_1,discharge,3.0,10.4,2.08
16,119.0,119.0,119.0,Battery_1,discharge,0.15,10.0,2.0
17,24.18,24.18,24.18,Battery_1,charge,3.0,16.8,3.35
18,1.65,1.65,1.65,Battery_1,charge,3.0,23.5,4.7
19,119.0,119.0,119.0,Battery_1,discharge,3.0,15.2,3.03
20,13.71,13.71,13.71,Battery_1,charge,3.0,21.9,4.38
21,4.53,4.53,4.53,Battery_1,charge,3.0,28.7,5.73
22,47.65,47.65,47.65,Battery_1,charge,3.0,35.4,7.08
23,4.99,4.99,4.99,Battery_1,charge,3.0,42.2,8.43
24,5.9,5.9,5.9,Battery_1,charge,3.0,48.9,9.78
25,26.66,26.66,26.66,Battery_1,charge,3.0,55.7,11.13
26,24.12,24.12,24.12,Battery_1,charge,3.0,62.4,12.48
27,-1.03,-1.03,-1.03,Battery_1,charge,3.0,69.2,13.83
28,0.0,0.0,0.0,Battery_1,charge,3.0,75.9,15.18
29,19.47,19.47,19.47,Battery_1,charge,3.0,82.7,16.53
30,48.5,48.5,48.5,Battery_1,charge,3.0,89.4,17.88
31,59.75,59.75,59.75,Battery_1,charge,0.26,90.0,18.0
32,115.7,115.7,115.7,Battery_1,discharge,3.0,81.7,16.33
33,118.0,118.0,118.0,Battery_1,discharge,3.0,73.3,14.67
34,108.08,108.08,108.08,Battery_1,discharge,3.0,65.0,13.0
35,120.51,120.51,120.51,Battery_1,discharge,3.0,56.7,11.33
36,118.36,118.36,118.36,Battery_1,discharge,3.0,48.3,9.67
37,81.01,81.01,81.01,Battery_1,charge,3.0,55.1,11.02
38,138.0,138.0,138.0,Battery_1,discharge,3.0,46.8,9.35
39,107.35,107.35,107.35,Battery_1,discharge,1.23,43.3,8.67
40,129.0,129.0,129.0,Battery_1,discharge,3.0,35.0,7.0
41,140.0,140.0,140.0,Battery_1,discharge,3.0,26.7,5.33
42,137.53,137.53,137.53,Battery_1,discharge,3.0,18.3,3.67
43,121.0,121.0,121.0,Battery_1,discharge,3.0,10.0,2.0
44,90.0,90.0,0.0,Battery_1,hold,0.0,10.0,2.0
45,70.57,70.57,0.0,Battery_1,hold,0.0,10.0,2.0
46,48.5,48.5,48.5,Battery_1,charge,0.7,11.6,2.32
