settlement_period,price,asset,action,power_mw,soc,reserved_capacity_pct,market_price,revenue,cost,net_pnl
1,60.74,Battery_1,charge,5.0,61.3,50.0,60.74,0.0,151.85,-151.85
1,60.74,Battery_2,charge,17.5,57.9,30.0,60.74,0.0,531.475,-531.475
1,60.74,Battery_3,charge,35.0,57.9,30.0,60.74,0.0,1062.95,-1062.95
1,60.74,Battery_4,charge,14.0,57.9,30.0,60.74,0.0,425.18,-425.18
1,60.74,Battery_5,charge,28.0,57.9,30.0,60.74,0.0,850.36,-850.36
2,53.86,Battery_1,charge,5.0,72.5,50.0,53.86,0.0,134.65,-134.65
2,53.86,Battery_2,charge,17.5,65.8,30.0,53.86,0.0,471.275,-471.275
2,53.86,Battery_3,charge,35.0,65.8,30.0,53.86,0.0,942.55,-942.55
2,53.86,Battery_4,charge,14.0,65.8,30.0,53.86,0.0,377.02,-377.02
2,53.86,Battery_5,charge,28.0,65.8,30.0,53.86,0.0,754.04,-754.04
3,81.76,Battery_1,charge,3.89,81.2,50.0,81.76,0.0,159.0232,-159.0232
3,81.76,Battery_2,charge,17.5,73.6,30.0,81.76,0.0,715.4000000000001,-715.4000000000001
3,81.76,Battery_3,charge,35.0,73.6,30.0,81.76,0.0,1430.8000000000002,-1430.8000000000002
3,81.76,Battery_4,charge,14.0,73.6,30.0,81.76,0.0,572.32,-572.32
3,81.76,Battery_5,charge,28.0,73.6,30.0,81.76,0.0,1144.64,-1144.64
4,82.24,Battery_1,hold,0.0,81.2,50.0,82.24,0.0,0.0,0.0
4,82.24,Battery_2,hold,0.0,73.6,30.0,82.24,0.0,0.0,0.0
4,82.24,Battery_3,hold,0.0,73.6,30.0,82.24,0.0,0.0,0.0
4,82.24,Battery_4,hold,0.0,73.6,30.0,82.24,0.0,0.0,0.0
4,82.24,Battery_5,hold,0.0,73.6,30.0,82.24,0.0,0.0,0.0
5,84.58,Battery_1,hold,0.0,81.2,50.0,84.58,0.0,0.0,0.0
5,84.58,Battery_2,hold,0.0,73.6,30.0,84.58,0.0,0.0,0.0
5,84.58,Battery_3,hold,0.0,73.6,30.0,84.58,0.0,0.0,0.0
5,84.58,Battery_4,hold,0.0,73.6,30.0,84.58,0.0,0.0,0.0
5,84.58,Battery_5,hold,0.0,73.6,30.0,84.58,0.0,0.0,0.0
6,83.07,Battery_1,hold,0.0,81.2,50.0,83.07,0.0,0.0,0.0
6,83.07,Battery_2,hold,0.0,73.6,30.0,83.07,0.0,0.0,0.0
6,83.07,Battery_3,hold,0.0,73.6,30.0,83.07,0.0,0.0,0.0
6,83.07,Battery_4,hold,0.0,73.6,30.0,83.07,0.0,0.0,0.0
6,83.07,Battery_5,hold,0.0,73.6,30.0,83.07,0.0,0.0,0.0
7,81.78,Battery_1,charge,1.94,85.6,50.0,81.78,0.0,79.3266,-79.3266
7,81.78,Battery_2,charge,17.5,81.5,30.0,81.78,0.0,715.575,-715.575
7,81.78,Battery_3,charge,35.0,81.5,30.0,81.78,0.0,1431.15,-1431.15
7,81.78,Battery_4,charge,14.0,81.5,30.0,81.78,0.0,572.46,-572.46
7,81.78,Battery_5,charge,28.0,81.5,30.0,81.78,0.0,1144.92,-1144.92
