settlement_period,ssp,sbp,price_used,asset,action,power_mw,soc,energy_mwh
1,106.42,106.42,0.0,Battery_1,hold,0.0,10.0,2.0
2,104.08,104.08,0.0,Battery_1,hold,0.0,10.0,2.0
3,101.8,101.8,101.8,Battery_1,charge,3.0,16.8,3.35
4,103.18,103.18,103.18,Battery_1,charge,3.0,23.5,4.7
5,103.33,103.33,103.33,Battery_1,charge,0.52,24.7,4.93
6,100.63,100.63,100.63,Battery_1,charge,3.0,31.4,6.28
7,102.56,102.56,102.56,Battery_1,charge,3.0,38.2,7.63
8,100.65,100.65,100.65,Battery_1,charge,3.0,44.9,8.98
9,110.5,110.5,0.0,Battery_1,hold,0.0,44.9,8.98
10,108.02,108.02,0.0,Battery_1,hold,0.0,44.9,8.98
11,128.4,128.4,128.4,Battery_1,discharge,3.0,36.6,7.32
12,124.72,124.72,0.0,Battery_1,hold,0.0,36.6,7.32
13,114.31,114.31,0.0,Battery_1,hold,0.0,36.6,7.32
14,119.82,119.82,0.0,Battery_1,hold,0.0,36.6,7.32
15,100.0,100.0,100.0,Battery_1,charge,3.0,43.3,8.67
16,119.88,119.88,0.0,Battery_1,hold,0.0,43.3,8.67
17,220.0,220.0,220.0,Battery_1,discharge,3.0,35.0,7.0
18,179.0,179.0,179.0,Battery_1,discharge,3.0,26.7,5.33
19,133.58,133.58,133.58,Battery_1,discharge,3.0,18.3,3.67
20,133.0,133.0,133.0,Battery_1,discharge,3.0,10.0,2.0
21,80.16,80.16,80.16,Battery_1,charge,3.0,16.8,3.35
22,71.17,71.17,71.17,Battery_1,charge,3.0,23.5,4.7
23,72.28,72.28,72.28,Battery_1,charge,3.0,30.2,6.05
24,52.71,52.71,52.71,Battery_1,charge,3.0,37.0,7.4
25,128.0,128.0,128.0,Battery_1,discharge,3.0,28.7,5.73
26,39.96,39.96,39.96,Battery_1,charge,3.0,35.4,7.08
27,116.77,116.77,116.77,Battery_1,discharge,3.0,27.1,5.42
28,48.0,48.0,48.0,Battery_1,charge,3.0,33.8,6.77
29,61.98,61.98,61.98,Battery_1,charge,3.0,40.6,8.12
