settlement_period,ssp,sbp,price_used,asset,action,power_mw,soc,energy_mwh,ssp_settle,sbp_settle
1,182.0,182.0,0.0,Battery_1,hold,0.0,10.0,2.0,177.1,182.9
2,182.0,182.0,0.0,Battery_1,hold,0.0,10.0,2.0,177.1,182.9
3,126.43,126.43,0.0,Battery_1,hold,0.0,10.0,2.0,121.53,127.33000000000001
4,129.66,129.66,0.0,Battery_1,hold,0.0,10.0,2.0,124.75999999999999,130.56
5,131.9,131.9,131.9,Battery_1,charge,3.0,16.8,3.35,127.0,132.8
6,181.45,181.45,0.0,Battery_1,hold,0.0,16.8,3.35,176.54999999999998,182.35
7,167.49,167.49,167.49,Battery_1,charge,3.0,23.5,4.7,162.59,168.39000000000001
8,174.25,174.25,0.0,Battery_1,hold,0.0,23.5,4.7,169.35,175.15
9,124.69,124.69,124.69,Battery_1,charge,1.41,26.7,5.33,119.78999999999999,125.59
10,123.45,123.45,0.0,Battery_1,hold,0.0,26.7,5.33,118.55,124.35000000000001
11,121.1,121.1,0.0,Battery_1,hold,0.0,26.7,5.33,116.19999999999999,122.0
12,121.1,121.1,0.0,Battery_1,hold,0.0,26.7,5.33,116.19999999999999,122.0
13,211.9,211.9,0.0,Battery_1,hold,0.0,26.7,5.33,207.0,212.8
14,132.67,132.67,0.0,Battery_1,hold,0.0,26.7,5.33,127.76999999999998,133.57
15,134.23,134.23,134.23,Battery_1,discharge,3.0,18.3,3.67,129.32999999999998,135.13
16,134.74,134.74,134.74,Battery_1,discharge,3.0,10.0,2.0,129.84,135.64000000000001
17,170.12,170.12,0.0,Battery_1,hold,0.0,10.0,2.0,165.22,171.02
18,135.0,135.0,0.0,Battery_1,hold,0.0,10.0,2.0,130.1,135.9
19,115.01,115.01,0.0,Battery_1,hold,0.0,10.0,2.0,110.11,115.91000000000001
20,127.05,127.05,127.05,Battery_1,charge,3.0,16.8,3.35,122.14999999999999,127.95
21,103.67,103.67,103.67,Battery_1,charge,3.0,23.5,4.7,98.77,104.57000000000001
22,118.5,118.5,118.5,Battery_1,charge,3.0,30.2,6.05,113.6,119.4
23,155.6,155.6,0.0,Battery_1,hold,0.0,30.2,6.05,150.7,156.5
24,130.46,130.46,130.46,Battery_1,charge,3.0,37.0,7.4,125.56,131.36
25,128.4,128.4,128.4,Battery_1,charge,3.0,43.8,8.75,123.5,129.3
