settlementDate,settlementPeriod,startTime,publishTime,nationalDemand,transmissionSystemDemand
2025-12-26,1,2025-12-26T00:00:00Z,2025-12-25T11:47:00Z,22500,23363
2025-12-26,2,2025-12-26T00:30:00Z,2025-12-25T11:47:00Z,22970,23833
2025-12-26,3,2025-12-26T01:00:00Z,2025-12-25T11:47:00Z,22434,23297
2025-12-26,4,2025-12-26T01:30:00Z,2025-12-25T11:47:00Z,22051,22914
2025-12-26,5,2025-12-26T02:00:00Z,2025-12-25T11:47:00Z,21668,22687
2025-12-26,6,2025-12-26T02:30:00Z,2025-12-25T11:47:00Z,21274,22293
2025-12-26,7,2025-12-26T03:00:00Z,2025-12-25T11:47:00Z,20709,21726
2025-12-26,8,2025-12-26T03:30:00Z,2025-12-25T11:47:00Z,20405,21421
2025-12-26,9,2025-12-26T04:00:00Z,2025-12-25T11:47:00Z,20050,21065
2025-12-26,10,2025-12-26T04:30:00Z,2025-12-25T11:47:00Z,19990,21005
2025-12-26,11,2025-12-26T05:00:00Z,2025-12-25T11:47:00Z,20210,21224
2025-12-26,12,2025-12-26T05:30:00Z,2025-12-25T11:47:00Z,20567,21581
2025-12-26,13,2025-12-26T06:00:00Z,2025-12-25T11:47:00Z,21413,22278
2025-12-26,14,2025-12-26T06:30:00Z,2025-12-25T11:47:00Z,21858,22721
2025-12-26,15,2025-12-26T07:00:00Z,2025-12-25T11:47:00Z,22808,23408
2025-12-26,16,2025-12-26T07:30:00Z,2025-12-25T11:47:00Z,23220,23820
2025-12-26,17,2025-12-26T08:00:00Z,2025-12-25T11:47:00Z,24263,24863
2025-12-26,18,2025-12-26T08:30:00Z,2025-12-25T11:47:00Z,25423,26023
2025-12-26,19,2025-12-26T09:00:00Z,2025-12-25T11:47:00Z,26604,27204
2025-12-26,20,2025-12-26T09:30:00Z,2025-12-25T11:47:00Z,27053,27653
2025-12-26,21,2025-12-26T10:00:00Z,2025-12-25T11:47:00Z,27242,27842
2025-12-26,22,2025-12-26T10:30:00Z,2025-12-25T11:47:00Z,27381,27981
2025-12-26,23,2025-12-26T11:00:00Z,2025-12-25T11:47:00Z,27450,28050
2025-12-26,24,2025-12-26T11:30:00Z,2025-12-25T11:47:00Z,27451,28051
2025-12-26,25,2025-12-26T12:00:00Z,2025-12-25T11:47:00Z,27762,28362
2025-12-26,26,2025-12-26T12:30:00Z,2025-12-25T11:47:00Z,28140,28740
2025-12-26,27,2025-12-26T13:00:00Z,2025-12-25T11:47:00Z,27630,28230
2025-12-26,28,2025-12-26T13:30:00Z,2025-12-25T11:47:00Z,27721,28321
2025-12-26,29,2025-12-26T14:00:00Z,2025-12-25T11:47:00Z,27978,28578
2025-12-26,30,2025-12-26T14:30:00Z,2025-12-25T11:47:00Z,28141,28741
2025-12-26,31,2025-12-26T15:00:00Z,2025-12-25T11:47:00Z,29094,29694
2025-12-26,32,2025-12-26T15:30:00Z,2025-12-25T11:47:00Z,29427,30027
2025-12-26,33,2025-12-26T16:00:00Z,2025-12-25T11:47:00Z,30476,31076
2025-12-26,34,2025-12-26T16:30:00Z,2025-12-25T11:47:00Z,30925,31525
2025-12-26,35,2025-12-26T17:00:00Z,2025-12-25T11:47:00Z,31320,31920
2025-12-26,36,2025-12-26T17:30:00Z,2025-12-25T11:47:00Z,31123,31723
2025-12-26,37,2025-12-26T18:00:00Z,2025-12-25T11:47:00Z,30919,31519
2025-12-26,38,2025-12-26T18:30:00Z,2025-12-25T11:47:00Z,30647,31247
2025-12-26,39,2025-12-26T19:00:00Z,2025-12-25T11:47:00Z,30445,31045
2025-12-26,40,2025-12-26T19:30:00Z,2025-12-25T11:47:00Z,30002,30602
2025-12-26,41,2025-12-26T20:00:00Z,2025-12-25T11:47:00Z,29557,30157
2025-12-26,42,2025-12-26T20:30:00Z,2025-12-25T11:47:00Z,29160,29760
2025-12-26,43,2025-12-26T21:00:00Z,2025-12-25T11:47:00Z,28616,29216
2025-12-26,44,2025-12-26T21:30:00Z,2025-12-25T11:47:00Z,27906,28506
2025-12-26,45,2025-12-26T22:00:00Z,2025-12-25T11:47:00Z,26880,27480
2025-12-26,46,2025-12-26T22:30:00Z,2025-12-25T11:47:00Z,26374,26974
2025-12-26,47,2025-12-26T23:00:00Z,2025-12-25T11:47:00Z,25163,26011
2025-12-26,48,2025-12-26T23:30:00Z,2025-12-25T11:47:00Z,24520,25367
2025-12-27,1,2025-12-27T00:00:00Z,2025-12-25T11:47:00Z,23650,24497
2025-12-27,2,2025-12-27T00:30:00Z,2025-12-25T11:47:00Z,24040,24887
2025-12-27,3,2025-12-27T01:00:00Z,2025-12-25T11:47:00Z,23716,24563
2025-12-27,4,2025-12-27T01:30:00Z,2025-12-25T11:47:00Z,22946,23792
2025-12-27,5,2025-12-27T02:00:00Z,2025-12-25T11:47:00Z,22326,23172
2025-12-27,6,2025-12-27T02:30:00Z,2025-12-25T11:47:00Z,21858,22685
2025-12-27,7,2025-12-27T03:00:00Z,2025-12-25T11:47:00Z,21319,22192
2025-12-27,8,2025-12-27T03:30:00Z,2025-12-25T11:47:00Z,20637,21514
2025-12-27,9,2025-12-27T04:00:00Z,2025-12-25T11:47:00Z,20465,21342
2025-12-27,10,2025-12-27T04:30:00Z,2025-12-25T11:47:00Z,19830,20706
