settlement_period,price,asset,action,power_mw,soc,energy_mwh
1,89.76,Battery_1,discharge,4.0,38.9,7.78
2,87.16,Battery_1,discharge,4.0,27.8,5.56
3,20.58,Battery_1,discharge,4.0,16.7,3.33
4,17.14,Battery_1,discharge,2.4,10.0,2.0
5,11.48,Battery_1,hold,0.0,10.0,2.0
6,5.78,Battery_1,hold,0.0,10.0,2.0
7,-1.93,Battery_1,charge,4.0,18.0,3.6
8,-3.71,Battery_1,charge,4.0,27.0,5.4
9,-5.34,Battery_1,charge,4.0,36.0,7.2
10,-8.21,Battery_1,charge,4.0,45.0,9.0
11,-7.59,Battery_1,charge,4.0,54.0,10.8
12,-9.31,Battery_1,charge,4.0,63.0,12.6
13,-11.82,Battery_1,charge,4.0,72.0,14.4
14,-10.54,Battery_1,charge,4.0,81.0,16.2
15,-6.54,Battery_1,charge,4.0,90.0,18.0
16,2.05,Battery_1,hold,0.0,90.0,18.0
17,2.39,Battery_1,hold,0.0,90.0,18.0
18,10.22,Battery_1,discharge,4.0,78.9,15.78
19,0.33,Battery_1,charge,4.0,87.9,17.58
20,4.49,Battery_1,charge,0.94,90.0,18.0
21,9.28,Battery_1,hold,0.0,90.0,18.0
22,15.1,Battery_1,hold,0.0,90.0,18.0
23,37.21,Battery_1,hold,0.0,90.0,18.0
24,45.87,Battery_1,hold,0.0,90.0,18.0
25,55.51,Battery_1,hold,0.0,90.0,18.0
26,64.7,Battery_1,hold,0.0,90.0,18.0
27,65.23,Battery_1,hold,0.0,90.0,18.0
28,65.28,Battery_1,hold,0.0,90.0,18.0
29,67.94,Battery_1,hold,0.0,90.0,18.0
30,66.93,Battery_1,hold,0.0,90.0,18.0
31,72.2,Battery_1,hold,0.0,90.0,18.0
32,71.8,Battery_1,hold,0.0,90.0,18.0
33,68.41,Battery_1,hold,0.0,90.0,18.0
34,73.41,Battery_1,hold,0.0,90.0,18.0
35,92.93,Battery_1,hold,0.0,90.0,18.0
36,103.03,Battery_1,hold,0.0,90.0,18.0
37,105.86,Battery_1,discharge,0.8,87.8,17.56
38,108.26,Battery_1,discharge,4.0,76.7,15.33
39,105.16,Battery_1,hold,0.0,76.7,15.33
40,114.75,Battery_1,discharge,4.0,65.6,13.11
41,111.53,Battery_1,discharge,4.0,54.4,10.89
42,114.43,Battery_1,discharge,4.0,43.3,8.67
43,110.84,Battery_1,discharge,4.0,32.2,6.44
44,109.16,Battery_1,discharge,4.0,21.1,4.22
45,107.58,Battery_1,discharge,4.0,10.0,2.0
46,101.93,Battery_1,hold,0.0,10.0,2.0
47,95.3,Battery_1,hold,0.0,10.0,2.0
48,94.96,Battery_1,hold,0.0,10.0,2.0
1,89.76,Battery_2,discharge,12.5,43.1,43.06
2,87.16,Battery_2,discharge,12.5,36.1,36.11
3,20.58,Battery_2,discharge,12.5,29.2,29.17
4,17.14,Battery_2,discharge,12.5,22.2,22.22
5,11.48,Battery_2,discharge,12.5,15.3,15.28
6,5.78,Battery_2,charge,12.5,20.9,20.9
7,-1.93,Battery_2,charge,12.5,26.5,26.53
8,-3.71,Battery_2,charge,12.5,32.2,32.15
9,-5.34,Battery_2,charge,12.5,37.8,37.78
10,-8.21,Battery_2,charge,12.5,43.4,43.4
11,-7.59,Battery_2,charge,12.5,49.0,49.03
12,-9.31,Battery_2,charge,12.5,54.7,54.65
13,-11.82,Battery_2,charge,12.5,60.3,60.28
14,-10.54,Battery_2,charge,12.5,65.9,65.9
15,-6.54,Battery_2,charge,12.5,71.5,71.53
16,2.05,Battery_2,charge,12.5,77.2,77.15
17,2.39,Battery_2,charge,12.5,82.8,82.78
18,10.22,Battery_2,discharge,7.25,78.8,78.75
19,0.33,Battery_2,charge,12.5,84.4,84.38
20,4.49,Battery_2,charge,12.5,90.0,90.0
21,9.28,Battery_2,hold,0.0,90.0,90.0
22,15.1,Battery_2,hold,0.0,90.0,90.0
23,37.21,Battery_2,hold,0.0,90.0,90.0
24,45.87,Battery_2,hold,0.0,90.0,90.0
25,55.51,Battery_2,hold,0.0,90.0,90.0
26,64.7,Battery_2,hold,0.0,90.0,90.0
27,65.23,Battery_2,hold,0.0,90.0,90.0
28,65.28,Battery_2,hold,0.0,90.0,90.0
29,67.94,Battery_2,hold,0.0,90.0,90.0
30,66.93,Battery_2,hold,0.0,90.0,90.0
31,72.2,Battery_2,hold,0.0,90.0,90.0
32,71.8,Battery_2,hold,0.0,90.0,90.0
33,68.41,Battery_2,hold,0.0,90.0,90.0
34,73.41,Battery_2,hold,0.0,90.0,90.0
35,92.93,Battery_2,hold,0.0,90.0,90.0
36,103.03,Battery_2,discharge,12.5,83.1,83.06
37,105.86,Battery_2,discharge,12.5,76.1,76.11
38,108.26,Battery_2,discharge,12.5,69.2,69.17
39,105.16,Battery_2,discharge,12.5,62.2,62.22
40,114.75,Battery_2,discharge,12.5,55.3,55.28
41,111.53,Battery_2,discharge,12.5,48.3,48.33
42,114.43,Battery_2,discharge,12.5,41.4,41.39
43,110.84,Battery_2,discharge,12.5,34.4,34.44
44,109.16,Battery_2,discharge,12.5,27.5,27.5
45,107.58,Battery_2,discharge,12.5,20.6,20.56
46,101.93,Battery_2,discharge,12.5,13.6,13.61
47,95.3,Battery_2,discharge,6.5,10.0,10.0
48,94.96,Battery_2,hold,0.0,10.0,10.0
1,89.76,Battery_3,discharge,25.0,43.1,86.11
2,87.16,Battery_3,discharge,25.0,36.1,72.22
3,20.58,Battery_3,discharge,25.0,29.2,58.33
4,17.14,Battery_3,discharge,25.0,22.2,44.44
5,11.48,Battery_3,discharge,25.0,15.3,30.56
6,5.78,Battery_3,charge,25.0,20.9,41.81
7,-1.93,Battery_3,charge,25.0,26.5,53.06
8,-3.71,Battery_3,charge,25.0,32.2,64.31
9,-5.34,Battery_3,charge,25.0,37.8,75.56
10,-8.21,Battery_3,charge,25.0,43.4,86.81
11,-7.59,Battery_3,charge,25.0,49.0,98.06
12,-9.31,Battery_3,charge,25.0,54.7,109.31
13,-11.82,Battery_3,charge,25.0,60.3,120.56
14,-10.54,Battery_3,charge,25.0,65.9,131.81
15,-6.54,Battery_3,charge,25.0,71.5,143.06
16,2.05,Battery_3,charge,25.0,77.2,154.31
17,2.39,Battery_3,charge,25.0,82.8,165.56
18,10.22,Battery_3,discharge,14.5,78.8,157.5
19,0.33,Battery_3,charge,25.0,84.4,168.75
20,4.49,Battery_3,charge,25.0,90.0,180.0
21,9.28,Battery_3,hold,0.0,90.0,180.0
22,15.1,Battery_3,hold,0.0,90.0,180.0
23,37.21,Battery_3,hold,0.0,90.0,180.0
24,45.87,Battery_3,hold,0.0,90.0,180.0
25,55.51,Battery_3,hold,0.0,90.0,180.0
26,64.7,Battery_3,hold,0.0,90.0,180.0
27,65.23,Battery_3,hold,0.0,90.0,180.0
28,65.28,Battery_3,hold,0.0,90.0,180.0
29,67.94,Battery_3,hold,0.0,90.0,180.0
30,66.93,Battery_3,hold,0.0,90.0,180.0
31,72.2,Battery_3,hold,0.0,90.0,180.0
32,71.8,Battery_3,hold,0.0,90.0,180.0
33,68.41,Battery_3,hold,0.0,90.0,180.0
34,73.41,Battery_3,hold,0.0,90.0,180.0
35,92.93,Battery_3,hold,0.0,90.0,180.0
36,103.03,Battery_3,discharge,25.0,83.1,166.11
37,105.86,Battery_3,discharge,25.0,76.1,152.22
38,108.26,Battery_3,discharge,25.0,69.2,138.33
39,105.16,Battery_3,discharge,25.0,62.2,124.44
40,114.75,Battery_3,discharge,25.0,55.3,110.56
41,111.53,Battery_3,discharge,25.0,48.3,96.67
42,114.43,Battery_3,discharge,25.0,41.4,82.78
43,110.84,Battery_3,discharge,25.0,34.4,68.89
44,109.16,Battery_3,discharge,25.0,27.5,55.0
45,107.58,Battery_3,discharge,25.0,20.6,41.11
46,101.93,Battery_3,discharge,25.0,13.6,27.22
47,95.3,Battery_3,discharge,13.0,10.0,20.0
48,94.96,Battery_3,hold,0.0,10.0,20.0
1,89.76,Battery_4,discharge,10.0,43.1,34.44
2,87.16,Battery_4,discharge,10.0,36.1,28.89
3,20.58,Battery_4,discharge,10.0,29.2,23.33
4,17.14,Battery_4,discharge,10.0,22.2,17.78
5,11.48,Battery_4,discharge,10.0,15.3,12.22
6,5.78,Battery_4,charge,10.0,20.9,16.72
7,-1.93,Battery_4,charge,10.0,26.5,21.22
8,-3.71,Battery_4,charge,10.0,32.2,25.72
9,-5.34,Battery_4,charge,10.0,37.8,30.22
10,-8.21,Battery_4,charge,10.0,43.4,34.72
11,-7.59,Battery_4,charge,10.0,49.0,39.22
12,-9.31,Battery_4,charge,10.0,54.7,43.72
13,-11.82,Battery_4,charge,10.0,60.3,48.22
14,-10.54,Battery_4,charge,10.0,65.9,52.72
15,-6.54,Battery_4,charge,10.0,71.5,57.22
16,2.05,Battery_4,charge,10.0,77.2,61.72
17,2.39,Battery_4,charge,10.0,82.8,66.22
18,10.22,Battery_4,discharge,5.8,78.8,63.0
19,0.33,Battery_4,charge,10.0,84.4,67.5
20,4.49,Battery_4,charge,10.0,90.0,72.0
21,9.28,Battery_4,hold,0.0,90.0,72.0
22,15.1,Battery_4,hold,0.0,90.0,72.0
23,37.21,Battery_4,hold,0.0,90.0,72.0
24,45.87,Battery_4,hold,0.0,90.0,72.0
25,55.51,Battery_4,hold,0.0,90.0,72.0
26,64.7,Battery_4,hold,0.0,90.0,72.0
27,65.23,Battery_4,hold,0.0,90.0,72.0
28,65.28,Battery_4,hold,0.0,90.0,72.0
29,67.94,Battery_4,hold,0.0,90.0,72.0
30,66.93,Battery_4,hold,0.0,90.0,72.0
31,72.2,Battery_4,hold,0.0,90.0,72.0
32,71.8,Battery_4,hold,0.0,90.0,72.0
33,68.41,Battery_4,hold,0.0,90.0,72.0
34,73.41,Battery_4,hold,0.0,90.0,72.0
35,92.93,Battery_4,hold,0.0,90.0,72.0
36,103.03,Battery_4,discharge,10.0,83.1,66.44
37,105.86,Battery_4,discharge,10.0,76.1,60.89
38,108.26,Battery_4,discharge,10.0,69.2,55.33
39,105.16,Battery_4,discharge,10.0,62.2,49.78
40,114.75,Battery_4,discharge,10.0,55.3,44.22
41,111.53,Battery_4,discharge,10.0,48.3,38.67
42,114.43,Battery_4,discharge,10.0,41.4,33.11
43,110.84,Battery_4,discharge,10.0,34.4,27.56
44,109.16,Battery_4,discharge,10.0,27.5,22.0
45,107.58,Battery_4,discharge,10.0,20.6,16.44
46,101.93,Battery_4,discharge,10.0,13.6,10.89
47,95.3,Battery_4,discharge,5.2,10.0,8.0
48,94.96,Battery_4,hold,0.0,10.0,8.0
1,89.76,Battery_5,discharge,20.0,43.1,68.89
2,87.16,Battery_5,discharge,20.0,36.1,57.78
3,20.58,Battery_5,discharge,20.0,29.2,46.67
4,17.14,Battery_5,discharge,20.0,22.2,35.56
5,11.48,Battery_5,discharge,20.0,15.3,24.44
6,5.78,Battery_5,charge,20.0,20.9,33.44
7,-1.93,Battery_5,charge,20.0,26.5,42.44
8,-3.71,Battery_5,charge,20.0,32.2,51.44
9,-5.34,Battery_5,charge,20.0,37.8,60.44
10,-8.21,Battery_5,charge,20.0,43.4,69.44
11,-7.59,Battery_5,charge,20.0,49.0,78.44
12,-9.31,Battery_5,charge,20.0,54.7,87.44
13,-11.82,Battery_5,charge,20.0,60.3,96.44
14,-10.54,Battery_5,charge,20.0,65.9,105.44
15,-6.54,Battery_5,charge,20.0,71.5,114.44
16,2.05,Battery_5,charge,20.0,77.2,123.44
17,2.39,Battery_5,charge,20.0,82.8,132.44
18,10.22,Battery_5,discharge,11.6,78.8,126.0
19,0.33,Battery_5,charge,20.0,84.4,135.0
20,4.49,Battery_5,charge,20.0,90.0,144.0
21,9.28,Battery_5,hold,0.0,90.0,144.0
22,15.1,Battery_5,hold,0.0,90.0,144.0
23,37.21,Battery_5,hold,0.0,90.0,144.0
24,45.87,Battery_5,hold,0.0,90.0,144.0
25,55.51,Battery_5,hold,0.0,90.0,144.0
26,64.7,Battery_5,hold,0.0,90.0,144.0
27,65.23,Battery_5,hold,0.0,90.0,144.0
28,65.28,Battery_5,hold,0.0,90.0,144.0
29,67.94,Battery_5,hold,0.0,90.0,144.0
30,66.93,Battery_5,hold,0.0,90.0,144.0
31,72.2,Battery_5,hold,0.0,90.0,144.0
32,71.8,Battery_5,hold,0.0,90.0,144.0
33,68.41,Battery_5,hold,0.0,90.0,144.0
34,73.41,Battery_5,hold,0.0,90.0,144.0
35,92.93,Battery_5,hold,0.0,90.0,144.0
36,103.03,Battery_5,discharge,20.0,83.1,132.89
37,105.86,Battery_5,discharge,20.0,76.1,121.78
38,108.26,Battery_5,discharge,20.0,69.2,110.67
39,105.16,Battery_5,discharge,20.0,62.2,99.56
40,114.75,Battery_5,discharge,20.0,55.3,88.44
41,111.53,Battery_5,discharge,20.0,48.3,77.33
42,114.43,Battery_5,discharge,20.0,41.4,66.22
43,110.84,Battery_5,discharge,20.0,34.4,55.11
44,109.16,Battery_5,discharge,20.0,27.5,44.0
45,107.58,Battery_5,discharge,20.0,20.6,32.89
46,101.93,Battery_5,discharge,20.0,13.6,21.78
47,95.3,Battery_5,discharge,10.4,10.0,16.0
48,94.96,Battery_5,hold,0.0,10.0,16.0
