settlementDate,settlementPeriod,startTime,createdDateTime,systemSellPrice,systemBuyPrice,bsadDefaulted,priceDerivationCode,reserveScarcityPrice,netImbalanceVolume,sellPriceAdjustment,buyPriceAdjustment,replacementPrice,replacementPriceReferenceVolume,totalAcceptedOfferVolume,totalAcceptedBidVolume,totalAdjustmentSellVolume,totalAdjustmentBuyVolume,totalSystemTaggedAcceptedOfferVolume,totalSystemTaggedAcceptedBidVolume,totalSystemTaggedAdjustmentSellVolume,totalSystemTaggedAdjustmentBuyVolume
2025-05-27,1,2025-05-26T23:00:00Z,2025-05-27T23:44:48Z,99.6,99.6,False,P,0.0,53.97752380952381,0.0,0.0,,,1276.942857142857,-572.5319444444444,-660.0,9.243,1275.942857142857,-572.5319444444444,-660.0,9.243
2025-05-27,2,2025-05-26T23:30:00Z,2025-05-28T00:14:28Z,17.87,17.87,False,N,0.0,-27.852628968253967,0.0,0.0,,,1180.580357142857,-548.75,-660.0,0.0,1180.580357142857,-548.75,-659.0,
2025-05-27,3,2025-05-27T00:00:00Z,2025-05-28T00:44:36Z,3.89,3.89,False,N,0.0,-41.652142857142856,0.0,0.0,,,1167.3083333333334,-533.9188095238095,-675.0,0.0,1167.3083333333334,-533.9188095238095,-674.0,
2025-05-27,4,2025-05-27T00:30:00Z,2025-05-28T01:14:34Z,99.6,99.6,False,P,0.0,113.80233683150183,0.0,0.0,,,1309.6582495299144,-521.0392460317461,-675.0,0.0,1308.6582495299144,-521.0392460317461,-675.0,
2025-05-27,5,2025-05-27T01:00:00Z,2025-05-28T01:44:44Z,99.6,99.6,False,P,0.0,192.8522223611111,0.0,0.0,,,1249.4653175,-556.7714284722222,-500.0,0.0,1248.4653175,-556.7714284722222,-500.0,
2025-05-27,6,2025-05-27T01:30:00Z,2025-05-28T02:14:49Z,37.252452203437834,37.252452203437834,False,P,0.0,4.241865555555556,0.0,0.0,,,1245.045675079365,-740.7645620238095,-500.0,0.0,1244.045675079365,-740.7645620238095,-500.0,
2025-05-27,7,2025-05-27T02:00:00Z,2025-05-28T02:44:40Z,0.9500571428571428,0.9500571428571428,False,N,0.0,-331.15694444444443,0.0,0.0,,,1117.725,-998.9611111111111,-450.0,0.0,1117.725,-998.9611111111111,-449.0,
2025-05-27,8,2025-05-27T02:30:00Z,2025-05-28T03:14:27Z,-0.35,-0.35,False,N,0.0,-368.36741458333336,0.0,0.0,,,1132.625638888889,-1051.1273083333333,-450.0,0.0,1132.625638888889,-1051.1273083333333,-449.0,
2025-05-27,9,2025-05-27T03:00:00Z,2025-05-28T03:44:46Z,-10.0,-10.0,False,N,0.0,-405.39656388888886,0.0,0.0,,,1142.4333340277778,-1247.5916666666667,-300.0,0.0,1142.4333340277778,-1246.5916666666667,-300.0,
2025-05-27,10,2025-05-27T03:30:00Z,2025-05-28T04:14:25Z,-11.32,-11.32,False,N,0.0,-494.4645992261905,0.0,0.0,,,1121.9770674404763,-1316.3865945833334,-300.0,0.0,1121.9770674404763,-1315.3865945833334,-300.0,
2025-05-27,11,2025-05-27T04:00:00Z,2025-05-28T04:44:39Z,-12.94,-12.94,False,N,0.0,-646.3222173015873,0.0,0.0,,,1260.577116031746,-1193.0314819444445,-750.0,36.034,1260.577116031746,-1193.0314819444445,-749.0,36.034
2025-05-27,12,2025-05-27T04:30:00Z,2025-05-28T05:14:46Z,-16.16,-16.16,False,N,0.0,-817.0397400396826,0.0,0.0,,,1175.2012599603174,-1294.9009417777777,-750.0,52.434,1175.2012599603174,-1293.9009417777777,-750.0,52.434
2025-05-27,13,2025-05-27T05:00:00Z,2025-05-28T05:44:37Z,-1.87,-1.87,False,N,0.0,-718.8214285236539,0.0,0.0,-1.87,1.0,1197.9202381029208,-1298.666666618892,-650.0,31.75,1197.9202381029208,-1297.8526719337428,-649.8139946851492,31.75
2025-05-27,14,2025-05-27T05:30:00Z,2025-05-28T06:14:29Z,6.510133333333333,6.510133333333333,False,N,0.0,-357.88552176984126,0.0,0.0,,,1496.1936448807824,-1274.4811418115094,-650.0,70.45,1496.1936448807824,-1274.4811418115094,-649.0,70.45
2025-05-27,15,2025-05-27T06:00:00Z,2025-05-28T06:44:31Z,10.0,10.0,False,N,0.0,-159.69145229098302,0.0,0.0,10.0,1.0,1261.6541667880517,-1430.474999929872,0.0,8.577,1261.6541667880517,-1429.474999929872,,8.577
2025-05-27,16,2025-05-27T06:30:00Z,2025-05-28T07:14:33Z,22.01,22.01,False,N,0.0,-110.15879155042016,0.0,0.0,22.01,1.0,1305.863305049573,-1416.1466382170868,0.0,0.0,1305.863305049573,-1415.1466382170868,,
2025-05-27,17,2025-05-27T07:00:00Z,2025-05-28T13:49:43Z,45.01,45.01,False,N,0.0,-197.2166303082504,0.0,0.0,45.01,0.0,1522.2000363370014,-1394.2502729833943,-325.0,0.0,1522.2000363370014,-1394.0684509267185,-324.18182205667586,
2025-05-27,18,2025-05-27T07:30:00Z,2025-05-28T13:49:48Z,64.03,64.03,False,N,0.0,-273.8917765993073,0.0,0.0,64.03,0.0,1457.5667858931176,-1421.927657803011,-325.0,15.368,1457.5667858931176,-1421.9265929055166,-324.00106489749453,15.368
2025-05-27,19,2025-05-27T08:00:00Z,2025-05-28T08:44:48Z,72.49,72.49,False,N,0.0,-288.24822222222224,0.0,0.0,72.49,0.0,1560.2527777777777,-1528.1083333333333,-325.0,4.649,1560.2527777777777,-1527.8455451654195,-324.2627881679139,4.649
2025-05-27,20,2025-05-27T08:30:00Z,2025-05-28T09:14:35Z,80.7,80.7,False,N,0.0,-115.75075896464647,0.0,0.0,80.7,0.0,1733.6909077020202,-1524.4562458333332,-325.0,0.0,1733.6909077020202,-1523.8112536622139,-324.64499217111944,
2025-05-27,21,2025-05-27T09:00:00Z,2025-05-28T09:44:38Z,112.5,112.5,False,P,0.0,451.66705272295184,0.0,0.0,,,2363.5054053764648,-1586.9283804049214,-325.0,0.0,2362.5054053764648,-1586.9283804049214,-325.0,
2025-05-27,22,2025-05-27T09:30:00Z,2025-05-28T10:14:44Z,111.0,111.0,False,P,0.0,372.43031009066743,0.0,0.0,,,2395.8589214475305,-1698.4203475213774,-325.0,0.0,2394.8589214475305,-1698.4203475213774,-325.0,
2025-05-27,23,2025-05-27T10:00:00Z,2025-05-28T10:44:47Z,112.5,112.5,False,P,0.0,309.38911939775414,0.0,0.0,,,2237.758166064421,-1603.7274909671717,-325.0,0.0,2236.758166064421,-1603.7274909671717,-325.0,
2025-05-27,24,2025-05-27T10:30:00Z,2025-05-28T11:14:30Z,111.0,111.0,False,P,0.0,105.34856311537163,0.0,0.0,,,2088.7630075598163,-1658.9144444444444,-325.0,0.0,2087.7630075598163,-1658.9144444444444,-325.0,
