settlement_period,price,asset,action,power_mw,soc,energy_mwh,settle_price,settle_price_discharge,settle_price_charge
1,167.05,Battery_1,hold,0.0,50.0,10.0,167.05,162.15,167.95000000000002
2,164.81,Battery_1,hold,0.0,50.0,10.0,164.81,159.91,165.71
3,167.02,Battery_1,hold,0.0,50.0,10.0,167.02,162.12,167.92000000000002
4,163.19,Battery_1,hold,0.0,50.0,10.0,163.19,158.29,164.09
5,160.62,Battery_1,hold,0.0,50.0,10.0,160.62,155.72,161.52
6,162.42,Battery_1,hold,0.0,50.0,10.0,162.42,157.51999999999998,163.32
7,164.45,Battery_1,hold,0.0,50.0,10.0,164.45,159.54999999999998,165.35
8,158.5,Battery_1,hold,0.0,50.0,10.0,158.5,153.6,159.4
9,165.31,Battery_1,hold,0.0,50.0,10.0,165.31,160.41,166.21
10,163.58,Battery_1,hold,0.0,50.0,10.0,163.58,158.68,164.48000000000002
11,185.71,Battery_1,hold,0.0,50.0,10.0,185.71,180.81,186.61
12,191.08,Battery_1,hold,0.0,50.0,10.0,191.08,186.18,191.98000000000002
13,194.48,Battery_1,hold,0.0,50.0,10.0,194.48,189.57999999999998,195.38
14,197.32,Battery_1,hold,0.0,50.0,10.0,197.32,192.42,198.22
15,208.6,Battery_1,discharge,4.0,38.9,7.78,208.6,203.7,209.5
16,211.94,Battery_1,discharge,4.0,27.8,5.56,211.94,207.04,212.84
17,199.61,Battery_1,discharge,2.4,21.1,4.22,199.61,194.71,200.51000000000002
18,201.96,Battery_1,discharge,4.0,10.0,2.0,201.96,197.06,202.86
19,190.1,Battery_1,hold,0.0,10.0,2.0,190.1,185.2,191.0
20,176.74,Battery_1,hold,0.0,10.0,2.0,176.74,171.84,177.64000000000001
21,175.13,Battery_1,hold,0.0,10.0,2.0,175.13,170.23,176.03
22,181.24,Battery_1,hold,0.0,10.0,2.0,181.24,176.34,182.14000000000001
23,190.45,Battery_1,hold,0.0,10.0,2.0,190.45,185.54999999999998,191.35
24,183.27,Battery_1,hold,0.0,10.0,2.0,183.27,178.37,184.17000000000002
25,179.87,Battery_1,hold,0.0,10.0,2.0,179.87,174.97,180.77
26,160.14,Battery_1,hold,0.0,10.0,2.0,160.14,155.23999999999998,161.04
27,154.64,Battery_1,charge,4.0,19.0,3.8,154.64,149.73999999999998,155.54
28,150.21,Battery_1,charge,4.0,28.0,5.6,150.21,145.31,151.11
29,147.88,Battery_1,charge,4.0,37.0,7.4,147.88,142.98,148.78
30,145.97,Battery_1,charge,4.0,46.0,9.2,145.97,141.07,146.87
31,147.0,Battery_1,charge,4.0,55.0,11.0,147.0,142.1,147.9
32,145.18,Battery_1,charge,4.0,64.0,12.8,145.18,140.28,146.08
33,145.98,Battery_1,charge,4.0,73.0,14.6,145.98,141.07999999999998,146.88
34,156.58,Battery_1,charge,1.63,76.7,15.33,156.58,151.68,157.48000000000002
35,203.25,Battery_1,discharge,4.0,65.6,13.11,203.25,198.35,204.15
36,198.76,Battery_1,hold,0.0,65.6,13.11,198.76,193.85999999999999,199.66
37,205.14,Battery_1,discharge,4.0,54.4,10.89,205.14,200.23999999999998,206.04
38,205.34,Battery_1,discharge,4.0,43.3,8.67,205.34,200.44,206.24
39,218.31,Battery_1,discharge,4.0,32.2,6.44,218.31,213.41,219.21
40,210.18,Battery_1,discharge,4.0,21.1,4.22,210.18,205.28,211.08
41,203.06,Battery_1,discharge,4.0,10.0,2.0,203.06,198.16,203.96
42,198.88,Battery_1,hold,0.0,10.0,2.0,198.88,193.98,199.78
43,193.69,Battery_1,hold,0.0,10.0,2.0,193.69,188.79,194.59
44,188.09,Battery_1,hold,0.0,10.0,2.0,188.09,183.19,188.99
45,185.25,Battery_1,hold,0.0,10.0,2.0,185.25,180.35,186.15
46,187.56,Battery_1,hold,0.0,10.0,2.0,187.56,182.66,188.46
47,187.41,Battery_1,hold,0.0,10.0,2.0,187.41,182.51,188.31
48,185.53,Battery_1,hold,0.0,10.0,2.0,185.53,180.63,186.43
1,167.05,Battery_2,hold,0.0,50.0,50.0,167.05,162.15,167.95000000000002
2,164.81,Battery_2,hold,0.0,50.0,50.0,164.81,159.91,165.71
3,167.02,Battery_2,hold,0.0,50.0,50.0,167.02,162.12,167.92000000000002
4,163.19,Battery_2,hold,0.0,50.0,50.0,163.19,158.29,164.09
5,160.62,Battery_2,hold,0.0,50.0,50.0,160.62,155.72,161.52
6,162.42,Battery_2,hold,0.0,50.0,50.0,162.42,157.51999999999998,163.32
7,164.45,Battery_2,hold,0.0,50.0,50.0,164.45,159.54999999999998,165.35
8,158.5,Battery_2,hold,0.0,50.0,50.0,158.5,153.6,159.4
9,165.31,Battery_2,hold,0.0,50.0,50.0,165.31,160.41,166.21
10,163.58,Battery_2,hold,0.0,50.0,50.0,163.58,158.68,164.48000000000002
11,185.71,Battery_2,hold,0.0,50.0,50.0,185.71,180.81,186.61
12,191.08,Battery_2,hold,0.0,50.0,50.0,191.08,186.18,191.98000000000002
13,194.48,Battery_2,hold,0.0,50.0,50.0,194.48,189.57999999999998,195.38
14,197.32,Battery_2,hold,0.0,50.0,50.0,197.32,192.42,198.22
15,208.6,Battery_2,discharge,12.5,43.1,43.06,208.6,203.7,209.5
16,211.94,Battery_2,discharge,12.5,36.1,36.11,211.94,207.04,212.84
17,199.61,Battery_2,discharge,12.5,29.2,29.17,199.61,194.71,200.51000000000002
18,201.96,Battery_2,discharge,12.5,22.2,22.22,201.96,197.06,202.86
19,190.1,Battery_2,hold,0.0,22.2,22.22,190.1,185.2,191.0
20,176.74,Battery_2,hold,0.0,22.2,22.22,176.74,171.84,177.64000000000001
21,175.13,Battery_2,hold,0.0,22.2,22.22,175.13,170.23,176.03
22,181.24,Battery_2,hold,0.0,22.2,22.22,181.24,176.34,182.14000000000001
23,190.45,Battery_2,hold,0.0,22.2,22.22,190.45,185.54999999999998,191.35
24,183.27,Battery_2,hold,0.0,22.2,22.22,183.27,178.37,184.17000000000002
25,179.87,Battery_2,hold,0.0,22.2,22.22,179.87,174.97,180.77
26,160.14,Battery_2,hold,0.0,22.2,22.22,160.14,155.23999999999998,161.04
27,154.64,Battery_2,charge,12.5,27.8,27.85,154.64,149.73999999999998,155.54
28,150.21,Battery_2,charge,12.5,33.5,33.47,150.21,145.31,151.11
29,147.88,Battery_2,charge,12.5,39.1,39.1,147.88,142.98,148.78
30,145.97,Battery_2,charge,12.5,44.7,44.72,145.97,141.07,146.87
31,147.0,Battery_2,charge,12.5,50.3,50.35,147.0,142.1,147.9
32,145.18,Battery_2,charge,12.5,56.0,55.97,145.18,140.28,146.08
33,145.98,Battery_2,charge,12.5,61.6,61.6,145.98,141.07999999999998,146.88
34,156.58,Battery_2,hold,0.0,61.6,61.6,156.58,151.68,157.48000000000002
35,203.25,Battery_2,discharge,12.5,54.7,54.65,203.25,198.35,204.15
36,198.76,Battery_2,discharge,5.38,51.7,51.67,198.76,193.85999999999999,199.66
37,205.14,Battery_2,discharge,12.5,44.7,44.72,205.14,200.23999999999998,206.04
38,205.34,Battery_2,discharge,12.5,37.8,37.78,205.34,200.44,206.24
39,218.31,Battery_2,discharge,12.5,30.8,30.83,218.31,213.41,219.21
40,210.18,Battery_2,discharge,12.5,23.9,23.89,210.18,205.28,211.08
41,203.06,Battery_2,discharge,12.5,16.9,16.94,203.06,198.16,203.96
42,198.88,Battery_2,discharge,12.5,10.0,10.0,198.88,193.98,199.78
43,193.69,Battery_2,hold,0.0,10.0,10.0,193.69,188.79,194.59
44,188.09,Battery_2,hold,0.0,10.0,10.0,188.09,183.19,188.99
45,185.25,Battery_2,hold,0.0,10.0,10.0,185.25,180.35,186.15
46,187.56,Battery_2,hold,0.0,10.0,10.0,187.56,182.66,188.46
47,187.41,Battery_2,hold,0.0,10.0,10.0,187.41,182.51,188.31
48,185.53,Battery_2,hold,0.0,10.0,10.0,185.53,180.63,186.43
1,167.05,Battery_3,hold,0.0,50.0,100.0,167.05,162.15,167.95000000000002
2,164.81,Battery_3,hold,0.0,50.0,100.0,164.81,159.91,165.71
3,167.02,Battery_3,hold,0.0,50.0,100.0,167.02,162.12,167.92000000000002
4,163.19,Battery_3,hold,0.0,50.0,100.0,163.19,158.29,164.09
5,160.62,Battery_3,hold,0.0,50.0,100.0,160.62,155.72,161.52
6,162.42,Battery_3,hold,0.0,50.0,100.0,162.42,157.51999999999998,163.32
7,164.45,Battery_3,hold,0.0,50.0,100.0,164.45,159.54999999999998,165.35
8,158.5,Battery_3,hold,0.0,50.0,100.0,158.5,153.6,159.4
9,165.31,Battery_3,hold,0.0,50.0,100.0,165.31,160.41,166.21
10,163.58,Battery_3,hold,0.0,50.0,100.0,163.58,158.68,164.48000000000002
11,185.71,Battery_3,hold,0.0,50.0,100.0,185.71,180.81,186.61
12,191.08,Battery_3,hold,0.0,50.0,100.0,191.08,186.18,191.98000000000002
13,194.48,Battery_3,hold,0.0,50.0,100.0,194.48,189.57999999999998,195.38
14,197.32,Battery_3,hold,0.0,50.0,100.0,197.32,192.42,198.22
15,208.6,Battery_3,discharge,25.0,43.1,86.11,208.6,203.7,209.5
16,211.94,Battery_3,discharge,25.0,36.1,72.22,211.94,207.04,212.84
17,199.61,Battery_3,discharge,25.0,29.2,58.33,199.61,194.71,200.51000000000002
18,201.96,Battery_3,discharge,25.0,22.2,44.44,201.96,197.06,202.86
19,190.1,Battery_3,hold,0.0,22.2,44.44,190.1,185.2,191.0
20,176.74,Battery_3,hold,0.0,22.2,44.44,176.74,171.84,177.64000000000001
21,175.13,Battery_3,hold,0.0,22.2,44.44,175.13,170.23,176.03
22,181.24,Battery_3,hold,0.0,22.2,44.44,181.24,176.34,182.14000000000001
23,190.45,Battery_3,hold,0.0,22.2,44.44,190.45,185.54999999999998,191.35
24,183.27,Battery_3,hold,0.0,22.2,44.44,183.27,178.37,184.17000000000002
25,179.87,Battery_3,hold,0.0,22.2,44.44,179.87,174.97,180.77
26,160.14,Battery_3,hold,0.0,22.2,44.44,160.14,155.23999999999998,161.04
27,154.64,Battery_3,charge,25.0,27.8,55.69,154.64,149.73999999999998,155.54
28,150.21,Battery_3,charge,25.0,33.5,66.94,150.21,145.31,151.11
29,147.88,Battery_3,charge,25.0,39.1,78.19,147.88,142.98,148.78
30,145.97,Battery_3,charge,25.0,44.7,89.44,145.97,141.07,146.87
31,147.0,Battery_3,charge,25.0,50.3,100.69,147.0,142.1,147.9
32,145.18,Battery_3,charge,25.0,56.0,111.94,145.18,140.28,146.08
33,145.98,Battery_3,charge,25.0,61.6,123.19,145.98,141.07999999999998,146.88
34,156.58,Battery_3,hold,0.0,61.6,123.19,156.58,151.68,157.48000000000002
35,203.25,Battery_3,discharge,25.0,54.7,109.31,203.25,198.35,204.15
36,198.76,Battery_3,discharge,10.75,51.7,103.33,198.76,193.85999999999999,199.66
37,205.14,Battery_3,discharge,25.0,44.7,89.44,205.14,200.23999999999998,206.04
38,205.34,Battery_3,discharge,25.0,37.8,75.56,205.34,200.44,206.24
39,218.31,Battery_3,discharge,25.0,30.8,61.67,218.31,213.41,219.21
40,210.18,Battery_3,discharge,25.0,23.9,47.78,210.18,205.28,211.08
41,203.06,Battery_3,discharge,25.0,16.9,33.89,203.06,198.16,203.96
42,198.88,Battery_3,discharge,25.0,10.0,20.0,198.88,193.98,199.78
43,193.69,Battery_3,hold,0.0,10.0,20.0,193.69,188.79,194.59
44,188.09,Battery_3,hold,0.0,10.0,20.0,188.09,183.19,188.99
45,185.25,Battery_3,hold,0.0,10.0,20.0,185.25,180.35,186.15
46,187.56,Battery_3,hold,0.0,10.0,20.0,187.56,182.66,188.46
