settlementDate,settlementPeriod,startTime,publishTime,nationalDemand,transmissionSystemDemand
2025-11-05,1,2025-11-05T00:00:00Z,2025-11-04T11:47:00Z,23100,24510
2025-11-05,2,2025-11-05T00:30:00Z,2025-11-04T11:47:00Z,23400,24825
2025-11-05,3,2025-11-05T01:00:00Z,2025-11-04T11:47:00Z,22926,24459
2025-11-05,4,2025-11-05T01:30:00Z,2025-11-04T11:47:00Z,22260,23789
2025-11-05,5,2025-11-05T02:00:00Z,2025-11-04T11:47:00Z,21751,23277
2025-11-05,6,2025-11-05T02:30:00Z,2025-11-04T11:47:00Z,21308,22831
2025-11-05,7,2025-11-05T03:00:00Z,2025-11-04T11:47:00Z,20733,22261
2025-11-05,8,2025-11-05T03:30:00Z,2025-11-04T11:47:00Z,20497,22022
2025-11-05,9,2025-11-05T04:00:00Z,2025-11-04T11:47:00Z,20300,21822
2025-11-05,10,2025-11-05T04:30:00Z,2025-11-04T11:47:00Z,20414,21929
2025-11-05,11,2025-11-05T05:00:00Z,2025-11-04T11:47:00Z,20751,21714
2025-11-05,12,2025-11-05T05:30:00Z,2025-11-04T11:47:00Z,21977,22707
2025-11-05,13,2025-11-05T06:00:00Z,2025-11-04T11:47:00Z,24622,25263
2025-11-05,14,2025-11-05T06:30:00Z,2025-11-04T11:47:00Z,26575,27216
2025-11-05,15,2025-11-05T07:00:00Z,2025-11-04T11:47:00Z,29206,29811
2025-11-05,16,2025-11-05T07:30:00Z,2025-11-04T11:47:00Z,30220,30825
2025-11-05,17,2025-11-05T08:00:00Z,2025-11-04T11:47:00Z,31417,32017
2025-11-05,18,2025-11-05T08:30:00Z,2025-11-04T11:47:00Z,31733,32333
2025-11-05,19,2025-11-05T09:00:00Z,2025-11-04T11:47:00Z,31990,32590
2025-11-05,20,2025-11-05T09:30:00Z,2025-11-04T11:47:00Z,31964,32564
2025-11-05,21,2025-11-05T10:00:00Z,2025-11-04T11:47:00Z,31769,32369
2025-11-05,22,2025-11-05T10:30:00Z,2025-11-04T11:47:00Z,31648,32248
2025-11-05,23,2025-11-05T11:00:00Z,2025-11-04T11:47:00Z,31662,32262
2025-11-05,24,2025-11-05T11:30:00Z,2025-11-04T11:47:00Z,31582,32182
2025-11-05,25,2025-11-05T12:00:00Z,2025-11-04T11:47:00Z,31310,31910
2025-11-05,26,2025-11-05T12:30:00Z,2025-11-04T11:47:00Z,31129,31729
2025-11-05,27,2025-11-05T13:00:00Z,2025-11-04T11:47:00Z,31420,32020
2025-11-05,28,2025-11-05T13:30:00Z,2025-11-04T11:47:00Z,31575,32175
2025-11-05,29,2025-11-05T14:00:00Z,2025-11-04T11:47:00Z,31523,32123
2025-11-05,30,2025-11-05T14:30:00Z,2025-11-04T11:47:00Z,31461,32061
2025-11-05,31,2025-11-05T15:00:00Z,2025-11-04T11:47:00Z,31793,32398
2025-11-05,32,2025-11-05T15:30:00Z,2025-11-04T11:47:00Z,32600,33205
2025-11-05,33,2025-11-05T16:00:00Z,2025-11-04T11:47:00Z,33383,33988
2025-11-05,34,2025-11-05T16:30:00Z,2025-11-04T11:47:00Z,35159,35764
2025-11-05,35,2025-11-05T17:00:00Z,2025-11-04T11:47:00Z,35800,36400
2025-11-05,36,2025-11-05T17:30:00Z,2025-11-04T11:47:00Z,36070,36670
2025-11-05,37,2025-11-05T18:00:00Z,2025-11-04T11:47:00Z,35853,36453
2025-11-05,38,2025-11-05T18:30:00Z,2025-11-04T11:47:00Z,35445,36045
2025-11-05,39,2025-11-05T19:00:00Z,2025-11-04T11:47:00Z,34559,35159
2025-11-05,40,2025-11-05T19:30:00Z,2025-11-04T11:47:00Z,33550,34150
2025-11-05,41,2025-11-05T20:00:00Z,2025-11-04T11:47:00Z,32279,32879
2025-11-05,42,2025-11-05T20:30:00Z,2025-11-04T11:47:00Z,31170,31770
2025-11-05,43,2025-11-05T21:00:00Z,2025-11-04T11:47:00Z,29842,30442
2025-11-05,44,2025-11-05T21:30:00Z,2025-11-04T11:47:00Z,28628,29228
2025-11-05,45,2025-11-05T22:00:00Z,2025-11-04T11:47:00Z,27076,27787
2025-11-05,46,2025-11-05T22:30:00Z,2025-11-04T11:47:00Z,25699,26412
2025-11-05,47,2025-11-05T23:00:00Z,2025-11-04T11:47:00Z,24327,25085
2025-11-05,48,2025-11-05T23:30:00Z,2025-11-04T11:47:00Z,23380,24144
2025-11-06,1,2025-11-06T00:00:00Z,2025-11-04T11:47:00Z,23570,24334
2025-11-06,2,2025-11-06T00:30:00Z,2025-11-04T11:47:00Z,23820,24584
2025-11-06,3,2025-11-06T01:00:00Z,2025-11-04T11:47:00Z,23187,23951
2025-11-06,4,2025-11-06T01:30:00Z,2025-11-04T11:47:00Z,22481,23245
2025-11-06,5,2025-11-06T02:00:00Z,2025-11-04T11:47:00Z,21835,22598
2025-11-06,6,2025-11-06T02:30:00Z,2025-11-04T11:47:00Z,21629,22392
2025-11-06,7,2025-11-06T03:00:00Z,2025-11-04T11:47:00Z,21104,21867
2025-11-06,8,2025-11-06T03:30:00Z,2025-11-04T11:47:00Z,20878,21641
2025-11-06,9,2025-11-06T04:00:00Z,2025-11-04T11:47:00Z,20904,21667
2025-11-06,10,2025-11-06T04:30:00Z,2025-11-04T11:47:00Z,20880,21643
