settlement_period,ssp,sbp,price_used,asset,action,power_mw,soc,energy_mwh
1,123.84,123.84,0.0,Battery_1,hold,0.0,10.0,2.0
2,101.05,101.05,0.0,Battery_1,hold,0.0,10.0,2.0
3,100.02,100.02,0.0,Battery_1,hold,0.0,10.0,2.0
4,93.46,93.46,0.0,Battery_1,hold,0.0,10.0,2.0
5,111.04,111.04,0.0,Battery_1,hold,0.0,10.0,2.0
6,110.71,110.71,0.0,Battery_1,hold,0.0,10.0,2.0
7,105.11,105.11,0.0,Battery_1,hold,0.0,10.0,2.0
8,86.26,86.26,0.0,Battery_1,hold,0.0,10.0,2.0
9,71.06,71.06,0.0,Battery_1,hold,0.0,10.0,2.0
10,71.38,71.38,0.0,Battery_1,hold,0.0,10.0,2.0
11,55.74,55.74,0.0,Battery_1,hold,0.0,10.0,2.0
12,24.01,24.01,0.0,Battery_1,hold,0.0,10.0,2.0
13,0.0,0.0,0.0,Battery_1,hold,0.0,10.0,2.0
14,-12.05,-12.05,-12.05,Battery_1,charge,3.0,16.8,3.35
15,0.0,0.0,0.0,Battery_1,discharge,2.43,10.0,2.0
16,-19.68,-19.68,-19.68,Battery_1,charge,3.0,16.8,3.35
17,-29.23,-29.23,-29.23,Battery_1,charge,3.0,23.5,4.7
18,-23.55,-23.55,-23.55,Battery_1,charge,3.0,30.2,6.05
19,-24.55,-24.55,-24.55,Battery_1,charge,3.0,37.0,7.4
20,-31.42,-31.42,-31.42,Battery_1,charge,3.0,43.8,8.75
21,-28.16,-28.16,-28.16,Battery_1,charge,3.0,50.5,10.1
22,-19.17,-19.17,-19.17,Battery_1,charge,3.0,57.2,11.45
23,-19.17,-19.17,-19.17,Battery_1,charge,3.0,64.0,12.8
24,2.15,2.15,2.15,Battery_1,discharge,3.0,55.7,11.13
25,-15.16,-15.16,-15.16,Battery_1,charge,3.0,62.4,12.48
26,7.06,7.06,7.06,Battery_1,discharge,3.0,54.1,10.82
27,-4.36,-4.36,-4.36,Battery_1,charge,1.67,49.5,9.9
28,-13.76,-13.76,-13.76,Battery_1,charge,3.0,56.2,11.25
29,-13.98,-13.98,-13.98,Battery_1,charge,3.0,63.0,12.6
30,-18.51,-18.51,-18.51,Battery_1,charge,3.0,69.8,13.95
31,-30.22,-30.22,-30.22,Battery_1,charge,3.0,76.5,15.3
