startTime,dataProvider,settlementDate,settlementPeriod,price,volume
2024-09-29T23:00:00Z,APXMIDP,2024-09-30,1,-2.74,1473.2
2024-09-29T23:30:00Z,APXMIDP,2024-09-30,2,3.85,1799.05
2024-09-30T00:00:00Z,APXMIDP,2024-09-30,3,0.03,1689.75
2024-09-30T00:30:00Z,APXMIDP,2024-09-30,4,4.11,1957.6
2024-09-30T01:00:00Z,APXMIDP,2024-09-30,5,-4.8,1656.3
2024-09-30T01:30:00Z,APXMIDP,2024-09-30,6,1.79,2046.9
2024-09-30T02:00:00Z,APXMIDP,2024-09-30,7,17.14,1824.85
2024-09-30T02:30:00Z,APXMIDP,2024-09-30,8,14.7,1825.2
2024-09-30T03:00:00Z,APXMIDP,2024-09-30,9,4.12,2245.75
2024-09-30T03:30:00Z,APXMIDP,2024-09-30,10,7.07,2276.05
2024-09-30T04:00:00Z,APXMIDP,2024-09-30,11,15.54,1702.8
2024-09-30T04:30:00Z,APXMIDP,2024-09-30,12,38.76,1478.8
2024-09-30T05:00:00Z,APXMIDP,2024-09-30,13,46.47,1349.95
2024-09-30T05:30:00Z,APXMIDP,2024-09-30,14,75.69,1853.95
2024-09-30T06:00:00Z,APXMIDP,2024-09-30,15,76.96,1729.4
2024-09-30T06:30:00Z,APXMIDP,2024-09-30,16,78.34,1644.6
2024-09-30T07:00:00Z,APXMIDP,2024-09-30,17,83.02,1864.85
2024-09-30T07:30:00Z,APXMIDP,2024-09-30,18,68.41,2229.55
2024-09-30T08:00:00Z,APXMIDP,2024-09-30,19,68.17,1934.55
2024-09-30T08:30:00Z,APXMIDP,2024-09-30,20,74.58,1807.65
2024-09-30T09:00:00Z,APXMIDP,2024-09-30,21,77.4,2069.3
2024-09-30T09:30:00Z,APXMIDP,2024-09-30,22,80.92,2133.55
2024-09-30T10:00:00Z,APXMIDP,2024-09-30,23,83.28,1952.0
2024-09-30T10:30:00Z,APXMIDP,2024-09-30,24,82.7,2364.6
2024-09-30T11:00:00Z,APXMIDP,2024-09-30,25,87.96,2165.5
2024-09-30T11:30:00Z,APXMIDP,2024-09-30,26,90.2,2377.75
2024-09-30T12:00:00Z,APXMIDP,2024-09-30,27,90.17,2004.8
2024-09-30T12:30:00Z,APXMIDP,2024-09-30,28,89.54,1917.65
2024-09-30T13:00:00Z,APXMIDP,2024-09-30,29,88.51,2016.5
2024-09-30T13:30:00Z,APXMIDP,2024-09-30,30,85.49,2149.5
2024-09-30T14:00:00Z,APXMIDP,2024-09-30,31,81.84,2605.15
2024-09-30T14:30:00Z,APXMIDP,2024-09-30,32,78.23,2291.65
2024-09-30T15:00:00Z,APXMIDP,2024-09-30,33,69.01,2489.15
2024-09-30T15:30:00Z,APXMIDP,2024-09-30,34,73.91,2479.95
2024-09-30T16:00:00Z,APXMIDP,2024-09-30,35,79.17,2184.6
2024-09-30T16:30:00Z,APXMIDP,2024-09-30,36,79.91,2289.9
2024-09-30T17:00:00Z,APXMIDP,2024-09-30,37,83.12,2667.15
2024-09-30T17:30:00Z,APXMIDP,2024-09-30,38,88.8,2776.7
2024-09-30T18:00:00Z,APXMIDP,2024-09-30,39,91.86,2864.75
2024-09-30T18:30:00Z,APXMIDP,2024-09-30,40,91.19,3073.4
2024-09-30T19:00:00Z,APXMIDP,2024-09-30,41,89.9,2787.95
2024-09-30T19:30:00Z,APXMIDP,2024-09-30,42,81.44,3278.3
2024-09-30T20:00:00Z,APXMIDP,2024-09-30,43,80.19,2759.25
2024-09-30T20:30:00Z,APXMIDP,2024-09-30,44,81.56,2275.0
2024-09-30T21:00:00Z,APXMIDP,2024-09-30,45,81.06,2147.75
2024-09-30T21:30:00Z,APXMIDP,2024-09-30,46,77.12,2425.45
2024-09-30T22:00:00Z,APXMIDP,2024-09-30,47,62.78,1438.45
2024-09-30T22:30:00Z,APXMIDP,2024-09-30,48,55.46,1246.9
