startTime,dataProvider,settlementDate,settlementPeriod,price,volume
2026-09-12T23:00:00Z,APXMIDP,2026-09-13,1,167.85,1693.7
2026-09-12T23:30:00Z,APXMIDP,2026-09-13,2,174.14,1817.8
2026-09-13T00:00:00Z,APXMIDP,2026-09-13,3,172.94,1326.95
2026-09-13T00:30:00Z,APXMIDP,2026-09-13,4,174.94,1297.3
2026-09-13T01:00:00Z,APXMIDP,2026-09-13,5,174.16,1159.85
2026-09-13T01:30:00Z,APXMIDP,2026-09-13,6,176.28,1204.25
2026-09-13T02:00:00Z,APXMIDP,2026-09-13,7,173.24,922.7
2026-09-13T02:30:00Z,APXMIDP,2026-09-13,8,175.65,1192.9
2026-09-13T03:00:00Z,APXMIDP,2026-09-13,9,179.59,917.65
2026-09-13T03:30:00Z,APXMIDP,2026-09-13,10,177.54,1063.8
2026-09-13T04:00:00Z,APXMIDP,2026-09-13,11,177.43,1372.4
2026-09-13T04:30:00Z,APXMIDP,2026-09-13,12,174.74,1381.1
2026-09-13T05:00:00Z,APXMIDP,2026-09-13,13,171.92,1433.25
2026-09-13T05:30:00Z,APXMIDP,2026-09-13,14,170.88,1733.75
2026-09-13T06:00:00Z,APXMIDP,2026-09-13,15,163.57,1408.55
2026-09-13T06:30:00Z,APXMIDP,2026-09-13,16,164.12,1458.05
2026-09-13T07:00:00Z,APXMIDP,2026-09-13,17,175.45,1270.1
2026-09-13T07:30:00Z,APXMIDP,2026-09-13,18,195.78,1195.45
2026-09-13T08:00:00Z,APXMIDP,2026-09-13,19,198.13,2197.2
2026-09-13T08:30:00Z,APXMIDP,2026-09-13,20,201.63,2326.85
2026-09-13T09:00:00Z,APXMIDP,2026-09-13,21,203.77,2190.8
2026-09-13T09:30:00Z,APXMIDP,2026-09-13,22,199.85,2181.35
2026-09-13T10:00:00Z,APXMIDP,2026-09-13,23,199.05,1846.65
2026-09-13T10:30:00Z,APXMIDP,2026-09-13,24,196.32,2068.7
2026-09-13T11:00:00Z,APXMIDP,2026-09-13,25,206.71,2097.75
2026-09-13T11:30:00Z,APXMIDP,2026-09-13,26,196.49,1949.8
2026-09-13T12:00:00Z,APXMIDP,2026-09-13,27,194.26,2663.95
2026-09-13T12:30:00Z,APXMIDP,2026-09-13,28,183.97,2843.25
2026-09-13T13:00:00Z,APXMIDP,2026-09-13,29,180.6,3365.2
2026-09-13T13:30:00Z,APXMIDP,2026-09-13,30,195.1,3283.2
2026-09-13T14:00:00Z,APXMIDP,2026-09-13,31,218.02,3189.0
2026-09-13T14:30:00Z,APXMIDP,2026-09-13,32,206.61,3086.45
2026-09-13T15:00:00Z,APXMIDP,2026-09-13,33,220.24,2836.85
2026-09-13T15:30:00Z,APXMIDP,2026-09-13,34,240.0,2971.45
2026-09-13T16:00:00Z,APXMIDP,2026-09-13,35,246.58,2819.6
2026-09-13T16:30:00Z,APXMIDP,2026-09-13,36,244.48,3120.1
2026-09-13T17:00:00Z,APXMIDP,2026-09-13,37,242.82,2501.8
2026-09-13T17:30:00Z,APXMIDP,2026-09-13,38,238.68,2905.25
2026-09-13T18:00:00Z,APXMIDP,2026-09-13,39,232.08,2695.7
2026-09-13T18:30:00Z,APXMIDP,2026-09-13,40,221.37,2571.65
2026-09-13T19:00:00Z,APXMIDP,2026-09-13,41,222.56,2313.2
2026-09-13T19:30:00Z,APXMIDP,2026-09-13,42,217.98,2229.2
2026-09-13T20:00:00Z,APXMIDP,2026-09-13,43,204.13,2203.95
2026-09-13T20:30:00Z,APXMIDP,2026-09-13,44,195.96,1986.6
2026-09-13T21:00:00Z,APXMIDP,2026-09-13,45,202.33,1809.5
2026-09-13T21:30:00Z,APXMIDP,2026-09-13,46,186.49,2160.65
2026-09-13T22:00:00Z,APXMIDP,2026-09-13,47,179.83,911.45
2026-09-13T22:30:00Z,APXMIDP,2026-09-13,48,166.89,1089.45
