settlement_period,price,asset,action,power_mw,soc,energy_mwh
1,153.58,Battery_1,discharge,4.0,38.9,7.78
2,156.54,Battery_1,discharge,4.0,27.8,5.56
3,88.76,Battery_1,hold,0.0,27.8,5.56
4,89.74,Battery_1,hold,0.0,27.8,5.56
5,85.24,Battery_1,hold,0.0,27.8,5.56
6,84.78,Battery_1,hold,0.0,27.8,5.56
7,81.45,Battery_1,charge,4.0,36.8,7.36
8,82.19,Battery_1,charge,4.0,45.8,9.16
9,80.15,Battery_1,charge,4.0,54.8,10.96
10,82.39,Battery_1,charge,3.65,63.0,12.6
11,82.4,Battery_1,hold,0.0,63.0,12.6
12,81.22,Battery_1,charge,4.0,72.0,14.4
13,81.24,Battery_1,charge,4.0,81.0,16.2
14,81.19,Battery_1,charge,4.0,90.0,18.0
15,99.71,Battery_1,hold,0.0,90.0,18.0
16,101.23,Battery_1,hold,0.0,90.0,18.0
17,113.31,Battery_1,hold,0.0,90.0,18.0
18,118.79,Battery_1,hold,0.0,90.0,18.0
19,138.54,Battery_1,hold,0.0,90.0,18.0
20,142.27,Battery_1,hold,0.0,90.0,18.0
21,145.74,Battery_1,hold,0.0,90.0,18.0
22,149.23,Battery_1,hold,0.0,90.0,18.0
23,157.04,Battery_1,hold,0.0,90.0,18.0
24,158.43,Battery_1,discharge,4.0,78.9,15.78
25,155.89,Battery_1,hold,0.0,78.9,15.78
26,154.41,Battery_1,hold,0.0,78.9,15.78
27,154.26,Battery_1,hold,0.0,78.9,15.78
28,145.83,Battery_1,hold,0.0,78.9,15.78
29,146.23,Battery_1,hold,0.0,78.9,15.78
30,151.02,Battery_1,hold,0.0,78.9,15.78
31,150.63,Battery_1,hold,0.0,78.9,15.78
32,154.05,Battery_1,hold,0.0,78.9,15.78
33,155.84,Battery_1,hold,0.0,78.9,15.78
34,159.73,Battery_1,discharge,4.0,67.8,13.56
35,163.05,Battery_1,discharge,4.0,56.7,11.33
36,158.9,Battery_1,discharge,4.0,45.6,9.11
37,159.35,Battery_1,discharge,4.0,34.4,6.89
38,159.53,Battery_1,discharge,4.0,23.3,4.67
39,163.46,Battery_1,discharge,4.0,12.2,2.44
40,157.08,Battery_1,discharge,0.8,10.0,2.0
41,154.68,Battery_1,hold,0.0,10.0,2.0
42,136.61,Battery_1,hold,0.0,10.0,2.0
43,127.97,Battery_1,hold,0.0,10.0,2.0
44,126.58,Battery_1,hold,0.0,10.0,2.0
45,135.8,Battery_1,hold,0.0,10.0,2.0
46,136.19,Battery_1,hold,0.0,10.0,2.0
47,140.2,Battery_1,hold,0.0,10.0,2.0
48,149.53,Battery_1,hold,0.0,10.0,2.0
1,153.58,Battery_2,discharge,12.5,43.1,43.06
2,156.54,Battery_2,discharge,12.5,36.1,36.11
3,88.76,Battery_2,hold,0.0,36.1,36.11
4,89.74,Battery_2,hold,0.0,36.1,36.11
5,85.24,Battery_2,charge,7.25,39.4,39.38
6,84.78,Battery_2,charge,12.5,45.0,45.0
7,81.45,Battery_2,charge,12.5,50.6,50.62
8,82.19,Battery_2,charge,12.5,56.2,56.25
9,80.15,Battery_2,charge,12.5,61.9,61.88
10,82.39,Battery_2,charge,12.5,67.5,67.5
11,82.4,Battery_2,charge,12.5,73.1,73.12
12,81.22,Battery_2,charge,12.5,78.8,78.75
13,81.24,Battery_2,charge,12.5,84.4,84.38
14,81.19,Battery_2,charge,12.5,90.0,90.0
15,99.71,Battery_2,hold,0.0,90.0,90.0
16,101.23,Battery_2,hold,0.0,90.0,90.0
17,113.31,Battery_2,hold,0.0,90.0,90.0
18,118.79,Battery_2,hold,0.0,90.0,90.0
19,138.54,Battery_2,hold,0.0,90.0,90.0
20,142.27,Battery_2,hold,0.0,90.0,90.0
21,145.74,Battery_2,hold,0.0,90.0,90.0
22,149.23,Battery_2,hold,0.0,90.0,90.0
23,157.04,Battery_2,discharge,12.5,83.1,83.06
24,158.43,Battery_2,discharge,12.5,76.1,76.11
25,155.89,Battery_2,discharge,12.5,69.2,69.17
26,154.41,Battery_2,hold,0.0,69.2,69.17
27,154.26,Battery_2,hold,0.0,69.2,69.17
28,145.83,Battery_2,hold,0.0,69.2,69.17
29,146.23,Battery_2,hold,0.0,69.2,69.17
30,151.02,Battery_2,hold,0.0,69.2,69.17
31,150.63,Battery_2,hold,0.0,69.2,69.17
32,154.05,Battery_2,hold,0.0,69.2,69.17
33,155.84,Battery_2,discharge,12.5,62.2,62.22
34,159.73,Battery_2,discharge,12.5,55.3,55.28
35,163.05,Battery_2,discharge,12.5,48.3,48.33
36,158.9,Battery_2,discharge,12.5,41.4,41.39
37,159.35,Battery_2,discharge,12.5,34.4,34.44
38,159.53,Battery_2,discharge,12.5,27.5,27.5
39,163.46,Battery_2,discharge,12.5,20.6,20.56
40,157.08,Battery_2,discharge,12.5,13.6,13.61
41,154.68,Battery_2,discharge,6.5,10.0,10.0
42,136.61,Battery_2,hold,0.0,10.0,10.0
43,127.97,Battery_2,hold,0.0,10.0,10.0
44,126.58,Battery_2,hold,0.0,10.0,10.0
45,135.8,Battery_2,hold,0.0,10.0,10.0
46,136.19,Battery_2,hold,0.0,10.0,10.0
47,140.2,Battery_2,hold,0.0,10.0,10.0
48,149.53,Battery_2,hold,0.0,10.0,10.0
1,153.58,Battery_3,discharge,25.0,43.1,86.11
2,156.54,Battery_3,discharge,25.0,36.1,72.22
3,88.76,Battery_3,hold,0.0,36.1,72.22
4,89.74,Battery_3,hold,0.0,36.1,72.22
5,85.24,Battery_3,charge,14.51,39.4,78.75
6,84.78,Battery_3,charge,25.0,45.0,90.0
7,81.45,Battery_3,charge,25.0,50.6,101.25
8,82.19,Battery_3,charge,25.0,56.2,112.5
