settlementDate,settlementPeriod,solar_mw,wind_offshore_mw,wind_onshore_mw,wind_total_mw,renewable_total_mw
2025-11-11,1,0.0,7522.301,2595.631,10117.932,10117.932
2025-11-11,2,0.0,7522.301,2595.631,10117.932,10117.932
2025-11-11,3,0.0,7534.633,2631.658,10166.291,10166.291
2025-11-11,4,0.0,7534.633,2631.658,10166.291,10166.291
2025-11-11,5,0.0,7290.22,2710.213,10000.433,10000.433
2025-11-11,6,0.0,7290.22,2710.213,10000.433,10000.433
2025-11-11,7,0.0,7047.641,2808.759,9856.4,9856.4
2025-11-11,8,0.0,7047.641,2808.759,9856.4,9856.4
2025-11-11,9,0.0,7011.268,2946.005,9957.273000000001,9957.273000000001
2025-11-11,10,0.0,7011.268,2946.005,9957.273000000001,9957.273000000001
2025-11-11,11,0.0,7017.536,3129.583,10147.119,10147.119
2025-11-11,12,0.0,7017.536,3129.583,10147.119,10147.119
2025-11-11,13,0.0,7167.801,3327.875,10495.676,10495.676
2025-11-11,14,0.0,7167.801,3327.875,10495.676,10495.676
2025-11-11,15,24.0,7329.325,3571.396,10900.721,10924.721
2025-11-11,16,89.0,7329.325,3571.396,10900.721,10989.721
2025-11-11,17,219.0,7625.254,3899.216,11524.47,11743.47
2025-11-11,18,415.0,7625.254,3899.216,11524.47,11939.47
2025-11-11,19,663.0,8295.035,4314.595,12609.630000000001,13272.630000000001
2025-11-11,20,914.0,8295.035,4314.595,12609.630000000001,13523.630000000001
2025-11-11,21,1123.0,9104.352,4809.121,13913.473000000002,15036.473000000002
2025-11-11,22,1308.0,9104.352,4809.121,13913.473000000002,15221.473000000002
2025-11-11,23,1485.0,9767.521,5218.34,14985.861,16470.861
2025-11-11,24,1614.0,9767.521,5218.34,14985.861,16599.861
2025-11-11,25,1646.0,10361.348,5565.963,15927.311,17573.311
2025-11-11,26,1545.0,10361.348,5565.963,15927.311,17472.311
2025-11-11,27,1300.0,10855.324,5782.679,16638.003,17938.003
2025-11-11,28,1006.0,10855.324,5782.679,16638.003,17644.003
2025-11-11,29,751.0,11184.525,5946.988,17131.513,17882.513
2025-11-11,30,505.0,11184.525,5946.988,17131.513,17636.513
2025-11-11,31,236.0,11414.901,6128.61,17543.511,17779.511
2025-11-11,32,33.0,11414.901,6128.61,17543.511,17576.511
2025-11-11,33,0.0,11624.127,6244.026,17868.153,17868.153
2025-11-11,34,0.0,11624.127,6244.026,17868.153,17868.153
2025-11-11,35,0.0,11816.825,6443.667,18260.492000000002,18260.492000000002
2025-11-11,36,0.0,11816.825,6443.667,18260.492000000002,18260.492000000002
2025-11-11,37,0.0,12007.295,6651.921,18659.216,18659.216
2025-11-11,38,0.0,12007.295,6651.921,18659.216,18659.216
2025-11-11,39,0.0,12328.356,6980.078,19308.434,19308.434
2025-11-11,40,0.0,12328.356,6980.078,19308.434,19308.434
2025-11-11,41,0.0,12446.865,7450.794,19897.659,19897.659
2025-11-11,42,0.0,12446.865,7450.794,19897.659,19897.659
2025-11-11,43,0.0,12593.625,7821.527,20415.152000000002,20415.152000000002
2025-11-11,44,0.0,12593.625,7821.527,20415.152000000002,20415.152000000002
2025-11-11,45,0.0,12737.249,7997.204,20734.453,20734.453
2025-11-11,46,0.0,12737.249,7997.204,20734.453,20734.453
2025-11-11,47,0.0,12664.322,8115.113,20779.435,20779.435
2025-11-11,48,0.0,12664.322,8115.113,20779.435,20779.435
