settlement_period,ssp,sbp,price_used,asset,action,power_mw,soc,energy_mwh,ssp_settle,sbp_settle
1,218.25,218.25,0.0,Battery_1,hold,0.0,10.0,2.0,213.35,219.15
2,217.75,217.75,0.0,Battery_1,hold,0.0,10.0,2.0,212.85,218.65
3,145.27,145.27,145.27,Battery_1,charge,3.0,16.8,3.35,140.37,146.17000000000002
4,214.0,214.0,0.0,Battery_1,hold,0.0,16.8,3.35,209.1,214.9
5,217.5,217.5,217.5,Battery_1,discharge,2.43,10.0,2.0,212.6,218.4
6,137.0,137.0,137.0,Battery_1,charge,3.0,16.8,3.35,132.1,137.9
7,217.0,217.0,217.0,Battery_1,discharge,2.43,10.0,2.0,212.1,217.9
8,143.38,143.38,143.38,Battery_1,charge,3.0,16.8,3.35,138.48,144.28
9,138.61,138.61,138.61,Battery_1,charge,3.0,23.5,4.7,133.71,139.51000000000002
10,137.0,137.0,137.0,Battery_1,charge,3.0,30.2,6.05,132.1,137.9
11,125.7,125.7,125.7,Battery_1,charge,3.0,37.0,7.4,120.8,126.60000000000001
12,136.24,136.24,136.24,Battery_1,charge,3.0,43.8,8.75,131.34,137.14000000000001
13,202.02,202.02,202.02,Battery_1,discharge,3.0,35.4,7.08,197.12,202.92000000000002
14,149.56,149.56,149.56,Battery_1,charge,3.0,42.2,8.43,144.66,150.46
15,201.15,201.15,201.15,Battery_1,discharge,2.58,35.0,7.0,196.25,202.05
16,203.99,203.99,203.99,Battery_1,discharge,3.0,26.7,5.33,199.09,204.89000000000001
17,217.0,217.0,217.0,Battery_1,discharge,3.0,18.3,3.67,212.1,217.9
18,217.0,217.0,217.0,Battery_1,discharge,3.0,10.0,2.0,212.1,217.9
19,56.97,56.97,56.97,Battery_1,charge,3.0,16.8,3.35,52.07,57.87
20,50.0,50.0,50.0,Battery_1,charge,3.0,23.5,4.7,45.1,50.9
21,31.91,31.91,31.91,Battery_1,charge,3.0,30.2,6.05,27.009999999999998,32.81
22,26.0,26.0,26.0,Battery_1,charge,3.0,37.0,7.4,21.1,26.9
23,21.43,21.43,21.43,Battery_1,charge,3.0,43.8,8.75,16.53,22.33
24,31.19,31.19,31.19,Battery_1,charge,3.0,50.5,10.1,26.29,32.09
25,108.49,108.49,108.49,Battery_1,charge,3.0,57.2,11.45,103.58999999999999,109.39
26,206.5,206.5,206.5,Battery_1,discharge,3.0,48.9,9.78,201.6,207.4
27,38.52,38.52,38.52,Battery_1,charge,3.0,55.7,11.13,33.620000000000005,39.42
28,29.03,29.03,29.03,Battery_1,charge,3.0,62.4,12.48,24.130000000000003,29.93
29,85.0,85.0,85.0,Battery_1,charge,3.0,69.2,13.83,80.1,85.9
30,85.0,85.0,85.0,Battery_1,charge,3.0,75.9,15.18,80.1,85.9
31,207.95,207.95,207.95,Battery_1,discharge,3.0,67.6,13.52,203.04999999999998,208.85
32,206.5,206.5,206.5,Battery_1,discharge,3.0,59.2,11.85,201.6,207.4
33,206.5,206.5,206.5,Battery_1,discharge,3.0,50.9,10.18,201.6,207.4
34,137.11,137.11,137.11,Battery_1,charge,3.0,57.7,11.53,132.21,138.01000000000002
35,209.0,209.0,209.0,Battery_1,discharge,3.0,49.3,9.87,204.1,209.9
36,268.1,268.1,268.1,Battery_1,discharge,3.0,41.0,8.2,263.20000000000005,269.0
37,270.0,270.0,270.0,Battery_1,discharge,3.0,32.7,6.53,265.1,270.9
38,160.38,160.38,0.0,Battery_1,hold,0.0,32.7,6.53,155.48,161.28
39,170.0,170.0,0.0,Battery_1,hold,0.0,32.7,6.53,165.1,170.9
40,255.73,255.73,255.73,Battery_1,discharge,3.0,24.3,4.87,250.82999999999998,256.63
41,229.11,229.11,229.11,Battery_1,discharge,3.0,16.0,3.2,224.21,230.01000000000002
42,196.26,196.26,196.26,Battery_1,discharge,2.16,10.0,2.0,191.35999999999999,197.16
43,132.51,132.51,0.0,Battery_1,hold,0.0,10.0,2.0,127.60999999999999,133.41
44,132.51,132.51,0.0,Battery_1,hold,0.0,10.0,2.0,127.60999999999999,133.41
45,132.55,132.55,0.0,Battery_1,hold,0.0,10.0,2.0,127.65,133.45000000000002
46,53.85,53.85,53.85,Battery_1,charge,0.7,11.6,2.32,48.95,54.75
47,45.54,45.54,45.54,Battery_1,charge,3.0,18.3,3.67,40.64,46.44
48,100.0,100.0,100.0,Battery_1,discharge,3.0,10.0,2.0,95.1,100.9
1,218.25,218.25,0.0,Battery_2,hold,0.0,10.0,10.0,213.35,219.15
2,217.75,217.75,0.0,Battery_2,hold,0.0,10.0,10.0,212.85,218.65
3,145.27,145.27,145.27,Battery_2,charge,7.5,13.4,13.38,140.37,146.17000000000002
4,214.0,214.0,0.0,Battery_2,hold,0.0,13.4,13.38,209.1,214.9
5,217.5,217.5,217.5,Battery_2,discharge,6.08,10.0,10.0,212.6,218.4
6,137.0,137.0,137.0,Battery_2,charge,7.5,13.4,13.38,132.1,137.9
7,217.0,217.0,217.0,Battery_2,discharge,6.08,10.0,10.0,212.1,217.9
8,143.38,143.38,143.38,Battery_2,charge,7.5,13.4,13.38,138.48,144.28
9,138.61,138.61,138.61,Battery_2,charge,7.5,16.8,16.75,133.71,139.51000000000002
10,137.0,137.0,137.0,Battery_2,charge,7.5,20.1,20.12,132.1,137.9
11,125.7,125.7,125.7,Battery_2,charge,7.5,23.5,23.5,120.8,126.60000000000001
12,136.24,136.24,136.24,Battery_2,charge,7.5,26.9,26.88,131.34,137.14000000000001
13,202.02,202.02,202.02,Battery_2,discharge,7.5,22.7,22.71,197.12,202.92000000000002
14,149.56,149.56,149.56,Battery_2,charge,7.5,26.1,26.08,144.66,150.46
15,201.15,201.15,201.15,Battery_2,discharge,6.45,22.5,22.5,196.25,202.05
