settlement_period,ssp,sbp,price_used,asset,action,power_mw,soc,energy_mwh,ssp_settle,sbp_settle
1,120.65,120.65,120.65,Battery_1,charge,3.0,16.8,3.35,115.75,121.55000000000001
2,120.9,120.9,120.9,Battery_1,charge,3.0,23.5,4.7,116.0,121.80000000000001
3,120.9,120.9,120.9,Battery_1,charge,3.0,30.2,6.05,116.0,121.80000000000001
4,121.15,121.15,121.15,Battery_1,charge,3.0,37.0,7.4,116.25,122.05000000000001
5,142.02,142.02,142.02,Battery_1,charge,3.0,43.8,8.75,137.12,142.92000000000002
6,121.15,121.15,121.15,Battery_1,charge,3.0,50.5,10.1,116.25,122.05000000000001
7,121.15,121.15,121.15,Battery_1,charge,3.0,57.2,11.45,116.25,122.05000000000001
8,121.15,121.15,121.15,Battery_1,charge,3.0,64.0,12.8,116.25,122.05000000000001
9,143.37,143.37,143.37,Battery_1,charge,3.0,70.8,14.15,138.47,144.27
10,146.35,146.35,146.35,Battery_1,charge,3.0,77.5,15.5,141.45,147.25
11,125.55,125.55,0.0,Battery_1,hold,0.0,77.5,15.5,120.64999999999999,126.45
12,209.0,209.0,0.0,Battery_1,hold,0.0,77.5,15.5,204.1,209.9
13,209.0,209.0,0.0,Battery_1,hold,0.0,77.5,15.5,204.1,209.9
14,165.42,165.42,165.42,Battery_1,discharge,1.59,73.1,14.62,160.51999999999998,166.32
15,202.0,202.0,202.0,Battery_1,discharge,3.0,64.8,12.95,197.1,202.9
16,202.0,202.0,202.0,Battery_1,discharge,3.0,56.4,11.28,197.1,202.9
17,196.9,196.9,0.0,Battery_1,hold,0.0,56.4,11.28,192.0,197.8
18,196.9,196.9,0.0,Battery_1,hold,0.0,56.4,11.28,192.0,197.8
19,196.9,196.9,0.0,Battery_1,hold,0.0,56.4,11.28,192.0,197.8
20,196.9,196.9,0.0,Battery_1,hold,0.0,56.4,11.28,192.0,197.8
21,199.9,199.9,0.0,Battery_1,hold,0.0,56.4,11.28,195.0,200.8
22,196.0,196.0,0.0,Battery_1,hold,0.0,56.4,11.28,191.1,196.9
23,120.0,120.0,0.0,Battery_1,hold,0.0,56.4,11.28,115.1,120.9
24,114.01,114.01,0.0,Battery_1,hold,0.0,56.4,11.28,109.11,114.91000000000001
25,121.01,121.01,121.01,Battery_1,charge,3.0,63.2,12.63,116.11,121.91000000000001
26,179.0,179.0,0.0,Battery_1,hold,0.0,63.2,12.63,174.1,179.9
27,114.0,114.0,114.0,Battery_1,charge,3.0,69.9,13.98,109.1,114.9
28,192.0,192.0,0.0,Battery_1,hold,0.0,69.9,13.98,187.1,192.9
29,106.87,106.87,0.0,Battery_1,hold,0.0,69.9,13.98,101.97,107.77000000000001
30,142.06,142.06,142.06,Battery_1,charge,3.0,76.7,15.33,137.16,142.96
31,196.0,196.0,0.0,Battery_1,hold,0.0,76.7,15.33,191.1,196.9
32,169.49,169.49,0.0,Battery_1,hold,0.0,76.7,15.33,164.59,170.39000000000001
33,123.5,123.5,0.0,Battery_1,hold,0.0,76.7,15.33,118.6,124.4
34,170.44,170.44,0.0,Battery_1,hold,0.0,76.7,15.33,165.54,171.34
35,105.0,105.0,105.0,Battery_1,discharge,3.0,68.3,13.67,100.1,105.9
36,165.04,165.04,165.04,Battery_1,discharge,3.0,60.0,12.0,160.14,165.94
37,158.82,158.82,158.82,Battery_1,discharge,3.0,51.7,10.33,153.92,159.72
38,169.7,169.7,169.7,Battery_1,discharge,3.0,43.3,8.67,164.79999999999998,170.6
39,198.0,198.0,198.0,Battery_1,discharge,3.0,35.0,7.0,193.1,198.9
40,202.0,202.0,202.0,Battery_1,discharge,3.0,26.7,5.33,197.1,202.9
41,201.49,201.49,201.49,Battery_1,discharge,3.0,18.3,3.67,196.59,202.39000000000001
42,202.0,202.0,202.0,Battery_1,discharge,3.0,10.0,2.0,197.1,202.9
