settlement_period,ssp,sbp,price_used,asset,action,power_mw,soc,energy_mwh,ssp_settle,sbp_settle
1,4.17,4.17,0.0,Battery_1,hold,0.0,10.0,2.0,-0.7300000000000004,5.07
2,1.21,1.21,1.21,Battery_1,charge,3.0,16.8,3.35,-3.6900000000000004,2.11
3,-14.99,-14.99,-14.99,Battery_1,charge,3.0,23.5,4.7,-19.89,-14.09
4,-2.83,-2.83,-2.83,Battery_1,charge,3.0,30.2,6.05,-7.73,-1.9300000000000002
5,-6.92,-6.92,-6.92,Battery_1,charge,3.0,37.0,7.4,-11.82,-6.02
6,0.05,0.05,0.05,Battery_1,charge,3.0,43.8,8.75,-4.8500000000000005,0.9500000000000001
7,-0.63,-0.63,-0.63,Battery_1,charge,3.0,50.5,10.1,-5.53,0.27
8,-0.46,-0.46,-0.46,Battery_1,charge,3.0,57.2,11.45,-5.36,0.44
9,-0.44,-0.44,-0.44,Battery_1,charge,3.0,64.0,12.8,-5.340000000000001,0.46
10,0.61,0.61,0.61,Battery_1,charge,3.0,70.8,14.15,-4.29,1.51
11,33.5,33.5,33.5,Battery_1,discharge,3.0,62.4,12.48,28.6,34.4
12,54.17,54.17,54.17,Battery_1,discharge,3.0,54.1,10.82,49.27,55.07
13,11.61,11.61,11.61,Battery_1,discharge,3.0,45.8,9.15,6.709999999999999,12.51
14,10.56,10.56,10.56,Battery_1,discharge,3.0,37.4,7.48,5.66,11.46
15,7.92,7.92,7.92,Battery_1,discharge,0.87,35.0,7.0,3.0199999999999996,8.82
16,9.36,9.36,9.36,Battery_1,discharge,3.0,26.7,5.33,4.459999999999999,10.26
17,40.63,40.63,40.63,Battery_1,discharge,3.0,18.3,3.67,35.730000000000004,41.53
18,13.67,13.67,13.67,Battery_1,discharge,3.0,10.0,2.0,8.77,14.57
19,3.07,3.07,0.0,Battery_1,hold,0.0,10.0,2.0,-1.8300000000000005,3.9699999999999998
20,1.12,1.12,0.0,Battery_1,hold,0.0,10.0,2.0,-3.7800000000000002,2.02
21,0.11,0.11,0.0,Battery_1,hold,0.0,10.0,2.0,-4.79,1.01
22,-0.87,-0.87,-0.87,Battery_1,charge,2.56,15.8,3.15,-5.7700000000000005,0.030000000000000027
23,-2.86,-2.86,-2.86,Battery_1,charge,3.0,22.5,4.5,-7.76,-1.96
24,-2.81,-2.81,-2.81,Battery_1,charge,3.0,29.2,5.85,-7.710000000000001,-1.9100000000000001
25,-16.21,-16.21,-16.21,Battery_1,charge,3.0,36.0,7.2,-21.11,-15.31
26,-4.52,-4.52,-4.52,Battery_1,charge,3.0,42.8,8.55,-9.42,-3.6199999999999997
27,-19.62,-19.62,-19.62,Battery_1,charge,3.0,49.5,9.9,-24.520000000000003,-18.720000000000002
28,-25.51,-25.51,-25.51,Battery_1,charge,3.0,56.2,11.25,-30.410000000000004,-24.610000000000003
29,-49.9,-49.9,-49.9,Battery_1,charge,3.0,63.0,12.6,-54.8,-49.0
30,-50.0,-50.0,-50.0,Battery_1,charge,3.0,69.8,13.95,-54.9,-49.1
31,-30.84,-30.84,-30.84,Battery_1,charge,3.0,76.5,15.3,-35.74,-29.94
32,-30.0,-30.0,-30.0,Battery_1,charge,3.0,83.2,16.65,-34.9,-29.1
33,-19.03,-19.03,-19.03,Battery_1,charge,3.0,90.0,18.0,-23.93,-18.130000000000003
34,38.19,38.19,38.19,Battery_1,discharge,2.43,83.2,16.65,33.29,39.089999999999996
35,10.0,10.0,10.0,Battery_1,charge,3.0,90.0,18.0,5.1,10.9
36,170.0,170.0,170.0,Battery_1,discharge,1.8,85.0,17.0,165.1,170.9
37,200.0,200.0,200.0,Battery_1,discharge,3.0,76.7,15.33,195.1,200.9
38,210.0,210.0,210.0,Battery_1,discharge,3.0,68.3,13.67,205.1,210.9
39,170.0,170.0,0.0,Battery_1,hold,0.0,68.3,13.67,165.1,170.9
40,214.57,214.57,214.57,Battery_1,discharge,3.0,60.0,12.0,209.67,215.47
41,225.0,225.0,225.0,Battery_1,discharge,3.0,51.7,10.33,220.1,225.9
42,225.0,225.0,225.0,Battery_1,discharge,3.0,43.3,8.67,220.1,225.9
43,233.0,233.0,233.0,Battery_1,discharge,3.0,35.0,7.0,228.1,233.9
44,233.0,233.0,233.0,Battery_1,discharge,3.0,26.7,5.33,228.1,233.9
45,233.0,233.0,233.0,Battery_1,discharge,3.0,18.3,3.67,228.1,233.9
46,233.0,233.0,233.0,Battery_1,discharge,3.0,10.0,2.0,228.1,233.9
47,132.0,132.0,0.0,Battery_1,hold,0.0,10.0,2.0,127.1,132.9
48,125.1,125.1,0.0,Battery_1,hold,0.0,10.0,2.0,120.19999999999999,126.0
1,4.17,4.17,0.0,Battery_2,hold,0.0,10.0,10.0,-0.7300000000000004,5.07
2,1.21,1.21,1.21,Battery_2,charge,7.5,13.4,13.38,-3.6900000000000004,2.11
3,-14.99,-14.99,-14.99,Battery_2,charge,7.5,16.8,16.75,-19.89,-14.09
4,-2.83,-2.83,-2.83,Battery_2,charge,7.5,20.1,20.12,-7.73,-1.9300000000000002
5,-6.92,-6.92,-6.92,Battery_2,charge,7.5,23.5,23.5,-11.82,-6.02
6,0.05,0.05,0.05,Battery_2,charge,7.5,26.9,26.88,-4.8500000000000005,0.9500000000000001
7,-0.63,-0.63,-0.63,Battery_2,charge,7.5,30.2,30.25,-5.53,0.27
8,-0.46,-0.46,-0.46,Battery_2,charge,7.5,33.6,33.62,-5.36,0.44
9,-0.44,-0.44,-0.44,Battery_2,charge,7.5,37.0,37.0,-5.340000000000001,0.46
10,0.61,0.61,0.61,Battery_2,charge,7.5,40.4,40.38,-4.29,1.51
11,33.5,33.5,33.5,Battery_2,discharge,7.5,36.2,36.21,28.6,34.4
12,54.17,54.17,54.17,Battery_2,discharge,7.5,32.0,32.04,49.27,55.07
13,11.61,11.61,11.61,Battery_2,discharge,7.5,27.9,27.88,6.709999999999999,12.51
14,10.56,10.56,10.56,Battery_2,discharge,3.3,26.0,26.04,5.66,11.46
15,7.92,7.92,0.0,Battery_2,hold,0.0,26.0,26.04,3.0199999999999996,8.82
16,9.36,9.36,0.0,Battery_2,hold,0.0,26.0,26.04,4.459999999999999,10.26
17,40.63,40.63,40.63,Battery_2,discharge,7.5,21.9,21.88,35.730000000000004,41.53
18,13.67,13.67,13.67,Battery_2,discharge,7.5,17.7,17.71,8.77,14.57
19,3.07,3.07,3.07,Battery_2,charge,7.5,21.1,21.08,-1.8300000000000005,3.9699999999999998
20,1.12,1.12,1.12,Battery_2,charge,7.5,24.5,24.46,-3.7800000000000002,2.02
21,0.11,0.11,0.11,Battery_2,charge,7.5,27.8,27.83,-4.79,1.01
22,-0.87,-0.87,-0.87,Battery_2,charge,7.5,31.2,31.21,-5.7700000000000005,0.030000000000000027
23,-2.86,-2.86,-2.86,Battery_2,charge,7.5,34.6,34.58,-7.76,-1.96
24,-2.81,-2.81,-2.81,Battery_2,charge,7.5,38.0,37.96,-7.710000000000001,-1.9100000000000001
25,-16.21,-16.21,-16.21,Battery_2,charge,7.5,41.3,41.33,-21.11,-15.31
26,-4.52,-4.52,-4.52,Battery_2,charge,7.5,44.7,44.71,-9.42,-3.6199999999999997
27,-19.62,-19.62,-19.62,Battery_2,charge,7.5,48.1,48.08,-24.520000000000003,-18.720000000000002
28,-25.51,-25.51,-25.51,Battery_2,charge,7.5,51.5,51.46,-30.410000000000004,-24.610000000000003
29,-49.9,-49.9,-49.9,Battery_2,charge,7.5,54.8,54.83,-54.8,-49.0
30,-50.0,-50.0,-50.0,Battery_2,charge,7.5,58.2,58.21,-54.9,-49.1
31,-30.84,-30.84,-30.84,Battery_2,charge,7.5,61.6,61.58,-35.74,-29.94
32,-30.0,-30.0,-30.0,Battery_2,charge,7.5,65.0,64.96,-34.9,-29.1
33,-19.03,-19.03,-19.03,Battery_2,charge,7.5,68.3,68.33,-23.93,-18.130000000000003
34,38.19,38.19,38.19,Battery_2,discharge,7.5,64.2,64.17,33.29,39.089999999999996
35,10.0,10.0,0.0,Battery_2,hold,0.0,64.2,64.17,5.1,10.9
36,170.0,170.0,170.0,Battery_2,discharge,7.5,60.0,60.0,165.1,170.9
37,200.0,200.0,200.0,Battery_2,discharge,7.5,55.8,55.83,195.1,200.9
38,210.0,210.0,210.0,Battery_2,discharge,7.5,51.7,51.67,205.1,210.9
39,170.0,170.0,170.0,Battery_2,discharge,7.5,47.5,47.5,165.1,170.9
40,214.57,214.57,214.57,Battery_2,discharge,7.5,43.3,43.33,209.67,215.47
41,225.0,225.0,225.0,Battery_2,discharge,7.5,39.2,39.17,220.1,225.9
42,225.0,225.0,225.0,Battery_2,discharge,7.5,35.0,35.0,220.1,225.9
43,233.0,233.0,233.0,Battery_2,discharge,7.5,30.8,30.83,228.1,233.9
44,233.0,233.0,233.0,Battery_2,discharge,7.5,26.7,26.67,228.1,233.9
45,233.0,233.0,233.0,Battery_2,discharge,7.5,22.5,22.5,228.1,233.9
46,233.0,233.0,233.0,Battery_2,discharge,7.5,18.3,18.33,228.1,233.9
47,132.0,132.0,132.0,Battery_2,discharge,7.5,14.2,14.17,127.1,132.9
48,125.1,125.1,125.1,Battery_2,discharge,7.5,10.0,10.0,120.19999999999999,126.0
1,4.17,4.17,0.0,Battery_3,hold,0.0,10.0,20.0,-0.7300000000000004,5.07
2,1.21,1.21,1.21,Battery_3,charge,15.0,13.4,26.75,-3.6900000000000004,2.11
3,-14.99,-14.99,-14.99,Battery_3,charge,15.0,16.8,33.5,-19.89,-14.09
4,-2.83,-2.83,-2.83,Battery_3,charge,15.0,20.1,40.25,-7.73,-1.9300000000000002
5,-6.92,-6.92,-6.92,Battery_3,charge,15.0,23.5,47.0,-11.82,-6.02
6,0.05,0.05,0.05,Battery_3,charge,15.0,26.9,53.75,-4.8500000000000005,0.9500000000000001
7,-0.63,-0.63,-0.63,Battery_3,charge,15.0,30.2,60.5,-5.53,0.27
8,-0.46,-0.46,-0.46,Battery_3,charge,15.0,33.6,67.25,-5.36,0.44
9,-0.44,-0.44,-0.44,Battery_3,charge,15.0,37.0,74.0,-5.340000000000001,0.46
10,0.61,0.61,0.61,Battery_3,charge,15.0,40.4,80.75,-4.29,1.51
11,33.5,33.5,33.5,Battery_3,discharge,15.0,36.2,72.42,28.6,34.4
12,54.17,54.17,54.17,Battery_3,discharge,15.0,32.0,64.08,49.27,55.07
13,11.61,11.61,11.61,Battery_3,discharge,15.0,27.9,55.75,6.709999999999999,12.51
14,10.56,10.56,10.56,Battery_3,discharge,6.6,26.0,52.08,5.66,11.46
15,7.92,7.92,0.0,Battery_3,hold,0.0,26.0,52.08,3.0199999999999996,8.82
16,9.36,9.36,0.0,Battery_3,hold,0.0,26.0,52.08,4.459999999999999,10.26
17,40.63,40.63,40.63,Battery_3,discharge,15.0,21.9,43.75,35.730000000000004,41.53
18,13.67,13.67,13.67,Battery_3,discharge,15.0,17.7,35.42,8.77,14.57
19,3.07,3.07,3.07,Battery_3,charge,15.0,21.1,42.17,-1.8300000000000005,3.9699999999999998
20,1.12,1.12,1.12,Battery_3,charge,15.0,24.5,48.92,-3.7800000000000002,2.02
21,0.11,0.11,0.11,Battery_3,charge,15.0,27.8,55.67,-4.79,1.01
