settlementDate,settlementPeriod,startTime,publishTime,nationalDemand,transmissionSystemDemand
2025-06-05,1,2025-06-04T23:00:00Z,2025-06-04T11:47:00Z,20740,22509
2025-06-05,2,2025-06-04T23:30:00Z,2025-06-04T11:47:00Z,20268,21703
2025-06-05,3,2025-06-05T00:00:00Z,2025-06-04T11:47:00Z,20150,21540
2025-06-05,4,2025-06-05T00:30:00Z,2025-06-04T11:47:00Z,19830,21220
2025-06-05,5,2025-06-05T01:00:00Z,2025-06-04T11:47:00Z,19714,21132
2025-06-05,6,2025-06-05T01:30:00Z,2025-06-04T11:47:00Z,19265,20683
2025-06-05,7,2025-06-05T02:00:00Z,2025-06-04T11:47:00Z,18797,20259
2025-06-05,8,2025-06-05T02:30:00Z,2025-06-04T11:47:00Z,18459,19921
2025-06-05,9,2025-06-05T03:00:00Z,2025-06-04T11:47:00Z,18340,19822
2025-06-05,10,2025-06-05T03:30:00Z,2025-06-04T11:47:00Z,18428,19910
2025-06-05,11,2025-06-05T04:00:00Z,2025-06-04T11:47:00Z,18666,20194
2025-06-05,12,2025-06-05T04:30:00Z,2025-06-04T11:47:00Z,19489,21017
2025-06-05,13,2025-06-05T05:00:00Z,2025-06-04T11:47:00Z,21666,22906
2025-06-05,14,2025-06-05T05:30:00Z,2025-06-04T11:47:00Z,23701,24941
2025-06-05,15,2025-06-05T06:00:00Z,2025-06-04T11:47:00Z,26214,26714
2025-06-05,16,2025-06-05T06:30:00Z,2025-06-04T11:47:00Z,27500,28000
2025-06-05,17,2025-06-05T07:00:00Z,2025-06-04T11:47:00Z,28634,29134
2025-06-05,18,2025-06-05T07:30:00Z,2025-06-04T11:47:00Z,28752,29252
2025-06-05,19,2025-06-05T08:00:00Z,2025-06-04T11:47:00Z,28940,29440
2025-06-05,20,2025-06-05T08:30:00Z,2025-06-04T11:47:00Z,28307,28807
2025-06-05,21,2025-06-05T09:00:00Z,2025-06-04T11:47:00Z,27679,28179
2025-06-05,22,2025-06-05T09:30:00Z,2025-06-04T11:47:00Z,27561,28061
2025-06-05,23,2025-06-05T10:00:00Z,2025-06-04T11:47:00Z,27211,27711
2025-06-05,24,2025-06-05T10:30:00Z,2025-06-04T11:47:00Z,26850,27350
2025-06-05,25,2025-06-05T11:00:00Z,2025-06-04T11:47:00Z,26680,27180
2025-06-05,26,2025-06-05T11:30:00Z,2025-06-04T11:47:00Z,26171,26671
2025-06-05,27,2025-06-05T12:00:00Z,2025-06-04T11:47:00Z,25288,25860
2025-06-05,28,2025-06-05T12:30:00Z,2025-06-04T11:47:00Z,24726,25299
2025-06-05,29,2025-06-05T13:00:00Z,2025-06-04T11:47:00Z,24248,24821
2025-06-05,30,2025-06-05T13:30:00Z,2025-06-04T11:47:00Z,23630,24203
2025-06-05,31,2025-06-05T14:00:00Z,2025-06-04T11:47:00Z,23705,24278
2025-06-05,32,2025-06-05T14:30:00Z,2025-06-04T11:47:00Z,24242,24814
2025-06-05,33,2025-06-05T15:00:00Z,2025-06-04T11:47:00Z,24640,25140
2025-06-05,34,2025-06-05T15:30:00Z,2025-06-04T11:47:00Z,25603,26103
2025-06-05,35,2025-06-05T16:00:00Z,2025-06-04T11:47:00Z,26771,27271
2025-06-05,36,2025-06-05T16:30:00Z,2025-06-04T11:47:00Z,27084,27584
2025-06-05,37,2025-06-05T17:00:00Z,2025-06-04T11:47:00Z,27502,28002
2025-06-05,38,2025-06-05T17:30:00Z,2025-06-04T11:47:00Z,27710,28210
2025-06-05,39,2025-06-05T18:00:00Z,2025-06-04T11:47:00Z,27610,28110
2025-06-05,40,2025-06-05T18:30:00Z,2025-06-04T11:47:00Z,27445,27945
2025-06-05,41,2025-06-05T19:00:00Z,2025-06-04T11:47:00Z,27610,28110
2025-06-05,42,2025-06-05T19:30:00Z,2025-06-04T11:47:00Z,27489,27989
2025-06-05,43,2025-06-05T20:00:00Z,2025-06-04T11:47:00Z,27476,27976
2025-06-05,44,2025-06-05T20:30:00Z,2025-06-04T11:47:00Z,26885,27385
2025-06-05,45,2025-06-05T21:00:00Z,2025-06-04T11:47:00Z,25908,26408
2025-06-05,46,2025-06-05T21:30:00Z,2025-06-04T11:47:00Z,24441,24941
2025-06-05,47,2025-06-05T22:00:00Z,2025-06-04T11:47:00Z,23155,23655
2025-06-05,48,2025-06-05T22:30:00Z,2025-06-04T11:47:00Z,22100,22600
2025-06-06,1,2025-06-05T23:00:00Z,2025-06-04T11:47:00Z,21620,22120
2025-06-06,2,2025-06-05T23:30:00Z,2025-06-04T11:47:00Z,21026,21526
2025-06-06,3,2025-06-06T00:00:00Z,2025-06-04T11:47:00Z,20750,21250
2025-06-06,4,2025-06-06T00:30:00Z,2025-06-04T11:47:00Z,20780,21280
2025-06-06,5,2025-06-06T01:00:00Z,2025-06-04T11:47:00Z,20646,21146
2025-06-06,6,2025-06-06T01:30:00Z,2025-06-04T11:47:00Z,20075,20575
2025-06-06,7,2025-06-06T02:00:00Z,2025-06-04T11:47:00Z,19631,20131
2025-06-06,8,2025-06-06T02:30:00Z,2025-06-04T11:47:00Z,19311,19811
2025-06-06,9,2025-06-06T03:00:00Z,2025-06-04T11:47:00Z,19234,19734
2025-06-06,10,2025-06-06T03:30:00Z,2025-06-04T11:47:00Z,19050,19550
