settlement_period,ssp,sbp,price_used,asset,action,power_mw,soc,energy_mwh
1,29.55,29.55,0.0,Battery_1,hold,0.0,10.0,2.0
2,29.31,29.31,0.0,Battery_1,hold,0.0,10.0,2.0
3,8.44,8.44,0.0,Battery_1,hold,0.0,10.0,2.0
4,7.31,7.31,0.0,Battery_1,hold,0.0,10.0,2.0
5,1.0,1.0,0.0,Battery_1,hold,0.0,10.0,2.0
6,-1.66,-1.66,-1.66,Battery_1,charge,3.0,10.0,2.0
7,-2.1,-2.1,-2.1,Battery_1,charge,3.0,16.8,3.35
8,-1.66,-1.66,-1.66,Battery_1,charge,0.7,10.0,2.0
9,-14.1,-14.1,-14.1,Battery_1,charge,3.0,16.8,3.35
10,-20.0,-20.0,-20.0,Battery_1,charge,3.0,23.5,4.7
11,-14.1,-14.1,-14.1,Battery_1,charge,3.0,30.2,6.05
12,-7.46,-7.46,-7.46,Battery_1,charge,3.0,29.2,5.85
13,-14.1,-14.1,-14.1,Battery_1,charge,3.0,36.0,7.2
14,-11.62,-11.62,-11.62,Battery_1,charge,3.0,42.8,8.55
15,-7.76,-7.76,-7.76,Battery_1,charge,3.0,49.5,9.9
16,-10.72,-10.72,-10.72,Battery_1,charge,3.0,56.2,11.25
17,-14.1,-14.1,-14.1,Battery_1,charge,3.0,63.0,12.6
18,-13.0,-13.0,-13.0,Battery_1,charge,3.0,69.8,13.95
19,-12.5,-12.5,-12.5,Battery_1,charge,3.0,76.5,15.3
20,-10.65,-10.65,-10.65,Battery_1,charge,3.0,83.2,16.65
21,-9.67,-9.67,-9.67,Battery_1,charge,3.0,90.0,18.0
22,83.84,83.84,83.84,Battery_1,discharge,3.0,81.7,16.33
23,37.21,37.21,37.21,Battery_1,charge,3.0,88.4,17.68
24,45.87,45.87,45.87,Battery_1,charge,0.7,90.0,18.0
25,110.61,110.61,110.61,Battery_1,discharge,3.0,81.7,16.33
26,64.7,64.7,0.0,Battery_1,hold,0.0,81.7,16.33
27,65.23,65.23,0.0,Battery_1,hold,0.0,81.7,16.33
28,65.28,65.28,65.28,Battery_1,discharge,1.29,78.1,15.62
29,67.94,67.94,67.94,Battery_1,discharge,3.0,69.8,13.95
30,55.0,55.0,0.0,Battery_1,hold,0.0,69.8,13.95
31,50.0,50.0,50.0,Battery_1,charge,3.0,76.5,15.3
32,22.29,22.29,22.29,Battery_1,charge,3.0,83.2,16.65
33,20.0,20.0,20.0,Battery_1,charge,3.0,90.0,18.0
34,73.41,73.41,0.0,Battery_1,hold,0.0,90.0,18.0
35,129.6,129.6,129.6,Battery_1,discharge,3.0,81.7,16.33
36,119.58,119.58,119.58,Battery_1,discharge,3.0,73.3,14.67
37,116.61,116.61,116.61,Battery_1,discharge,3.0,65.0,13.0
38,108.26,108.26,108.26,Battery_1,discharge,3.0,56.7,11.33
39,85.69,85.69,0.0,Battery_1,hold,0.0,56.7,11.33
40,129.24,129.24,129.24,Battery_1,discharge,3.0,48.3,9.67
41,112.2,112.2,112.2,Battery_1,discharge,3.0,40.0,8.0
42,150.0,150.0,150.0,Battery_1,discharge,3.0,31.7,6.33
43,92.22,92.22,92.22,Battery_1,discharge,1.8,26.7,5.33
44,150.0,150.0,150.0,Battery_1,discharge,3.0,18.3,3.67
45,107.58,107.58,107.58,Battery_1,discharge,3.0,10.0,2.0
46,83.22,83.22,0.0,Battery_1,hold,0.0,10.0,2.0
47,83.15,83.15,0.0,Battery_1,hold,0.0,10.0,2.0
48,83.15,83.15,0.0,Battery_1,hold,0.0,10.0,2.0
1,29.55,29.55,29.55,Battery_2,charge,7.5,13.4,13.38
2,29.31,29.31,29.31,Battery_2,charge,7.5,16.8,16.75
3,8.44,8.44,8.44,Battery_2,charge,7.5,20.1,20.12
4,7.31,7.31,7.31,Battery_2,charge,7.5,23.5,23.5
5,1.0,1.0,1.0,Battery_2,charge,7.5,26.9,26.88
6,-1.66,-1.66,-1.66,Battery_2,charge,7.5,30.2,30.25
7,-2.1,-2.1,-2.1,Battery_2,charge,7.5,33.6,33.62
8,-1.66,-1.66,-1.66,Battery_2,charge,7.5,37.0,37.0
9,-14.1,-14.1,-14.1,Battery_2,charge,7.5,40.4,40.38
10,-20.0,-20.0,-20.0,Battery_2,charge,7.5,43.8,43.75
11,-14.1,-14.1,-14.1,Battery_2,charge,7.5,47.1,47.12
12,-7.46,-7.46,-7.46,Battery_2,charge,7.5,50.5,50.5
13,-14.1,-14.1,-14.1,Battery_2,charge,7.5,53.9,53.88
14,-11.62,-11.62,-11.62,Battery_2,charge,7.5,57.2,57.25
15,-7.76,-7.76,-7.76,Battery_2,charge,7.5,60.6,60.62
16,-10.72,-10.72,-10.72,Battery_2,charge,7.5,64.0,64.0
17,-14.1,-14.1,-14.1,Battery_2,charge,7.5,67.4,67.38
18,-13.0,-13.0,-13.0,Battery_2,charge,7.5,70.8,70.75
19,-12.5,-12.5,-12.5,Battery_2,charge,7.5,74.1,74.12
20,-10.65,-10.65,-10.65,Battery_2,charge,7.5,77.5,77.5
21,-9.67,-9.67,-9.67,Battery_2,charge,7.5,80.9,80.88
22,83.84,83.84,83.84,Battery_2,discharge,7.5,76.7,76.71
23,37.21,37.21,37.21,Battery_2,charge,7.5,80.1,80.08
24,45.87,45.87,45.87,Battery_2,charge,7.5,83.5,83.46
25,110.61,110.61,110.61,Battery_2,discharge,7.5,79.3,79.29
26,64.7,64.7,64.7,Battery_2,discharge,7.5,75.1,75.12
27,65.23,65.23,65.23,Battery_2,discharge,7.5,71.0,70.96
28,65.28,65.28,65.28,Battery_2,discharge,7.5,66.8,66.79
29,67.94,67.94,67.94,Battery_2,discharge,7.5,62.6,62.62
30,55.0,55.0,0.0,Battery_2,hold,0.0,62.6,62.62
31,50.0,50.0,50.0,Battery_2,charge,6.94,65.8,65.75
32,22.29,22.29,22.29,Battery_2,charge,7.5,69.1,69.12
33,20.0,20.0,20.0,Battery_2,charge,7.5,72.5,72.5
34,73.41,73.41,73.41,Battery_2,discharge,7.5,68.3,68.33
35,129.6,129.6,129.6,Battery_2,discharge,7.5,64.2,64.17
36,119.58,119.58,119.58,Battery_2,discharge,7.5,60.0,60.0
37,116.61,116.61,116.61,Battery_2,discharge,7.5,55.8,55.83
38,108.26,108.26,108.26,Battery_2,discharge,7.5,51.7,51.67
39,85.69,85.69,85.69,Battery_2,discharge,7.5,47.5,47.5
40,129.24,129.24,129.24,Battery_2,discharge,7.5,43.3,43.33
41,112.2,112.2,112.2,Battery_2,discharge,7.5,39.2,39.17
42,150.0,150.0,150.0,Battery_2,discharge,7.5,35.0,35.0
43,92.22,92.22,92.22,Battery_2,discharge,7.5,30.8,30.83
44,150.0,150.0,150.0,Battery_2,discharge,7.5,26.7,26.67
45,107.58,107.58,107.58,Battery_2,discharge,7.5,22.5,22.5
46,83.22,83.22,83.22,Battery_2,discharge,7.5,18.3,18.33
47,83.15,83.15,83.15,Battery_2,discharge,7.5,14.2,14.17
48,83.15,83.15,83.15,Battery_2,discharge,7.5,10.0,10.0
1,29.55,29.55,29.55,Battery_3,charge,15.0,13.4,26.75
2,29.31,29.31,29.31,Battery_3,charge,15.0,16.8,33.5
3,8.44,8.44,8.44,Battery_3,charge,15.0,20.1,40.25
4,7.31,7.31,7.31,Battery_3,charge,15.0,23.5,47.0
5,1.0,1.0,1.0,Battery_3,charge,15.0,26.9,53.75
6,-1.66,-1.66,-1.66,Battery_3,charge,15.0,30.2,60.5
7,-2.1,-2.1,-2.1,Battery_3,charge,15.0,33.6,67.25
8,-1.66,-1.66,-1.66,Battery_3,charge,15.0,37.0,74.0
9,-14.1,-14.1,-14.1,Battery_3,charge,15.0,40.4,80.75
10,-20.0,-20.0,-20.0,Battery_3,charge,15.0,43.8,87.5
11,-14.1,-14.1,-14.1,Battery_3,charge,15.0,47.1,94.25
12,-7.46,-7.46,-7.46,Battery_3,charge,15.0,50.5,101.0
13,-14.1,-14.1,-14.1,Battery_3,charge,15.0,53.9,107.75
14,-11.62,-11.62,-11.62,Battery_3,charge,15.0,57.2,114.5
15,-7.76,-7.76,-7.76,Battery_3,charge,15.0,60.6,121.25
16,-10.72,-10.72,-10.72,Battery_3,charge,15.0,64.0,128.0
17,-14.1,-14.1,-14.1,Battery_3,charge,15.0,67.4,134.75
18,-13.0,-13.0,-13.0,Battery_3,charge,15.0,70.8,141.5
19,-12.5,-12.5,-12.5,Battery_3,charge,15.0,74.1,148.25
20,-10.65,-10.65,-10.65,Battery_3,charge,15.0,77.5,155.0
21,-9.67,-9.67,-9.67,Battery_3,charge,15.0,80.9,161.75
22,83.84,83.84,83.84,Battery_3,discharge,15.0,76.7,153.42
23,37.21,37.21,37.21,Battery_3,charge,15.0,80.1,160.17
24,45.87,45.87,45.87,Battery_3,charge,15.0,83.5,166.92
25,110.61,110.61,110.61,Battery_3,discharge,15.0,79.3,158.58
26,64.7,64.7,64.7,Battery_3,discharge,15.0,75.1,150.25
27,65.23,65.23,65.23,Battery_3,discharge,15.0,71.0,141.92
28,65.28,65.28,65.28,Battery_3,discharge,15.0,66.8,133.58
29,67.94,67.94,67.94,Battery_3,discharge,15.0,62.6,125.25
30,55.0,55.0,0.0,Battery_3,hold,0.0,62.6,125.25
31,50.0,50.0,50.0,Battery_3,charge,13.89,65.8,131.5
32,22.29,22.29,22.29,Battery_3,charge,15.0,69.1,138.25
33,20.0,20.0,20.0,Battery_3,charge,15.0,72.5,145.0
