settlement_period,price,asset,action,power_mw,soc,energy_mwh
1,109.94,Battery_1,hold,0.0,50.0,10.0
2,107.54,Battery_1,hold,0.0,50.0,10.0
3,103.02,Battery_1,hold,0.0,50.0,10.0
4,111.06,Battery_1,hold,0.0,50.0,10.0
5,108.92,Battery_1,hold,0.0,50.0,10.0
6,112.35,Battery_1,discharge,2.4,43.3,8.67
7,114.65,Battery_1,discharge,4.0,32.2,6.44
8,114.28,Battery_1,discharge,4.0,21.1,4.22
9,111.64,Battery_1,hold,0.0,21.1,4.22
10,110.03,Battery_1,hold,0.0,21.1,4.22
11,111.35,Battery_1,hold,0.0,21.1,4.22
12,111.51,Battery_1,hold,0.0,21.1,4.22
13,106.83,Battery_1,hold,0.0,21.1,4.22
14,110.96,Battery_1,hold,0.0,21.1,4.22
15,104.65,Battery_1,hold,0.0,21.1,4.22
16,112.9,Battery_1,discharge,4.0,10.0,2.0
17,108.83,Battery_1,hold,0.0,10.0,2.0
18,104.69,Battery_1,hold,0.0,10.0,2.0
19,92.6,Battery_1,hold,0.0,10.0,2.0
20,91.42,Battery_1,hold,0.0,10.0,2.0
21,95.48,Battery_1,hold,0.0,10.0,2.0
22,93.21,Battery_1,hold,0.0,10.0,2.0
23,82.72,Battery_1,charge,4.0,19.0,3.8
24,82.3,Battery_1,charge,4.0,28.0,5.6
25,76.99,Battery_1,charge,4.0,37.0,7.4
26,71.32,Battery_1,charge,4.0,46.0,9.2
27,66.06,Battery_1,charge,4.0,55.0,11.0
28,68.75,Battery_1,charge,4.0,64.0,12.8
29,80.19,Battery_1,charge,4.0,73.0,14.6
30,75.96,Battery_1,charge,4.0,82.0,16.4
31,86.74,Battery_1,hold,0.0,82.0,16.4
32,83.38,Battery_1,charge,3.56,90.0,18.0
33,85.03,Battery_1,hold,0.0,90.0,18.0
34,88.74,Battery_1,hold,0.0,90.0,18.0
35,89.77,Battery_1,hold,0.0,90.0,18.0
36,95.76,Battery_1,hold,0.0,90.0,18.0
37,101.3,Battery_1,hold,0.0,90.0,18.0
38,113.96,Battery_1,hold,0.0,90.0,18.0
39,122.68,Battery_1,discharge,4.0,78.9,15.78
40,126.46,Battery_1,discharge,4.0,67.8,13.56
41,130.43,Battery_1,discharge,4.0,56.7,11.33
42,139.74,Battery_1,discharge,4.0,45.6,9.11
43,129.02,Battery_1,discharge,4.0,34.4,6.89
44,128.02,Battery_1,discharge,4.0,23.3,4.67
45,117.2,Battery_1,discharge,4.0,12.2,2.44
46,116.16,Battery_1,discharge,0.8,10.0,2.0
47,109.33,Battery_1,hold,0.0,10.0,2.0
48,110.96,Battery_1,hold,0.0,10.0,2.0
1,109.94,Battery_2,hold,0.0,50.0,50.0
2,107.54,Battery_2,hold,0.0,50.0,50.0
3,103.02,Battery_2,hold,0.0,50.0,50.0
4,111.06,Battery_2,hold,0.0,50.0,50.0
5,108.92,Battery_2,hold,0.0,50.0,50.0
