startTime,dataProvider,settlementDate,settlementPeriod,price,volume
2025-05-26T23:00:00Z,APXMIDP,2025-05-27,1,35.83,1999.9
2025-05-26T23:30:00Z,APXMIDP,2025-05-27,2,28.27,2110.0
2025-05-27T00:00:00Z,APXMIDP,2025-05-27,3,20.85,2043.35
2025-05-27T00:30:00Z,APXMIDP,2025-05-27,4,23.09,2097.35
2025-05-27T01:00:00Z,APXMIDP,2025-05-27,5,39.76,2458.85
2025-05-27T01:30:00Z,APXMIDP,2025-05-27,6,40.34,2707.3
2025-05-27T02:00:00Z,APXMIDP,2025-05-27,7,13.76,2183.35
2025-05-27T02:30:00Z,APXMIDP,2025-05-27,8,15.38,2140.4
2025-05-27T03:00:00Z,APXMIDP,2025-05-27,9,15.44,2068.25
2025-05-27T03:30:00Z,APXMIDP,2025-05-27,10,11.55,2197.4
2025-05-27T04:00:00Z,APXMIDP,2025-05-27,11,7.96,1971.95
2025-05-27T04:30:00Z,APXMIDP,2025-05-27,12,11.58,1558.7
2025-05-27T05:00:00Z,APXMIDP,2025-05-27,13,18.26,2194.6
2025-05-27T05:30:00Z,APXMIDP,2025-05-27,14,41.52,2677.05
2025-05-27T06:00:00Z,APXMIDP,2025-05-27,15,34.9,2175.0
2025-05-27T06:30:00Z,APXMIDP,2025-05-27,16,58.51,2651.85
2025-05-27T07:00:00Z,APXMIDP,2025-05-27,17,45.01,2335.95
2025-05-27T07:30:00Z,APXMIDP,2025-05-27,18,64.03,2545.75
2025-05-27T08:00:00Z,APXMIDP,2025-05-27,19,72.49,2841.1
2025-05-27T08:30:00Z,APXMIDP,2025-05-27,20,80.7,2724.0
2025-05-27T09:00:00Z,APXMIDP,2025-05-27,21,83.25,2457.9
2025-05-27T09:30:00Z,APXMIDP,2025-05-27,22,92.75,2497.15
2025-05-27T10:00:00Z,APXMIDP,2025-05-27,23,102.57,2752.7
2025-05-27T10:30:00Z,APXMIDP,2025-05-27,24,101.32,3163.6
2025-05-27T11:00:00Z,APXMIDP,2025-05-27,25,101.07,3155.2
2025-05-27T11:30:00Z,APXMIDP,2025-05-27,26,99.62,3493.25
2025-05-27T12:00:00Z,APXMIDP,2025-05-27,27,89.45,3205.95
2025-05-27T12:30:00Z,APXMIDP,2025-05-27,28,92.09,3528.25
2025-05-27T13:00:00Z,APXMIDP,2025-05-27,29,91.8,3661.2
2025-05-27T13:30:00Z,APXMIDP,2025-05-27,30,90.78,3856.7
2025-05-27T14:00:00Z,APXMIDP,2025-05-27,31,87.8,3249.75
2025-05-27T14:30:00Z,APXMIDP,2025-05-27,32,84.73,3399.65
2025-05-27T15:00:00Z,APXMIDP,2025-05-27,33,99.39,3836.7
2025-05-27T15:30:00Z,APXMIDP,2025-05-27,34,101.06,4551.9
2025-05-27T16:00:00Z,APXMIDP,2025-05-27,35,101.28,3848.05
2025-05-27T16:30:00Z,APXMIDP,2025-05-27,36,107.56,4051.45
2025-05-27T17:00:00Z,APXMIDP,2025-05-27,37,110.84,4398.15
2025-05-27T17:30:00Z,APXMIDP,2025-05-27,38,111.62,4640.4
2025-05-27T18:00:00Z,APXMIDP,2025-05-27,39,109.58,3130.85
2025-05-27T18:30:00Z,APXMIDP,2025-05-27,40,111.77,3414.75
2025-05-27T19:00:00Z,APXMIDP,2025-05-27,41,99.16,3453.75
2025-05-27T19:30:00Z,APXMIDP,2025-05-27,42,94.66,3474.95
2025-05-27T20:00:00Z,APXMIDP,2025-05-27,43,93.81,2921.9
2025-05-27T20:30:00Z,APXMIDP,2025-05-27,44,92.38,3054.95
2025-05-27T21:00:00Z,APXMIDP,2025-05-27,45,87.84,2668.75
2025-05-27T21:30:00Z,APXMIDP,2025-05-27,46,91.39,2994.4
2025-05-27T22:00:00Z,APXMIDP,2025-05-27,47,92.65,1864.9
2025-05-27T22:30:00Z,APXMIDP,2025-05-27,48,88.24,1320.85
