startTime,dataProvider,settlementDate,settlementPeriod,price,volume
2025-07-07T23:00:00Z,APXMIDP,2025-07-08,1,73.08,2257.85
2025-07-07T23:30:00Z,APXMIDP,2025-07-08,2,79.03,2459.2
2025-07-07T00:00:00Z,APXMIDP,2025-07-07,3,87.21,2526.05
2025-07-07T00:30:00Z,APXMIDP,2025-07-07,4,85.86,2437.3
2025-07-07T01:00:00Z,APXMIDP,2025-07-07,5,84.98,2270.35
2025-07-07T01:30:00Z,APXMIDP,2025-07-07,6,80.89,2572.9
2025-07-07T02:00:00Z,APXMIDP,2025-07-07,7,75.61,1526.6
2025-07-07T02:30:00Z,APXMIDP,2025-07-07,8,83.27,1462.25
2025-07-07T03:00:00Z,APXMIDP,2025-07-07,9,84.33,1215.15
2025-07-07T03:30:00Z,APXMIDP,2025-07-07,10,81.53,1283.35
2025-07-07T04:00:00Z,APXMIDP,2025-07-07,11,84.75,1189.95
2025-07-07T04:30:00Z,APXMIDP,2025-07-07,12,91.07,1597.4
2025-07-07T05:00:00Z,APXMIDP,2025-07-07,13,86.55,2288.95
2025-07-07T05:30:00Z,APXMIDP,2025-07-07,14,83.84,2595.0
2025-07-07T06:00:00Z,APXMIDP,2025-07-07,15,91.72,2408.25
2025-07-07T06:30:00Z,APXMIDP,2025-07-07,16,89.29,2645.45
2025-07-07T07:00:00Z,APXMIDP,2025-07-07,17,80.01,2681.6
2025-07-07T07:30:00Z,APXMIDP,2025-07-07,18,68.75,2606.1
2025-07-07T08:00:00Z,APXMIDP,2025-07-07,19,58.67,2672.4
2025-07-07T08:30:00Z,APXMIDP,2025-07-07,20,47.15,2195.3
2025-07-07T09:00:00Z,APXMIDP,2025-07-07,21,40.68,2848.45
2025-07-07T09:30:00Z,APXMIDP,2025-07-07,22,38.67,3153.25
2025-07-07T10:00:00Z,APXMIDP,2025-07-07,23,40.59,4697.95
2025-07-07T10:30:00Z,APXMIDP,2025-07-07,24,43.11,5382.7
2025-07-07T11:00:00Z,APXMIDP,2025-07-07,25,17.56,5130.35
2025-07-07T11:30:00Z,APXMIDP,2025-07-07,26,16.5,4734.7
2025-07-07T12:00:00Z,APXMIDP,2025-07-07,27,16.44,4289.95
2025-07-07T12:30:00Z,APXMIDP,2025-07-07,28,6.29,4217.25
2025-07-07T13:00:00Z,APXMIDP,2025-07-07,29,5.8,4821.8
2025-07-07T13:30:00Z,APXMIDP,2025-07-07,30,3.91,4965.7
2025-07-07T14:00:00Z,APXMIDP,2025-07-07,31,-1.27,2836.5
2025-07-07T14:30:00Z,APXMIDP,2025-07-07,32,7.44,3273.9
2025-07-07T15:00:00Z,APXMIDP,2025-07-07,33,17.73,3669.75
2025-07-07T15:30:00Z,APXMIDP,2025-07-07,34,38.76,3947.95
2025-07-07T16:00:00Z,APXMIDP,2025-07-07,35,54.54,3258.45
2025-07-07T16:30:00Z,APXMIDP,2025-07-07,36,58.66,3909.3
2025-07-07T17:00:00Z,APXMIDP,2025-07-07,37,65.72,2762.1
2025-07-07T17:30:00Z,APXMIDP,2025-07-07,38,74.82,3291.6
2025-07-07T18:00:00Z,APXMIDP,2025-07-07,39,90.98,2528.05
2025-07-07T18:30:00Z,APXMIDP,2025-07-07,40,97.95,2748.85
2025-07-07T19:00:00Z,APXMIDP,2025-07-07,41,101.86,2816.3
2025-07-07T19:30:00Z,APXMIDP,2025-07-07,42,102.18,2671.95
2025-07-07T20:00:00Z,APXMIDP,2025-07-07,43,96.72,2325.95
2025-07-07T20:30:00Z,APXMIDP,2025-07-07,44,84.5,2761.0
2025-07-07T21:00:00Z,APXMIDP,2025-07-07,45,92.73,2213.45
2025-07-07T21:30:00Z,APXMIDP,2025-07-07,46,80.17,1905.7
2025-07-07T22:00:00Z,APXMIDP,2025-07-07,47,76.11,2356.5
2025-07-07T22:30:00Z,APXMIDP,2025-07-07,48,72.26,2719.25
