settlementDate,settlementPeriod,solar_mw,wind_offshore_mw,wind_onshore_mw,wind_total_mw,renewable_total_mw
2026-06-05,1,0.0,4166.0,3676.0,7842.0,7842.0
2026-06-05,2,0.0,4294.0,3755.0,8049.0,8049.0
2026-06-05,3,0.0,10232.0,8200.0,18432.0,18432.0
2026-06-05,4,0.0,10181.0,8150.0,18331.0,18331.0
2026-06-05,5,0.0,10128.0,8071.0,18199.0,18199.0
2026-06-05,6,0.0,10055.0,7985.0,18040.0,18040.0
2026-06-05,7,0.0,10000.0,7855.0,17855.0,17855.0
2026-06-05,8,0.0,9952.0,7718.0,17670.0,17670.0
2026-06-05,9,4.0,9882.0,7528.0,17410.0,17414.0
2026-06-05,10,63.0,9813.0,7304.0,17117.0,17180.0
2026-06-05,11,159.0,9700.0,7034.0,16734.0,16893.0
2026-06-05,12,575.0,9560.0,6741.0,16301.0,16876.0
2026-06-05,13,1363.0,9341.0,6448.0,15789.0,17152.0
2026-06-05,14,2409.0,9041.0,6163.0,15204.0,17613.0
2026-06-05,15,3382.0,8630.0,5963.0,14593.0,17975.0
2026-06-05,16,4360.0,8128.0,5854.0,13982.0,18342.0
2026-06-05,17,5368.0,7578.0,5704.0,13282.0,18650.0
2026-06-05,18,6269.0,7006.0,5514.0,12520.0,18789.0
2026-06-05,19,7016.0,6478.0,5308.0,11786.0,18802.0
2026-06-05,20,7556.0,6017.0,5115.0,11132.0,18688.0
2026-06-05,21,8048.0,5586.0,4924.0,10510.0,18558.0
2026-06-05,22,8370.0,5179.0,4775.0,9954.0,18324.0
2026-06-05,23,8644.0,4826.0,4643.0,9469.0,18113.0
2026-06-05,24,8815.0,4530.0,4529.0,9059.0,17874.0
2026-06-05,25,8969.0,4263.0,4421.0,8684.0,17653.0
2026-06-05,26,9034.0,4043.0,4331.0,8374.0,17408.0
2026-06-05,27,9082.0,4089.0,4232.0,8321.0,17403.0
2026-06-05,28,9017.0,3935.0,4132.0,8067.0,17084.0
2026-06-05,29,8920.0,3778.0,4036.0,7814.0,16734.0
2026-06-05,30,8736.0,3624.0,3955.0,7579.0,16315.0
2026-06-05,31,8493.0,3436.0,3865.0,7301.0,15794.0
2026-06-05,32,8049.0,3222.0,3774.0,6996.0,15045.0
2026-06-05,33,7493.0,3000.0,3662.0,6662.0,14155.0
2026-06-05,34,6844.0,2779.0,3539.0,6318.0,13162.0
2026-06-05,35,6070.0,2617.0,3391.0,6008.0,12078.0
2026-06-05,36,5101.0,2514.0,3221.0,5735.0,10836.0
2026-06-05,37,4182.0,2506.0,3057.0,5563.0,9745.0
2026-06-05,38,3355.0,2620.0,2880.0,5500.0,8855.0
2026-06-05,39,2651.0,2800.0,2708.0,5508.0,8159.0
2026-06-05,40,1782.0,3017.0,2542.0,5559.0,7341.0
2026-06-05,41,982.0,3227.0,2468.0,5695.0,6677.0
2026-06-05,42,394.0,3419.0,2483.0,5902.0,6296.0
2026-06-05,43,127.0,3597.0,2595.0,6192.0,6319.0
2026-06-05,44,33.0,3713.0,2794.0,6507.0,6540.0
2026-06-05,45,0.0,3844.0,3006.0,6850.0,6850.0
2026-06-05,46,0.0,3957.0,3211.0,7168.0,7168.0
2026-06-05,47,0.0,4041.0,3399.0,7440.0,7440.0
2026-06-05,48,0.0,4081.0,3552.0,7633.0,7633.0
