settlementDate,settlementPeriod,solar_mw,wind_offshore_mw,wind_onshore_mw,wind_total_mw,renewable_total_mw
2026-03-21,1,0.0,2379.796,2171.804,4551.6,4551.6
2026-03-21,2,0.0,2379.796,2171.804,4551.6,4551.6
2026-03-21,3,0.0,2190.643,1873.968,4064.611,4064.611
2026-03-21,4,0.0,2190.643,1873.968,4064.611,4064.611
2026-03-21,5,0.0,1993.38,1628.283,3621.663,3621.663
2026-03-21,6,0.0,1993.38,1628.283,3621.663,3621.663
2026-03-21,7,0.0,1750.599,1435.377,3185.9759999999997,3185.9759999999997
2026-03-21,8,0.0,1750.599,1435.377,3185.9759999999997,3185.9759999999997
2026-03-21,9,0.0,1531.582,1315.872,2847.454,2847.454
2026-03-21,10,0.0,1531.582,1315.872,2847.454,2847.454
2026-03-21,11,0.0,1376.863,1220.285,2597.148,2597.148
2026-03-21,12,0.0,1376.863,1220.285,2597.148,2597.148
2026-03-21,13,318.0,1227.14,1098.705,2325.8450000000003,2643.8450000000003
2026-03-21,14,1121.0,1227.14,1098.705,2325.8450000000003,3446.8450000000003
2026-03-21,15,2512.0,1107.16,967.916,2075.076,4587.076
2026-03-21,16,4114.0,1107.16,967.916,2075.076,6189.076
2026-03-21,17,5539.0,1045.061,805.821,1850.882,7389.882
2026-03-21,18,6825.0,1045.061,805.821,1850.882,8675.882
2026-03-21,19,8081.0,963.442,612.723,1576.165,9657.165
2026-03-21,20,9291.0,963.442,612.723,1576.165,10867.165
2026-03-21,21,10400.0,854.489,509.615,1364.104,11764.104
2026-03-21,22,11340.0,854.489,509.615,1364.104,12704.104
2026-03-21,23,12049.0,758.166,511.367,1269.5330000000001,13318.533
2026-03-21,24,12516.0,758.166,511.367,1269.5330000000001,13785.533
2026-03-21,25,12727.0,687.881,562.779,1250.6599999999999,13977.66
2026-03-21,26,12623.0,687.881,562.779,1250.6599999999999,13873.66
2026-03-21,27,12154.0,681.93,646.595,1328.525,13482.525
2026-03-21,28,11377.0,681.93,646.595,1328.525,12705.525
2026-03-21,29,10354.0,723.468,751.071,1474.539,11828.539
2026-03-21,30,9070.0,723.468,751.071,1474.539,10544.539
2026-03-21,31,7543.0,772.697,870.586,1643.283,9186.283
2026-03-21,32,6003.0,772.697,870.586,1643.283,7646.282999999999
2026-03-21,33,4643.0,868.879,990.737,1859.616,6502.616
2026-03-21,34,3291.0,868.879,990.737,1859.616,5150.616
2026-03-21,35,1815.0,1074.998,1074.597,2149.5950000000003,3964.5950000000003
2026-03-21,36,622.0,1074.998,1074.597,2149.5950000000003,2771.5950000000003
2026-03-21,37,98.0,1438.364,1264.622,2702.986,2800.986
2026-03-21,38,0.0,1438.364,1264.622,2702.986,2702.986
2026-03-21,39,0.0,1828.455,1701.944,3530.399,3530.399
2026-03-21,40,0.0,1828.455,1701.944,3530.399,3530.399
2026-03-21,41,0.0,2083.467,2268.068,4351.535,4351.535
2026-03-21,42,0.0,2083.467,2268.068,4351.535,4351.535
2026-03-21,43,0.0,2222.937,2840.421,5063.358,5063.358
2026-03-21,44,0.0,2222.937,2840.421,5063.358,5063.358
2026-03-21,45,0.0,2414.882,3367.141,5782.023,5782.023
2026-03-21,46,0.0,2414.882,3367.141,5782.023,5782.023
2026-03-21,47,0.0,2710.42,3842.587,6553.007,6553.007
2026-03-21,48,0.0,2710.42,3842.587,6553.007,6553.007
