settlementDate,settlementPeriod,solar_mw,wind_offshore_mw,wind_onshore_mw,wind_total_mw,renewable_total_mw
2026-05-19,1,0.0,11959.383,5502.334,17461.717,17461.717
2026-05-19,2,0.0,11959.383,5502.334,17461.717,17461.717
2026-05-19,3,0.0,9067.336,6011.294,15078.63,15078.63
2026-05-19,4,0.0,9067.336,6011.294,15078.63,15078.63
2026-05-19,5,0.0,9759.056,6551.37,16310.426,16310.426
2026-05-19,6,0.0,9759.056,6551.37,16310.426,16310.426
2026-05-19,7,0.0,10440.926,7003.066,17443.992,17443.992
2026-05-19,8,0.0,10440.926,7003.066,17443.992,17443.992
2026-05-19,9,0.0,11014.978,7434.343,18449.321,18449.321
2026-05-19,10,0.0,11014.978,7434.343,18449.321,18449.321
2026-05-19,11,0.0,11645.888,7923.817,19569.705,19569.705
2026-05-19,12,52.0,11645.888,7923.817,19569.705,19621.705
2026-05-19,13,175.0,12210.874,8300.94,20511.814,20686.814
2026-05-19,14,366.0,12210.874,8300.94,20511.814,20877.814
2026-05-19,15,615.0,12585.851,8556.832,21142.683,21757.683
2026-05-19,16,970.0,12585.851,8556.832,21142.683,22112.683
2026-05-19,17,1469.0,12770.389,8712.475,21482.864,22951.864
2026-05-19,18,2071.0,12770.389,8712.475,21482.864,23553.864
2026-05-19,19,2735.0,12819.191,8716.668,21535.859,24270.859
2026-05-19,20,3504.0,12819.191,8716.668,21535.859,25039.859
2026-05-19,21,4396.0,12756.014,8533.51,21289.523999999998,25685.523999999998
2026-05-19,22,5253.0,12756.014,8533.51,21289.523999999998,26542.523999999998
2026-05-19,23,5919.0,12816.145,8347.255,21163.4,27082.4
2026-05-19,24,6448.0,12816.145,8347.255,21163.4,27611.4
2026-05-19,25,6916.0,12978.673,8137.601,21116.274,28032.274
2026-05-19,26,7293.0,12978.673,8137.601,21116.274,28409.274
2026-05-19,27,7530.0,12993.473,7990.023,20983.496,28513.496
2026-05-19,28,7588.0,12993.473,7990.023,20983.496,28571.496
2026-05-19,29,7448.0,12906.934,7907.953,20814.887,28262.887
2026-05-19,30,7175.0,12906.934,7907.953,20814.887,27989.887
2026-05-19,31,6829.0,12814.409,7759.014,20573.423,27402.423
2026-05-19,32,6384.0,12814.409,7759.014,20573.423,26957.423
2026-05-19,33,5797.0,12745.582,7527.879,20273.461,26070.461
2026-05-19,34,5043.0,12745.582,7527.879,20273.461,25316.461
2026-05-19,35,4137.0,12706.93,7287.743,19994.673000000003,24131.673000000003
2026-05-19,36,3257.0,12706.93,7287.743,19994.673000000003,23251.673000000003
2026-05-19,37,2553.0,12594.534,6991.98,19586.514,22139.514
2026-05-19,38,1917.0,12594.534,6991.98,19586.514,21503.514
2026-05-19,39,1232.0,12427.537,6646.426,19073.963,20305.963
2026-05-19,40,619.0,12427.537,6646.426,19073.963,19692.963
2026-05-19,41,217.0,12218.334,6372.808,18591.142,18808.142
2026-05-19,42,20.0,12218.334,6372.808,18591.142,18611.142
2026-05-19,43,0.0,12108.529,6187.815,18296.344,18296.344
2026-05-19,44,0.0,12108.529,6187.815,18296.344,18296.344
2026-05-19,45,0.0,12093.734,6014.624,18108.358,18108.358
2026-05-19,46,0.0,12093.734,6014.624,18108.358,18108.358
2026-05-19,47,0.0,12090.139,5767.814,17857.953,17857.953
2026-05-19,48,0.0,12090.139,5767.814,17857.953,17857.953
