settlementDate,settlementPeriod,solar_mw,wind_offshore_mw,wind_onshore_mw,wind_total_mw,renewable_total_mw
2024-08-22,1,0.0,6628.553,4098.096,10726.649,10726.649
2024-08-22,2,0.0,6628.553,4098.096,10726.649,10726.649
2024-08-22,3,0.0,12589.152,10720.235,23309.387000000002,23309.387000000002
2024-08-22,4,0.0,12589.152,10720.235,23309.387000000002,23309.387000000002
2024-08-22,5,0.0,12732.025,10927.588,23659.612999999998,23659.612999999998
2024-08-22,6,0.0,12732.025,10927.588,23659.612999999998,23659.612999999998
2024-08-22,7,0.0,12918.854,11080.407,23999.261,23999.261
2024-08-22,8,0.0,12918.854,11080.407,23999.261,23999.261
2024-08-22,9,0.0,13073.701,11240.937,24314.638,24314.638
2024-08-22,10,0.0,13073.701,11240.937,24314.638,24314.638
2024-08-22,11,0.0,13205.796,11335.141,24540.936999999998,24540.936999999998
2024-08-22,12,0.0,13205.796,11335.141,24540.936999999998,24540.936999999998
2024-08-22,13,0.0,13280.142,11303.075,24583.217,24583.217
2024-08-22,14,96.0,13280.142,11303.075,24583.217,24679.217
2024-08-22,15,300.0,13325.305,11172.092,24497.397,24797.397
2024-08-22,16,584.0,13325.305,11172.092,24497.397,25081.397
2024-08-22,17,899.0,13390.011,11047.897,24437.908000000003,25336.908000000003
2024-08-22,18,1255.0,13390.011,11047.897,24437.908000000003,25692.908000000003
2024-08-22,19,1664.0,13343.508,10902.713,24246.220999999998,25910.220999999998
2024-08-22,20,2059.0,13343.508,10902.713,24246.220999999998,26305.220999999998
2024-08-22,21,2379.0,13189.037,11034.888,24223.925000000003,26602.925000000003
2024-08-22,22,2661.0,13189.037,11034.888,24223.925000000003,26884.925000000003
2024-08-22,23,2955.0,13083.899,11060.272,24144.171000000002,27099.171000000002
2024-08-22,24,3276.0,13083.899,11060.272,24144.171000000002,27420.171000000002
2024-08-22,25,3629.0,12937.488,11030.714,23968.201999999997,27597.201999999997
2024-08-22,26,4014.0,12937.488,11030.714,23968.201999999997,27982.201999999997
2024-08-22,27,4416.0,12815.145,10958.815,23773.96,28189.96
2024-08-22,28,4774.0,12815.145,10958.815,23773.96,28547.96
2024-08-22,29,5022.0,12710.455,10782.674,23493.129,28515.129
2024-08-22,30,5100.0,12710.455,10782.674,23493.129,28593.129
2024-08-22,31,4970.0,12547.894,10494.21,23042.104,28012.104
2024-08-22,32,4658.0,12547.894,10494.21,23042.104,27700.104
2024-08-22,33,4205.0,12372.405,10077.82,22450.225,26655.225
2024-08-22,34,3628.0,12372.405,10077.82,22450.225,26078.225
2024-08-22,35,2950.0,11992.972,9306.597,21299.569,24249.569
2024-08-22,36,2238.0,11992.972,9306.597,21299.569,23537.569
2024-08-22,37,1564.0,11210.984,8021.737,19232.721,20796.721
2024-08-22,38,963.0,11210.984,8021.737,19232.721,20195.721
2024-08-22,39,468.0,9860.267,6330.287,16190.554,16658.554
2024-08-22,40,139.0,9860.267,6330.287,16190.554,16329.554
2024-08-22,41,0.0,8801.194,5166.276,13967.47,13967.47
2024-08-22,42,0.0,8801.194,5166.276,13967.47,13967.47
2024-08-22,43,0.0,8031.439,4613.556,12644.994999999999,12644.994999999999
2024-08-22,44,0.0,8031.439,4613.556,12644.994999999999,12644.994999999999
2024-08-22,45,0.0,7436.167,4375.947,11812.114000000001,11812.114000000001
2024-08-22,46,0.0,7436.167,4375.947,11812.114000000001,11812.114000000001
2024-08-22,47,0.0,6871.975,4218.677,11090.652,11090.652
2024-08-22,48,0.0,6871.975,4218.677,11090.652,11090.652
